matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694914,2,2013-08-24 12:45:00,3,Arsenal,Away,262.0,15.0,6.0,9.0,3.0,2.0,,243.0,8.0,1.0,3.0,5.0,25.0,45.0,496.0,,2.0,15.0,8.0,15.0,12.0,2.0,4.0,2.0,,,,,,1.0,15.0,,,,,,5.0,4.0,12.0,12.0,7.0,84.0,49.0,3.0,2.0,1.0,2.0,11.0,7.0,14.0,,,8.0,8.0,1.0,,10.0,5.0,48.0,44.0,1.0,18.0,10.0,,,66.0,9.0,10.0,1.0,,1.0,1.0,,184.0,2.0,,1.0,2.0,,1.0,13.0,3.0,3.0,1.0,10.0,,9.0,9.0,,3.0,137.0,69.0,41.0,1.0,2.0,3.0,13.0,9.0,540.0,3.0,,,61.0,70.0,25.0,,,,,,106.0,106.0,2.0,28.0,12.0,53.8,,,,,15.0,0.0,164.0,3.0,3.0,6.0,,2.0,2.0,3.0,1.0,,3.0,117.0,478.0,11.0,16.0,275.0,23.0,19.0,18.0,8.0,18.0,10.0,3.0,157.0,9.0,312.0,3.0,1.0,16.0,27.0,67.0,,569.0,,0.0,19.0,10.0,3.0,16.0,2.0,737.0,32.0,5.0,10.0,8.0,9.0,0.0
694930,3,2013-09-01 16:00:00,3,Arsenal,Home,147.0,18.0,2.0,3.0,1.0,,,161.0,8.0,,3.0,8.0,22.0,29.0,305.0,1.0,1.0,14.0,15.0,19.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,9.0,,,,,,8.0,4.0,10.0,5.0,7.0,63.0,59.0,,,,1.0,7.0,2.0,14.0,1.0,,3.0,7.0,1.0,,7.0,2.0,57.0,68.0,1.0,34.0,17.0,,,58.0,15.0,14.0,1.0,,4.0,1.0,2.0,163.0,1.0,,1.0,1.0,,,11.0,1.0,3.0,,17.0,,19.0,19.0,1.0,3.0,94.0,62.0,38.0,6.0,,4.0,4.0,5.0,379.0,5.0,,,42.0,49.0,23.0,,,,,,135.0,135.0,1.0,29.0,19.0,43.4,,,,,12.0,0.0,85.0,2.0,3.0,4.0,,,1.0,5.0,,,3.0,84.0,286.0,7.0,8.0,177.0,30.0,34.0,16.0,3.0,12.0,9.0,1.0,123.0,11.0,240.0,3.0,,17.0,28.0,46.0,1.0,405.0,1.0,0.0,12.0,29.0,6.0,17.0,2.0,606.0,17.0,8.0,9.0,3.0,23.0,0.0
694938,4,2013-09-14 15:00:00,3,Arsenal,Away,248.0,24.0,2.0,5.0,3.0,7.0,,345.0,10.0,,4.0,6.0,24.0,42.0,588.0,1.0,5.0,21.0,17.0,19.0,7.0,,2.0,,,1.0,2.0,,,2.0,10.0,,,,,,3.0,9.0,9.0,12.0,2.0,93.0,44.0,3.0,2.0,1.0,3.0,7.0,4.0,2.0,,,6.0,16.0,1.0,,15.0,1.0,54.0,52.0,3.0,18.0,11.0,,,71.0,11.0,12.0,1.0,,3.0,1.0,2.0,220.0,3.0,,3.0,3.0,,,13.0,3.0,,1.0,11.0,,8.0,8.0,1.0,4.0,187.0,77.0,62.0,6.0,2.0,4.0,6.0,6.0,639.0,6.0,3.0,,63.0,127.0,36.0,1.0,1.0,1.0,,,137.0,137.0,1.0,16.0,20.0,69.4,,,,1.0,22.0,0.0,169.0,1.0,1.0,2.0,,2.0,,4.0,,,3.0,176.0,563.0,7.0,10.0,276.0,35.0,18.0,16.0,5.0,23.0,18.0,,213.0,11.0,416.0,,,15.0,26.0,54.0,,669.0,1.0,0.0,14.0,16.0,9.0,22.0,2.0,854.0,27.0,9.0,6.0,6.0,11.0,0.0
694950,5,2013-09-22 13:30:00,3,Arsenal,Home,231.0,13.0,2.0,5.0,3.0,1.0,1.0,233.0,2.0,2.0,5.0,8.0,32.0,24.0,459.0,,1.0,12.0,16.0,19.0,11.0,1.0,3.0,,,1.0,1.0,,,,11.0,,,,,2.0,2.0,6.0,4.0,12.0,5.0,96.0,53.0,,,1.0,4.0,3.0,4.0,6.0,,,6.0,4.0,,2.0,7.0,2.0,50.0,61.0,4.0,14.0,5.0,,,61.0,8.0,14.0,,,6.0,4.0,1.0,187.0,2.0,2.0,2.0,,2.0,,4.0,,2.0,,5.0,,12.0,12.0,,5.0,126.0,87.0,59.0,7.0,1.0,4.0,10.0,9.0,511.0,3.0,3.0,,25.0,72.0,21.0,,,,,,115.0,115.0,2.0,26.0,15.0,50.4,,,,,6.0,0.0,121.0,,2.0,2.0,,,,4.0,,,3.0,103.0,445.0,3.0,14.0,249.0,23.0,14.0,22.0,4.0,12.0,8.0,,133.0,7.0,293.0,2.0,2.0,23.0,34.0,45.0,1.0,530.0,,0.0,17.0,23.0,2.0,16.0,0.0,706.0,20.0,9.0,9.0,6.0,13.0,0.0
694959,6,2013-09-28 17:30:00,3,Arsenal,Away,153.0,15.0,,1.0,1.0,4.0,1.0,193.0,9.0,1.0,6.0,6.0,19.0,17.0,345.0,,1.0,12.0,12.0,27.0,6.0,1.0,,,,,,,,1.0,9.0,,,,,1.0,3.0,3.0,7.0,,,67.0,57.0,1.0,1.0,,2.0,21.0,2.0,7.0,,1.0,3.0,5.0,3.0,,6.0,2.0,45.0,57.0,2.0,16.0,10.0,,1.0,62.0,11.0,5.0,,,2.0,2.0,,155.0,2.0,,2.0,2.0,,,12.0,2.0,6.0,,10.0,,20.0,20.0,3.0,6.0,107.0,75.0,42.0,4.0,2.0,4.0,5.0,4.0,424.0,2.0,1.0,,44.0,63.0,8.0,,,,,,142.0,142.0,5.0,26.0,15.0,41.5,,,,,21.0,0.0,108.0,1.0,1.0,2.0,,2.0,,4.0,,,3.0,85.0,336.0,9.0,9.0,178.0,30.0,16.0,18.0,3.0,13.0,10.0,,127.0,13.0,272.0,6.0,1.0,17.0,21.0,37.0,4.0,437.0,,0.0,10.0,18.0,3.0,17.0,2.0,622.0,,9.0,8.0,3.0,14.0,0.0
694970,7,2013-10-06 16:00:00,3,Arsenal,Away,203.0,14.0,1.0,2.0,1.0,5.0,,284.0,10.0,,3.0,2.0,22.0,42.0,485.0,,1.0,11.0,14.0,17.0,9.0,1.0,1.0,1.0,1.0,,1.0,,,,12.0,,,,,,5.0,5.0,7.0,4.0,10.0,75.0,53.0,1.0,1.0,,,8.0,3.0,15.0,,1.0,2.0,15.0,5.0,,10.0,2.0,55.0,51.0,,29.0,16.0,,,81.0,11.0,6.0,,,2.0,,1.0,178.0,1.0,,1.0,1.0,,,15.0,1.0,1.0,,16.0,,11.0,11.0,1.0,3.0,150.0,77.0,59.0,6.0,1.0,4.0,7.0,5.0,526.0,2.0,,,65.0,68.0,28.0,,,,,,116.0,116.0,1.0,33.0,12.0,55.9,,,1.0,1.0,15.0,0.0,151.0,,3.0,3.0,,1.0,1.0,6.0,,,2.0,144.0,464.0,8.0,11.0,219.0,19.0,29.0,13.0,2.0,22.0,20.0,3.0,180.0,10.0,357.0,2.0,,7.0,25.0,56.0,2.0,554.0,,0.0,14.0,22.0,3.0,13.0,2.0,728.0,18.0,8.0,8.0,2.0,14.0,0.0
694980,8,2013-10-19 15:00:00,3,Arsenal,Home,233.0,17.0,3.0,8.0,5.0,2.0,,335.0,3.0,,5.0,6.0,29.0,43.0,560.0,1.0,1.0,13.0,17.0,8.0,12.0,1.0,3.0,1.0,,,,,,1.0,17.0,,,,,,2.0,4.0,8.0,11.0,9.0,94.0,62.0,3.0,,3.0,1.0,12.0,3.0,7.0,,1.0,10.0,19.0,3.0,,9.0,3.0,43.0,43.0,1.0,12.0,5.0,,,58.0,8.0,7.0,,,,,,200.0,4.0,,3.0,4.0,,1.0,6.0,4.0,,1.0,5.0,,15.0,15.0,3.0,5.0,167.0,79.0,59.0,1.0,3.0,5.0,12.0,11.0,623.0,2.0,1.0,,58.0,119.0,35.0,,,,,,129.0,129.0,6.0,30.0,21.0,56.3,,,,2.0,19.0,0.0,182.0,,5.0,5.0,,,1.0,6.0,,1.0,3.0,154.0,546.0,12.0,17.0,253.0,27.0,12.0,12.0,7.0,29.0,22.0,2.0,192.0,7.0,419.0,,,17.0,31.0,59.0,1.0,643.0,1.0,0.0,20.0,21.0,2.0,13.0,0.0,828.0,44.0,10.0,8.0,10.0,15.0,0.0
694983,9,2013-10-26 12:45:00,3,Arsenal,Away,263.0,22.0,1.0,5.0,4.0,1.0,,332.0,7.0,1.0,8.0,6.0,22.0,51.0,590.0,,2.0,16.0,20.0,13.0,8.0,,,,,,,,,,9.0,1.0,,,,,2.0,5.0,8.0,9.0,1.0,90.0,63.0,3.0,2.0,2.0,3.0,5.0,1.0,6.0,,1.0,3.0,6.0,4.0,,13.0,2.0,59.0,60.0,3.0,21.0,10.0,,,87.0,8.0,12.0,1.0,,4.0,2.0,,226.0,1.0,,1.0,1.0,,,8.0,1.0,2.0,,10.0,,12.0,12.0,1.0,9.0,189.0,82.0,61.0,4.0,1.0,5.0,4.0,4.0,653.0,2.0,4.0,,75.0,135.0,34.0,,,,,1.0,135.0,135.0,2.0,26.0,25.0,62.5,,,,2.0,16.0,0.0,168.0,,4.0,4.0,,1.0,,5.0,1.0,,3.0,174.0,574.0,5.0,9.0,273.0,34.0,21.0,23.0,3.0,15.0,12.0,1.0,236.0,4.0,415.0,2.0,1.0,17.0,24.0,67.0,2.0,673.0,2.0,1.0,10.0,26.0,3.0,17.0,0.0,880.0,38.0,9.0,11.0,3.0,17.0,0.0
695000,10,2013-11-02 17:30:00,3,Arsenal,Home,163.0,13.0,,1.0,1.0,3.0,,360.0,1.0,3.0,6.0,10.0,15.0,20.0,522.0,,1.0,23.0,13.0,14.0,8.0,,,,,,,,,2.0,12.0,,,,1.0,,1.0,8.0,4.0,9.0,3.0,93.0,78.0,1.0,2.0,1.0,2.0,7.0,1.0,11.0,,,3.0,8.0,2.0,,11.0,2.0,60.0,70.0,2.0,17.0,12.0,,1.0,97.0,11.0,7.0,,,2.0,2.0,,222.0,1.0,,,1.0,,,9.0,2.0,3.0,1.0,12.0,1.0,11.0,11.0,,7.0,143.0,90.0,56.0,5.0,2.0,2.0,7.0,7.0,598.0,2.0,1.0,,92.0,118.0,31.0,,,,,,156.0,156.0,9.0,24.0,28.0,54.4,1.0,,,1.0,22.0,0.0,165.0,2.0,2.0,4.0,,,,4.0,,,3.0,183.0,512.0,7.0,9.0,178.0,20.0,17.0,31.0,2.0,14.0,12.0,,243.0,8.0,459.0,3.0,3.0,28.0,20.0,46.0,1.0,623.0,1.0,0.0,12.0,34.0,1.0,25.0,2.0,837.0,23.0,10.0,15.0,3.0,27.0,0.0
695005,11,2013-11-10 16:10:00,3,Arsenal,Away,163.0,19.0,,4.0,4.0,4.0,,282.0,3.0,1.0,5.0,13.0,10.0,36.0,441.0,,,21.0,26.0,20.0,4.0,,3.0,,1.0,,1.0,,,,6.0,,,,,,3.0,3.0,2.0,6.0,4.0,90.0,69.0,,,,3.0,15.0,4.0,11.0,,,6.0,16.0,3.0,,13.0,1.0,75.0,63.0,3.0,37.0,23.0,,,88.0,11.0,12.0,,,2.0,2.0,1.0,203.0,,,,,,,5.0,,3.0,,23.0,1.0,14.0,14.0,1.0,5.0,119.0,95.0,66.0,5.0,,1.0,3.0,2.0,524.0,,1.0,,69.0,137.0,33.0,,,,,,172.0,172.0,4.0,29.0,29.0,59.5,,,,,24.0,0.0,132.0,,1.0,1.0,,1.0,,4.0,,,3.0,158.0,425.0,15.0,4.0,181.0,33.0,37.0,21.0,4.0,25.0,21.0,,213.0,16.0,388.0,3.0,1.0,30.0,14.0,63.0,2.0,544.0,,0.0,10.0,29.0,,26.0,3.0,783.0,18.0,11.0,5.0,6.0,22.0,0.0
