matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987593,1,2018-08-12 16:00:00,3,Arsenal,Home,200.0,18.0,,1.0,1.0,1.0,,121.0,5.0,1.0,6.0,3.0,5.0,29.0,320.0,1.0,,14.0,8.0,14.0,8.0,1.0,,,,,,,,,,,8.0,,,,,1.0,7.0,8.0,9.0,5.0,4.0,58.0,64.0,,1.0,,1.0,10.0,2.0,9.0,,1.0,2.0,7.0,4.0,,4.0,5.0,34.0,54.0,1.0,23.0,11.0,,1.0,0.568847,0.476449,0.124,2.7255,42.0,11.0,13.0,,,1.0,,,139.0,,,,,,,8.0,,,,11.0,,12.0,12.0,1.0,6.0,111.0,43.0,25.0,10.0,,4.0,5.0,3.0,372.0,3.0,,,51.0,26.0,21.0,,,,,127.0,127.0,7.0,27.0,23.0,42.0,,,,,23.0,0.0,93.0,4.0,2.0,6.0,,1.0,,4.0,,,3.0,70.0,296.0,10.0,9.0,233.0,38.0,23.0,7.0,1.0,12.0,11.0,,99.0,6.0,180.0,,1.0,9.0,6.0,53.0,7.0,401.0,2.0,0.0,9.0,22.0,2.0,16.0,2.0,593.0,16.0,20.0,5.0,2.0,14.0,0.0
987605,2,2018-08-18 17:30:00,3,Arsenal,Away,220.0,15.0,,4.0,4.0,,,137.0,8.0,1.0,6.0,,4.0,32.0,353.0,2.0,1.0,16.0,15.0,12.0,12.0,,,,,,,,,,,,15.0,,,,,,8.0,12.0,12.0,9.0,6.0,62.0,60.0,5.0,4.0,1.0,1.0,12.0,3.0,9.0,,,1.0,10.0,,,9.0,7.0,49.0,43.0,1.0,22.0,10.0,,2.0,,,,,42.0,9.0,12.0,,,2.0,1.0,,131.0,1.0,,1.0,1.0,,,9.0,2.0,,,10.0,,12.0,12.0,,6.0,124.0,58.0,31.0,5.0,2.0,6.0,7.0,6.0,402.0,6.0,2.0,,36.0,58.0,19.0,,,,,118.0,118.0,3.0,30.0,20.0,37.7,,,,,12.0,0.0,112.0,4.0,4.0,8.0,,,,6.0,,,3.0,75.0,331.0,6.0,13.0,245.0,34.0,22.0,12.0,1.0,12.0,11.0,,101.0,3.0,196.0,,1.0,10.0,4.0,62.0,3.0,429.0,2.0,0.0,15.0,14.0,1.0,17.0,2.0,606.0,19.0,12.0,5.0,1.0,6.0,0.0
987613,3,2018-08-25 15:00:00,3,Arsenal,Home,203.0,19.0,,3.0,3.0,4.0,,261.0,4.0,,8.0,6.0,13.0,27.0,461.0,,1.0,12.0,15.0,14.0,12.0,,,,,,,1.0,,,,,13.0,,,,,,12.0,6.0,7.0,9.0,8.0,86.0,63.0,2.0,,2.0,,23.0,5.0,17.0,,1.0,7.0,15.0,2.0,1.0,8.0,1.0,61.0,51.0,,26.0,15.0,,1.0,,,,,49.0,16.0,13.0,,,3.0,1.0,1.0,177.0,2.0,,1.0,2.0,,,6.0,2.0,,,15.0,,6.0,6.0,,8.0,139.0,69.0,53.0,2.0,,2.0,12.0,10.0,517.0,3.0,,,73.0,92.0,33.0,,,,,134.0,134.0,6.0,16.0,32.0,61.5,,,3.0,,23.0,0.0,142.0,2.0,2.0,4.0,,,,2.0,1.0,,3.0,114.0,440.0,11.0,14.0,221.0,32.0,26.0,15.0,3.0,21.0,18.0,,155.0,10.0,344.0,,,11.0,14.0,45.0,3.0,544.0,,0.0,17.0,15.0,2.0,13.0,1.0,734.0,29.0,15.0,9.0,7.0,11.0,0.0
987624,4,2018-09-02 13:30:00,3,Arsenal,Away,257.0,16.0,4.0,6.0,2.0,4.0,,284.0,6.0,,6.0,2.0,8.0,33.0,535.0,,,23.0,24.0,22.0,8.0,2.0,6.0,,,,,,,,,1.0,11.0,,,1.0,,,6.0,10.0,4.0,11.0,6.0,98.0,48.0,,1.0,,2.0,18.0,2.0,2.0,,,9.0,11.0,,1.0,7.0,1.0,50.0,51.0,2.0,21.0,14.0,,2.0,,,,,54.0,14.0,12.0,1.0,,1.0,,,192.0,3.0,1.0,2.0,2.0,1.0,,14.0,2.0,2.0,2.0,14.0,1.0,11.0,11.0,1.0,6.0,173.0,79.0,48.0,3.0,1.0,3.0,10.0,11.0,601.0,1.0,,,103.0,68.0,38.0,,,,,144.0,144.0,3.0,13.0,24.0,72.3,1.0,,,,18.0,0.0,172.0,,1.0,1.0,,,,4.0,,,3.0,130.0,513.0,5.0,13.0,285.0,34.0,21.0,11.0,8.0,19.0,11.0,,169.0,6.0,369.0,2.0,,14.0,8.0,62.0,1.0,635.0,1.0,0.0,17.0,11.0,,23.0,4.0,814.0,37.0,18.0,6.0,9.0,9.0,0.0
987637,5,2018-09-15 15:00:00,3,Arsenal,Away,253.0,17.0,1.0,4.0,3.0,,,254.0,2.0,1.0,11.0,4.0,6.0,30.0,503.0,2.0,1.0,15.0,24.0,24.0,8.0,1.0,,2.0,1.0,,,1.0,,,,,9.0,,,,,1.0,5.0,4.0,,8.0,4.0,93.0,57.0,,,,2.0,12.0,5.0,3.0,,,4.0,6.0,4.0,,15.0,1.0,57.0,58.0,2.0,28.0,16.0,,,,,,,65.0,11.0,13.0,,,3.0,1.0,1.0,194.0,,,,,,,3.0,1.0,2.0,1.0,16.0,,7.0,7.0,,11.0,137.0,85.0,49.0,10.0,2.0,4.0,5.0,2.0,578.0,2.0,1.0,,97.0,61.0,27.0,,,,,140.0,140.0,2.0,13.0,29.0,63.7,,,,,12.0,0.0,174.0,1.0,,1.0,,,2.0,5.0,1.0,,3.0,111.0,488.0,5.0,9.0,277.0,33.0,28.0,11.0,4.0,15.0,11.0,2.0,150.0,4.0,336.0,2.0,1.0,26.0,6.0,63.0,1.0,598.0,2.0,0.0,12.0,15.0,6.0,17.0,0.0,788.0,23.0,10.0,6.0,4.0,6.0,0.0
987642,6,2018-09-23 16:00:00,3,Arsenal,Home,243.0,23.0,1.0,3.0,3.0,1.0,,220.0,6.0,,4.0,3.0,4.0,44.0,460.0,,,26.0,15.0,21.0,4.0,1.0,,,,,,,,,,,8.0,,,,,,9.0,5.0,5.0,5.0,4.0,93.0,53.0,1.0,,1.0,3.0,18.0,3.0,13.0,,1.0,5.0,9.0,2.0,,14.0,4.0,63.0,55.0,3.0,27.0,13.0,,,,,,,65.0,17.0,12.0,1.0,,3.0,1.0,,185.0,2.0,,2.0,2.0,,,7.0,2.0,2.0,2.0,13.0,1.0,9.0,9.0,,5.0,131.0,81.0,48.0,9.0,1.0,,7.0,5.0,530.0,2.0,1.0,,119.0,55.0,29.0,,,,,147.0,147.0,3.0,25.0,17.0,62.5,,,,1.0,18.0,0.0,146.0,3.0,3.0,6.0,,,,1.0,,,3.0,117.0,442.0,11.0,7.0,264.0,44.0,27.0,12.0,4.0,15.0,12.0,,165.0,4.0,306.0,2.0,,14.0,5.0,75.0,1.0,555.0,1.0,0.0,9.0,19.0,2.0,29.0,2.0,761.0,26.0,14.0,6.0,5.0,12.0,0.0
987653,7,2018-09-29 15:00:00,3,Arsenal,Home,198.0,18.0,1.0,3.0,2.0,1.0,,252.0,3.0,,6.0,3.0,1.0,20.0,447.0,,,14.0,22.0,26.0,5.0,1.0,,1.0,,,,,,,,1.0,8.0,,,,,,6.0,10.0,4.0,6.0,3.0,90.0,53.0,2.0,2.0,1.0,3.0,24.0,1.0,8.0,,1.0,6.0,16.0,1.0,,12.0,2.0,59.0,60.0,3.0,35.0,18.0,,1.0,,,,,59.0,11.0,17.0,,2.0,,,,186.0,1.0,,1.0,1.0,,,12.0,1.0,1.0,1.0,18.0,,7.0,7.0,,6.0,142.0,75.0,42.0,6.0,1.0,4.0,3.0,2.0,508.0,2.0,,,111.0,72.0,30.0,,,,,151.0,151.0,2.0,23.0,21.0,63.5,,,,3.0,24.0,0.0,124.0,5.0,,5.0,,,1.0,6.0,,,3.0,132.0,426.0,11.0,7.0,228.0,36.0,35.0,15.0,5.0,22.0,17.0,1.0,170.0,5.0,336.0,1.0,,15.0,1.0,57.0,1.0,542.0,,0.0,9.0,10.0,3.0,18.0,2.0,740.0,23.0,10.0,7.0,6.0,5.0,0.0
987665,8,2018-10-07 12:00:00,3,Arsenal,Away,245.0,21.0,1.0,3.0,2.0,,,156.0,4.0,1.0,9.0,1.0,9.0,28.0,398.0,,1.0,20.0,20.0,14.0,2.0,,,,,,,,,,,,9.0,,,,,,8.0,7.0,14.0,6.0,3.0,79.0,66.0,1.0,,1.0,4.0,16.0,,3.0,,,2.0,5.0,,,10.0,1.0,51.0,54.0,4.0,19.0,11.0,,1.0,,,,,38.0,12.0,11.0,2.0,,,,,175.0,5.0,,4.0,5.0,,,7.0,5.0,,,11.0,,14.0,14.0,1.0,9.0,125.0,80.0,48.0,4.0,,2.0,5.0,7.0,477.0,7.0,2.0,,53.0,40.0,23.0,,,,,144.0,144.0,4.0,25.0,24.0,51.1,,,,,16.0,0.0,125.0,1.0,2.0,3.0,,,,2.0,,,3.0,71.0,378.0,7.0,7.0,279.0,45.0,19.0,14.0,2.0,7.0,5.0,,106.0,3.0,232.0,,1.0,10.0,10.0,60.0,1.0,504.0,1.0,0.0,9.0,21.0,2.0,24.0,0.0,699.0,32.0,11.0,8.0,2.0,14.0,0.0
987673,9,2018-10-22 20:00:00,3,Arsenal,Home,321.0,20.0,2.0,2.0,,3.0,,283.0,3.0,3.0,10.0,5.0,12.0,25.0,602.0,,1.0,19.0,17.0,16.0,5.0,2.0,,,,1.0,1.0,2.0,1.0,,,,14.0,,,,,,7.0,6.0,3.0,12.0,7.0,117.0,70.0,3.0,1.0,2.0,,25.0,2.0,10.0,,,6.0,5.0,1.0,,10.0,2.0,51.0,57.0,,12.0,7.0,,,,,,,60.0,10.0,9.0,,,3.0,1.0,2.0,204.0,3.0,,3.0,3.0,,,4.0,3.0,3.0,,7.0,,10.0,10.0,,10.0,216.0,66.0,47.0,4.0,1.0,6.0,4.0,6.0,687.0,3.0,1.0,1.0,74.0,90.0,31.0,,,,,143.0,143.0,7.0,28.0,25.0,69.1,,,3.0,,25.0,0.0,166.0,1.0,1.0,2.0,,,,11.0,,,3.0,150.0,589.0,9.0,10.0,346.0,29.0,12.0,16.0,4.0,11.0,7.0,,210.0,6.0,368.0,3.0,3.0,16.0,13.0,44.0,2.0,703.0,1.0,0.0,19.0,20.0,2.0,20.0,2.0,893.0,33.0,15.0,12.0,6.0,11.0,0.0
987684,10,2018-10-28 13:30:00,3,Arsenal,Away,256.0,19.0,1.0,1.0,,1.0,,208.0,10.0,1.0,4.0,1.0,9.0,23.0,463.0,,,16.0,13.0,17.0,3.0,,,,1.0,1.0,,2.0,,,1.0,,4.0,,,,,,11.0,9.0,7.0,4.0,3.0,76.0,57.0,,,1.0,3.0,18.0,2.0,10.0,,,4.0,5.0,2.0,1.0,17.0,,60.0,58.0,3.0,33.0,15.0,,,,,,,40.0,16.0,9.0,,,2.0,,2.0,142.0,,,,,,,10.0,,1.0,1.0,15.0,,14.0,14.0,3.0,4.0,165.0,65.0,44.0,6.0,1.0,1.0,2.0,2.0,532.0,2.0,1.0,,63.0,80.0,13.0,2.0,2.0,2.0,,144.0,144.0,5.0,29.0,19.0,57.8,,2.0,1.0,3.0,18.0,0.0,172.0,,1.0,1.0,,,,3.0,,,3.0,69.0,443.0,11.0,3.0,287.0,37.0,33.0,12.0,3.0,10.0,7.0,,102.0,1.0,278.0,1.0,1.0,12.0,10.0,45.0,,555.0,,0.0,7.0,25.0,,19.0,2.0,760.0,12.0,17.0,7.0,4.0,12.0,0.0
