matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755303,1.0,2014-08-16 17:30:00,3,Arsenal,Home,265.0,10.0,3.0,4.0,1.0,2.0,,379.0,2.0,1.0,4.0,1.0,29.0,16.0,640.0,,,21.0,17.0,23.0,8.0,2.0,,,,,,,,,,9.0,,,,,,1.0,7.0,1.0,3.0,,101.0,70.0,2.0,1.0,2.0,2.0,24.0,3.0,7.0,,1.0,9.0,17.0,4.0,1.0,11.0,,68.0,78.0,2.0,30.0,22.0,,1.0,95.0,13.0,18.0,,,3.0,3.0,,244.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,22.0,,16.0,16.0,1.0,4.0,198.0,76.0,62.0,3.0,1.0,4.0,7.0,6.0,709.0,,,2.0,3.0,,54.0,112.0,21.0,,,,,167.0,167.0,7.0,23.0,36.0,76.9,,,24.0,0.0,,,,187.0,,1.0,1.0,,1.0,,5.0,,3.0,177.0,620.0,9.0,11.0,278.0,24.0,30.0,34.0,9.0,33.0,24.0,1.0,234.0,8.0,485.0,,1.0,9.0,30.0,34.0,,730.0,,0.0,14.0,26.0,4.0,21.0,2.0,975.0,12.0,12.0,9.0,20.0,0.0
755316,2.0,2014-08-23 17:30:00,3,Arsenal,Away,206.0,15.0,1.0,5.0,4.0,3.0,1.0,247.0,4.0,1.0,6.0,4.0,17.0,18.0,448.0,1.0,,21.0,10.0,10.0,7.0,1.0,,,,,,,,,,11.0,,,,,,1.0,11.0,6.0,2.0,,60.0,55.0,2.0,1.0,1.0,2.0,19.0,1.0,7.0,,2.0,3.0,15.0,4.0,,5.0,,52.0,42.0,2.0,28.0,16.0,,1.0,63.0,18.0,10.0,1.0,,1.0,1.0,,192.0,2.0,,2.0,2.0,,,6.0,,,2.0,1.0,,,,1.0,16.0,,19.0,19.0,2.0,6.0,130.0,61.0,45.0,3.0,1.0,7.0,3.0,3.0,506.0,,,2.0,2.0,,78.0,56.0,27.0,,,,,131.0,131.0,2.0,25.0,20.0,54.2,,,19.0,0.0,,,,145.0,,,,,1.0,,9.0,,3.0,157.0,431.0,10.0,10.0,221.0,28.0,28.0,21.0,3.0,23.0,20.0,,204.0,9.0,329.0,1.0,1.0,12.0,20.0,33.0,,527.0,1.0,0.0,13.0,15.0,5.0,21.0,4.0,725.0,13.0,7.0,3.0,11.0,0.0
755326,3.0,2014-08-31 16:00:00,3,Arsenal,Away,225.0,20.0,2.0,4.0,2.0,3.0,,392.0,5.0,2.0,4.0,7.0,19.0,41.0,613.0,1.0,2.0,16.0,10.0,26.0,17.0,2.0,,,,,1.0,,,,1.0,19.0,,,,,,1.0,3.0,7.0,2.0,,104.0,66.0,3.0,3.0,1.0,2.0,21.0,13.0,13.0,,,10.0,12.0,2.0,,14.0,1.0,54.0,68.0,2.0,31.0,22.0,,,102.0,5.0,14.0,1.0,,2.0,1.0,1.0,215.0,,,,,,,7.0,,,1.0,4.0,,,,1.0,22.0,,9.0,9.0,2.0,4.0,194.0,72.0,54.0,5.0,,4.0,15.0,6.0,662.0,,,2.0,3.0,,100.0,86.0,26.0,,,,,142.0,142.0,3.0,26.0,29.0,68.3,,,21.0,0.0,,,,177.0,2.0,,2.0,,,,5.0,,3.0,208.0,589.0,8.0,19.0,235.0,27.0,31.0,25.0,8.0,23.0,15.0,,261.0,5.0,478.0,4.0,2.0,16.0,21.0,58.0,3.0,690.0,2.0,0.0,24.0,18.0,6.0,16.0,1.0,911.0,13.0,12.0,10.0,14.0,0.0
755333,4.0,2014-09-13 12:45:00,3,Arsenal,Home,151.0,14.0,,,,5.0,,216.0,6.0,,7.0,2.0,11.0,20.0,367.0,,2.0,11.0,14.0,14.0,8.0,,,,1.0,,1.0,,,,2.0,13.0,,,,1.0,,1.0,9.0,10.0,5.0,,56.0,80.0,4.0,3.0,2.0,2.0,22.0,,13.0,,,,7.0,4.0,,15.0,2.0,73.0,83.0,2.0,26.0,15.0,,,68.0,11.0,15.0,,,7.0,4.0,1.0,207.0,2.0,,2.0,2.0,,,8.0,,,2.0,1.0,,,,2.0,15.0,1.0,26.0,26.0,4.0,7.0,103.0,63.0,39.0,3.0,2.0,5.0,5.0,6.0,436.0,,,2.0,2.0,,30.0,62.0,26.0,,,,,166.0,166.0,9.0,32.0,27.0,45.4,1.0,,22.0,0.0,,,,96.0,4.0,2.0,6.0,,1.0,,9.0,,3.0,127.0,351.0,12.0,10.0,172.0,29.0,26.0,45.0,,15.0,15.0,,178.0,11.0,305.0,1.0,1.0,13.0,13.0,42.0,2.0,462.0,,0.0,15.0,31.0,3.0,15.0,3.0,727.0,11.0,23.0,,23.0,0.0
755343,5.0,2014-09-20 15:00:00,3,Arsenal,Away,385.0,17.0,1.0,3.0,2.0,4.0,,355.0,2.0,1.0,6.0,1.0,40.0,31.0,737.0,,2.0,19.0,3.0,11.0,6.0,,,,,,,,,,,7.0,,,,,,,6.0,5.0,1.0,,129.0,61.0,2.0,,2.0,3.0,19.0,2.0,6.0,,,5.0,10.0,3.0,,4.0,2.0,30.0,43.0,3.0,17.0,9.0,,2.0,90.0,9.0,11.0,1.0,,1.0,,,220.0,2.0,,2.0,2.0,,,2.0,,,2.0,,,,,,9.0,,22.0,22.0,2.0,6.0,240.0,90.0,71.0,5.0,1.0,3.0,5.0,3.0,800.0,,,2.0,2.0,,104.0,94.0,15.0,,,,,125.0,125.0,2.0,26.0,27.0,70.9,,,19.0,0.0,,,,226.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,139.0,723.0,10.0,8.0,400.0,33.0,17.0,17.0,5.0,18.0,13.0,,183.0,8.0,433.0,,1.0,8.0,41.0,52.0,2.0,815.0,,0.0,9.0,14.0,6.0,22.0,3.0,995.0,12.0,8.0,5.0,10.0,0.0
755353,6.0,2014-09-27 17:30:00,3,Arsenal,Home,226.0,24.0,4.0,9.0,5.0,1.0,1.0,327.0,3.0,1.0,6.0,,19.0,26.0,544.0,,2.0,26.0,9.0,15.0,9.0,1.0,1.0,,,,,,,,,13.0,,,,,,2.0,4.0,4.0,2.0,,95.0,55.0,,,1.0,,12.0,7.0,7.0,,2.0,15.0,26.0,4.0,,8.0,2.0,46.0,63.0,,11.0,6.0,1.0,,86.0,7.0,16.0,,,3.0,3.0,,209.0,,,,,,,3.0,,,1.0,1.0,,,,,6.0,,19.0,19.0,,6.0,165.0,61.0,51.0,5.0,1.0,1.0,9.0,6.0,595.0,,,,1.0,,110.0,114.0,21.0,,,,,148.0,148.0,3.0,20.0,25.0,68.6,,,12.0,0.0,,,,149.0,2.0,1.0,4.0,,,1.0,3.0,,3.0,177.0,523.0,5.0,10.0,236.0,32.0,11.0,31.0,12.0,45.0,33.0,2.0,231.0,10.0,427.0,1.0,1.0,5.0,20.0,41.0,3.0,618.0,,0.0,16.0,17.0,3.0,28.0,3.0,849.0,9.0,16.0,15.0,16.0,0.0
755364,7.0,2014-10-05 14:05:00,3,Arsenal,Away,156.0,19.0,1.0,1.0,,3.0,,270.0,1.0,5.0,3.0,6.0,12.0,24.0,425.0,1.0,,16.0,23.0,11.0,8.0,1.0,,,,,,,,,,9.0,,,,,,,8.0,3.0,2.0,,75.0,69.0,,,,1.0,17.0,4.0,13.0,,2.0,2.0,9.0,1.0,,7.0,,74.0,76.0,1.0,29.0,16.0,,,69.0,10.0,14.0,,,3.0,2.0,,192.0,,,,,,,3.0,,,,1.0,,,,,16.0,,17.0,17.0,,3.0,122.0,65.0,47.0,2.0,,5.0,4.0,,483.0,,,1.0,1.0,,82.0,44.0,18.0,1.0,1.0,1.0,,149.0,149.0,4.0,34.0,25.0,53.0,,,17.0,0.0,,,,116.0,,1.0,2.0,,1.0,,6.0,1.0,3.0,143.0,409.0,9.0,9.0,176.0,28.0,29.0,49.0,2.0,14.0,12.0,,181.0,8.0,343.0,1.0,5.0,21.0,16.0,45.0,,505.0,1.0,0.0,10.0,25.0,3.0,20.0,3.0,744.0,22.0,27.0,2.0,17.0,0.0
755373,8.0,2014-10-18 15:00:00,3,Arsenal,Home,205.0,19.0,1.0,7.0,6.0,1.0,,418.0,1.0,,3.0,,20.0,16.0,616.0,,2.0,18.0,16.0,15.0,16.0,,,,,,1.0,,,,1.0,22.0,,,,,,,5.0,3.0,1.0,,89.0,83.0,1.0,2.0,,,17.0,10.0,5.0,,1.0,10.0,11.0,5.0,,12.0,,56.0,66.0,,5.0,2.0,1.0,,72.0,9.0,13.0,1.0,,5.0,3.0,1.0,201.0,2.0,,1.0,2.0,,,1.0,,,2.0,,,,,,2.0,,21.0,21.0,1.0,3.0,213.0,51.0,49.0,,1.0,3.0,15.0,9.0,685.0,,,,5.0,,75.0,79.0,36.0,,,,,151.0,151.0,13.0,23.0,44.0,65.8,,,17.0,0.0,,,,195.0,1.0,1.0,2.0,,1.0,,6.0,,2.0,207.0,603.0,10.0,18.0,215.0,32.0,5.0,34.0,10.0,29.0,19.0,,268.0,2.0,512.0,,,5.0,22.0,25.0,,698.0,1.0,0.0,25.0,21.0,6.0,19.0,2.0,919.0,14.0,19.0,10.0,18.0,0.0
755388,9.0,2014-10-25 15:00:00,3,Arsenal,Away,154.0,19.0,,2.0,2.0,1.0,,289.0,,3.0,2.0,7.0,16.0,23.0,441.0,,,14.0,15.0,16.0,11.0,,1.0,,,,,,,,2.0,14.0,,,,,,,3.0,8.0,3.0,,84.0,74.0,,,2.0,1.0,15.0,2.0,14.0,,,3.0,12.0,4.0,,13.0,2.0,57.0,68.0,1.0,25.0,14.0,,1.0,57.0,9.0,10.0,,,3.0,1.0,,196.0,,,,,,,6.0,,,2.0,,,,,1.0,14.0,,23.0,23.0,1.0,2.0,139.0,87.0,43.0,3.0,2.0,7.0,4.0,5.0,517.0,,,3.0,1.0,,48.0,50.0,24.0,,,,,152.0,152.0,9.0,27.0,32.0,57.1,,,15.0,0.0,,,,120.0,2.0,1.0,3.0,,,1.0,8.0,,3.0,162.0,430.0,9.0,11.0,176.0,35.0,25.0,20.0,3.0,20.0,17.0,1.0,200.0,9.0,383.0,,3.0,28.0,16.0,64.0,,539.0,,0.0,15.0,31.0,3.0,15.0,3.0,755.0,13.0,12.0,3.0,21.0,0.0
755393,10.0,2014-11-01 15:00:00,3,Arsenal,Home,219.0,20.0,5.0,12.0,7.0,1.0,,335.0,2.0,1.0,9.0,2.0,14.0,21.0,542.0,1.0,,17.0,19.0,14.0,17.0,4.0,,,,1.0,1.0,,,,,19.0,,,,1.0,,,1.0,3.0,3.0,,94.0,60.0,2.0,2.0,2.0,1.0,20.0,10.0,5.0,,1.0,18.0,25.0,8.0,1.0,12.0,1.0,50.0,53.0,1.0,17.0,6.0,,1.0,70.0,5.0,8.0,,,2.0,,1.0,234.0,2.0,,2.0,2.0,,,4.0,,,2.0,2.0,,,,,6.0,1.0,14.0,14.0,1.0,9.0,154.0,60.0,42.0,1.0,2.0,9.0,14.0,12.0,609.0,,,1.0,3.0,,84.0,115.0,37.0,,,,,164.0,164.0,6.0,23.0,19.0,67.6,1.0,,20.0,0.0,,,,148.0,1.0,1.0,2.0,,,,10.0,4.0,3.0,206.0,524.0,11.0,23.0,243.0,39.0,17.0,30.0,16.0,49.0,33.0,,251.0,3.0,436.0,3.0,1.0,7.0,14.0,36.0,2.0,630.0,2.0,0.0,32.0,10.0,3.0,19.0,0.0,876.0,11.0,21.0,18.0,8.0,0.0
