playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,penaltiesConceded,penaltyGoalsConceded,rightFootGoals,blocks,throwInsToOwnPlayer,foulWonPenalty,penaltiesTaken,leftFootGoals,penaltyGoals,redCards2ndYellow,clearancesOffTheLine,hitWoodwork,secondGoalAssists,ownGoalScored,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,otherGoals
20695,Antonio Valencia,Defender,Man Utd,1,Ecuador,2018-19,14.0,5.0,0.4576,0.0,,,,,8.0,2.0,,23.0,6.0,,,5.0,43.0,4.0,271.0,,,,1.0,,6.0,,5.0,,465.0,,,3.0,18.0,1.0,16.0,15.0,217.0,,2.0,4.0,5.9067,7.0,2.0,6.0,5.0,,11.0,13.0,4.0,32.0,9.0,82.0,32.0,6.0,,2.0,3.0,144.0,4.0,,4.0,,,26.0,3.0,0.0,270.0,2.0,,55.0,6.0,3.0,,131.0,7.0,5.0,,11.0,45.0,374.0,1.0,,12.0,89.0,6.0,1.0,0.0554,2.0,20.0,14.0,2.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Man Utd,1,England,2018-19,99.0,14.0,3.7426,1.0,0.1209,4.0,3.0,1.1009,52.0,8.0,2.0,177.0,30.0,2.0,3.0,28.0,309.0,81.0,1376.0,2.0,4.0,3.0,2.0,102.0,35.0,1.0,42.0,,2569.0,,,12.0,121.0,6.0,79.0,98.0,957.0,30.0,20.0,49.0,40.0366,37.0,13.0,58.0,43.0,1.0,87.0,150.0,32.0,220.0,26.0,583.0,166.0,30.0,1.0,20.0,17.0,634.0,37.0,,155.0,2.0,1.0,185.0,23.0,0.0,1293.0,5.0,29.0,596.0,32.0,17.0,2.0,439.0,37.0,55.0,56.0,110.0,204.0,2287.0,,3.0,48.0,475.0,20.0,4.0,0.5001,8.0,132.0,83.0,4.0,,6.0,2.0,10.0,260.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
55909,Chris Smalling,Defender,Man Utd,1,England,2018-19,85.0,,0.4073,0.0,,2.0,2.0,0.4291,30.0,9.0,1.0,87.0,24.0,,,24.0,132.0,,954.0,1.0,2.0,,,,159.0,,,1.0,2128.0,1.0,,57.0,140.0,6.0,17.0,38.0,772.0,,30.0,,32.0229,2.0,6.0,106.0,36.0,2.0,28.0,282.0,8.0,225.0,12.0,281.0,81.0,24.0,,13.0,,205.0,30.0,,,,2.0,66.0,102.0,0.0,934.0,7.0,1.0,141.0,17.0,1.0,,325.0,22.0,26.0,,50.0,66.0,1232.0,1.0,,29.0,617.0,5.0,,1.1993,1.0,45.0,49.0,4.0,1.0,3.0,,25.0,7.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
216051,Diogo Dalot,Defender,Man Utd,1,Portugal,2018-19,30.0,13.0,2.0008,0.0,,5.0,,,24.0,10.0,,97.0,16.0,2.0,1.0,12.0,123.0,34.0,423.0,,2.0,5.0,4.0,3.0,27.0,,14.0,,1014.0,,,5.0,59.0,4.0,41.0,37.0,291.0,1.0,21.0,12.0,15.3168,15.0,1.0,30.0,18.0,,25.0,50.0,2.0,89.0,13.0,148.0,53.0,16.0,,12.0,5.0,201.0,14.0,,36.0,,,62.0,22.0,0.0,422.0,10.0,11.0,193.0,12.0,11.0,,148.0,12.0,10.0,2.0,9.0,77.0,721.0,6.0,5.0,15.0,113.0,4.0,1.0,0.7012,3.0,26.0,38.0,1.0,1.0,3.0,,2.0,75.0,,,,,,,,,,,,,,,,,,,,,,,
197365,Eric Bailly,Defender,Man Utd,1,Cote d’Ivoire,2018-19,13.0,,0.0176,1.0,,,1.0,0.0433,15.0,3.0,,22.0,12.0,,,8.0,39.0,,302.0,,,,4.0,,17.0,,,1.0,639.0,1.0,,4.0,37.0,1.0,6.0,24.0,244.0,,8.0,1.0,10.1621,,6.0,37.0,13.0,,9.0,76.0,5.0,50.0,5.0,93.0,42.0,12.0,,6.0,1.0,66.0,12.0,,,,,33.0,13.0,1.0,295.0,2.0,,48.0,9.0,4.0,,111.0,5.0,13.0,,19.0,22.0,406.0,2.0,,8.0,197.0,4.0,,0.2231,0.0,17.0,19.0,1.0,1.0,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Man Utd,1,England,2018-19,111.0,7.0,3.4138,0.0,,8.0,7.0,1.3162,55.0,13.0,2.0,224.0,29.0,4.0,3.0,29.0,277.0,32.0,1658.0,1.0,1.0,4.0,,15.0,77.0,2.0,14.0,4.0,2592.0,4.0,,28.0,148.0,5.0,80.0,99.0,1336.0,6.0,48.0,24.0,37.8425,29.0,3.0,80.0,39.0,4.0,83.0,722.0,17.0,259.0,30.0,623.0,143.0,29.0,2.0,26.0,11.0,781.0,34.0,,38.0,,4.0,182.0,49.0,0.0,1633.0,6.0,10.0,401.0,29.0,28.0,,96.0,42.0,21.0,5.0,45.0,217.0,2390.0,1.0,4.0,20.0,614.0,17.0,2.0,1.3911,11.0,53.0,86.0,6.0,,4.0,,12.0,266.0,,,1.0,,,,,,,,,,,,,,,,,,,,
58893,Marcos Rojo,Defender,Man Utd,1,Argentina,2018-19,9.0,,0.0323,0.0,0.0633,2.0,4.0,0.3013,5.0,4.0,,20.0,5.0,,,2.0,34.0,3.0,124.0,,,2.0,3.0,,4.0,3.0,,1.0,211.0,1.0,,1.0,10.0,,5.0,7.0,82.0,,2.0,,4.4603,,2.0,9.0,5.0,,8.0,44.0,1.0,19.0,1.0,59.0,8.0,5.0,3.0,2.0,,38.0,5.0,,3.0,1.0,,15.0,3.0,0.0,121.0,,2.0,40.0,3.0,1.0,1.0,14.0,3.0,6.0,,8.0,7.0,174.0,2.0,2.0,3.0,52.0,2.0,,0.2391,2.0,14.0,11.0,,,1.0,,2.0,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,
40002,Matteo Darmian,Defender,Man Utd,1,Italy,2018-19,17.0,1.0,0.2909,0.0,,,1.0,0.1268,14.0,1.0,,17.0,6.0,,,5.0,26.0,2.0,175.0,,1.0,,1.0,,6.0,1.0,1.0,,444.0,,,3.0,22.0,1.0,11.0,19.0,141.0,,,2.0,5.5392,2.0,2.0,19.0,8.0,,14.0,22.0,4.0,39.0,9.0,71.0,24.0,6.0,1.0,6.0,2.0,80.0,7.0,,2.0,,,33.0,3.0,0.0,175.0,,3.0,40.0,8.0,1.0,,58.0,3.0,7.0,,8.0,24.0,280.0,1.0,,4.0,70.0,2.0,,0.0289,0.0,9.0,6.0,1.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,
76359,Phil Jones,Defender,Man Utd,1,England,2018-19,33.0,,0.4101,0.0,,,2.0,0.1517,19.0,5.0,,43.0,18.0,1.0,1.0,15.0,56.0,1.0,754.0,,,,3.0,,64.0,1.0,,1.0,1262.0,1.0,,18.0,78.0,2.0,8.0,32.0,659.0,,6.0,1.0,17.0835,2.0,3.0,62.0,17.0,,15.0,255.0,10.0,111.0,5.0,221.0,92.0,18.0,1.0,6.0,,204.0,15.0,,1.0,,,47.0,46.0,0.0,740.0,3.0,1.0,70.0,13.0,3.0,,228.0,8.0,23.0,,39.0,50.0,938.0,3.0,,9.0,494.0,1.0,,0.4442,1.0,13.0,27.0,3.0,,3.0,,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
201084,Timothy Fosu-Mensah,Defender,Man Utd,1,Netherlands,2018-19,33.0,3.0,0.635,0.0,,,1.0,0.0786,18.0,4.0,1.0,48.0,12.0,,,10.0,76.0,12.0,406.0,,,,2.0,,20.0,1.0,3.0,,794.0,,,13.0,34.0,3.0,16.0,27.0,311.0,,9.0,15.0,17.7125,6.0,2.0,25.0,18.0,,20.0,19.0,1.0,67.0,6.0,128.0,42.0,12.0,1.0,11.0,4.0,168.0,15.0,,12.0,,,47.0,7.0,0.0,403.0,3.0,3.0,121.0,7.0,8.0,,203.0,7.0,12.0,,19.0,56.0,586.0,4.0,,14.0,165.0,7.0,,0.1009,3.0,28.0,28.0,,1.0,2.0,,5.0,42.0,,,,,,,,,1.0,,,,,,,,,,,,,,
