playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,goalKicks,punches,successfulLaunches,savesMade,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,unsuccessfulCornersIntoBox,foulWonPenalty,unsuccessfulLayoffs,headedGoals,blocks,penaltiesSaved,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,goalkeeperSmother,drops,lastPlayerTackle,setPiecesGoals,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,penaltiesConceded,clearancesOffTheLine,secondGoalAssists,ownGoalScored
606745,Ayden Heaven,Defender,Man Utd,1,England,2024-25,9.0,,,0.0,1.0,,,,4.0,1.0,,11.0,4.0,,,2.0,15.0,,105.0,,,,,2.0,,5.0,,,,,171.0,,3.0,12.0,,3.0,10.0,87.0,,2.0,,,,1.0,8.0,1.0,,6.0,35.0,4.0,0.0,21.0,,,34.0,11.0,4.0,,,1.0,,2.0,30.0,1.0,,3.0,,16.0,2.0,0.0,104.0,1.0,,22.0,3.0,2.0,24.0,4.0,4.0,3.0,12.0,144.0,,2.0,,,3.0,60.0,2.0,1.0,,1.0,4.0,5.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,
216051,Diogo Dalot,Defender,Man Utd,1,Portugal,2024-25,122.0,12.0,2.4553,0.0,7.0,5.0,1.0,0.8843,68.0,18.0,4.0,163.0,33.0,3.0,17.0,31.0,222.0,54.0,1373.0,,4.0,,2.0,2.0,,59.0,8.0,1.0,12.0,4.0,2813.0,4.0,21.0,142.0,5.0,49.0,104.0,1096.0,,71.0,45.0,3.0,45.7882,23.0,64.0,45.0,5.0,101.0,349.0,9.0,0.0,264.0,13.0,,432.0,167.0,33.0,1.0,,28.0,,22.0,582.0,40.0,54.0,43.0,5.0,205.0,38.0,0.0,1360.0,13.0,18.0,408.0,40.0,27.0,273.0,40.0,37.0,55.0,319.0,2063.0,184.0,2.0,2.0,2.0,35.0,581.0,21.0,,2.0519,5.0,59.0,93.0,,,,10.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,
576637,Godwill Kukonki,Defender,Man Utd,1,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577974,Harry Amass,Defender,Man Utd,1,England,2024-25,23.0,,0.0743,0.0,1.0,,,,6.0,2.0,,15.0,5.0,,,4.0,18.0,9.0,143.0,,1.0,,1.0,1.0,,13.0,,,,,346.0,,6.0,20.0,1.0,13.0,13.0,125.0,,5.0,5.0,,9.1124,1.0,9.0,9.0,,17.0,40.0,4.0,0.0,43.0,10.0,,38.0,26.0,5.0,,,4.0,,4.0,71.0,8.0,9.0,9.0,,30.0,7.0,0.0,141.0,2.0,1.0,59.0,2.0,3.0,12.0,2.0,2.0,,53.0,263.0,24.0,1.0,,1.0,2.0,54.0,1.0,,0.0699,0.0,3.0,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Man Utd,1,England,2024-25,53.0,,0.2903,0.0,2.0,7.0,,1.1662,30.0,13.0,,97.0,27.0,,3.0,19.0,155.0,4.0,1119.0,1.0,2.0,0.0,,8.0,,90.0,2.0,,,6.0,1757.0,6.0,26.0,107.0,2.0,9.0,43.0,906.0,,46.0,,2.0,26.3572,9.0,77.0,27.0,2.0,27.0,316.0,11.0,1.0,160.0,3.0,1.0,344.0,68.0,27.0,,,15.0,,3.0,274.0,25.0,4.0,5.0,2.0,70.0,64.0,0.0,1079.0,6.0,4.0,178.0,15.0,2.0,407.0,18.0,40.0,58.0,52.0,1356.0,1.0,6.0,1.0,,26.0,690.0,7.0,,1.8029,7.0,58.0,51.0,,14.0,,6.0,,14.0,,,,,,,1.0,12.0,,,,,,,,1.0,,,,,,,,,,,
37642,Jonny Evans,Defender,Man Utd,1,Northern Ireland,2024-25,11.0,,0.0328,0.0,,1.0,,0.275,8.0,2.0,,18.0,7.0,,,3.0,24.0,,214.0,,,,,4.0,,13.0,1.0,,,1.0,314.0,1.0,3.0,24.0,1.0,2.0,14.0,184.0,,3.0,1.0,,3.1609,,15.0,2.0,,8.0,86.0,6.0,0.0,35.0,1.0,,76.0,16.0,7.0,,,2.0,,,51.0,1.0,,,,22.0,10.0,0.0,197.0,1.0,1.0,26.0,6.0,1.0,29.0,5.0,5.0,6.0,23.0,260.0,2.0,2.0,,,3.0,139.0,5.0,,0.127,1.0,6.0,10.0,,12.0,,2.0,,12.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
550864,Leny Yoro,Defender,Man Utd,1,France,2024-25,37.0,1.0,0.1728,0.0,2.0,1.0,,0.1921,29.0,3.0,2.0,39.0,21.0,,1.0,12.0,57.0,,757.0,,1.0,,,9.0,,32.0,1.0,,1.0,1.0,1162.0,1.0,16.0,49.0,3.0,7.0,33.0,681.0,,13.0,,1.0,20.9656,2.0,43.0,24.0,2.0,21.0,215.0,2.0,0.0,86.0,2.0,,266.0,46.0,21.0,,,18.0,,2.0,242.0,21.0,,6.0,2.0,54.0,16.0,0.0,744.0,2.0,2.0,67.0,11.0,2.0,232.0,9.0,18.0,19.0,44.0,905.0,7.0,7.0,,,14.0,459.0,4.0,,0.7048,5.0,18.0,33.0,,4.0,,1.0,,4.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,
221820,Lisandro Martínez,Defender,Man Utd,1,Argentina,2024-25,54.0,3.0,1.2793,0.0,6.0,6.0,,0.954,40.0,11.0,5.0,73.0,20.0,1.0,,20.0,131.0,6.0,1314.0,2.0,,2.0,2.0,,,29.0,5.0,1.0,3.0,3.0,1754.0,3.0,13.0,69.0,2.0,21.0,53.0,1139.0,,18.0,2.0,3.0,26.8872,8.0,54.0,27.0,4.0,41.0,477.0,7.0,1.0,123.0,14.0,0.0,487.0,81.0,20.0,1.0,,16.0,2.0,1.0,395.0,25.0,6.0,4.0,4.0,94.0,16.0,0.0,1276.0,5.0,6.0,147.0,24.0,6.0,238.0,22.0,32.0,44.0,112.0,1555.0,14.0,3.0,,2.0,32.0,791.0,13.0,,1.3034,7.0,58.0,38.0,,23.0,,8.0,,23.0,,,,,,,,8.0,,,,,,,,3.0,,,,,,,,,,,
106760,Luke Shaw,Defender,Man Utd,1,England,2024-25,6.0,1.0,0.7692,0.0,,,,,4.0,1.0,1.0,22.0,7.0,,,4.0,31.0,9.0,277.0,,,,,3.0,4.0,5.0,,,1.0,,348.0,,2.0,8.0,,11.0,5.0,231.0,,5.0,,,4.0797,5.0,7.0,5.0,,4.0,120.0,1.0,0.0,14.0,5.0,,114.0,9.0,7.0,,,1.0,,1.0,89.0,5.0,10.0,1.0,,9.0,3.0,0.0,266.0,1.0,2.0,44.0,3.0,,20.0,3.0,2.0,15.0,23.0,321.0,2.0,3.0,,,4.0,158.0,3.0,,0.0345,1.0,9.0,19.0,,3.0,,,,3.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0
209365,Matthijs de Ligt,Defender,Man Utd,1,Netherlands,2024-25,58.0,2.0,0.2745,0.0,3.0,10.0,,3.4792,30.0,15.0,,68.0,29.0,,,25.0,132.0,4.0,1370.0,2.0,2.0,1.0,,4.0,,88.0,3.0,,2.0,8.0,2128.0,8.0,30.0,102.0,3.0,19.0,44.0,1205.0,,30.0,,2.0,34.6619,6.0,91.0,36.0,3.0,28.0,373.0,12.0,1.0,160.0,8.0,1.0,352.0,68.0,29.0,,,8.0,1.0,2.0,295.0,33.0,4.0,5.0,3.0,72.0,58.0,0.0,1344.0,5.0,4.0,149.0,22.0,2.0,556.0,16.0,33.0,33.0,89.0,1638.0,1.0,9.0,1.0,,26.0,945.0,6.0,1.0,2.4696,3.0,64.0,55.0,,7.0,,4.0,,7.0,,,,,,,1.0,21.0,,,,,,,,1.0,,,,,,,,2.0,1.0,,
