playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,successfulLaunches,totalClearances,setPiecesGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,penaltiesConceded
20695,Antonio Valencia,Defender,Man Utd,1,Ecuador,2017-18,119.0,14.0,2.4722,0.0,,9.0,3.0,1.1596,57.0,7.0,3.0,141.0,31.0,1.0,3.0,,31.0,235.0,65.0,1602.0,3.0,4.0,5.0,,,47.0,14.0,,14.0,,2742.0,,,25.0,128.0,2.0,80.0,106.0,1292.0,,56.0,33.1296,22.0,22.0,4.0,94.0,66.0,20.0,247.0,41.0,486.0,188.0,31.0,,,2.0,25.0,1.0,19.0,786.0,20.0,,65.0,,4.0,200.0,22.0,0.0,1579.0,4.0,13.0,405.0,32.0,29.0,6.0,,772.0,38.0,48.0,,,75.0,278.0,2364.0,243.0,3.0,,5.0,67.0,595.0,24.0,1.0,0.5181,7.0,94.0,68.0,33.0,26.0,60.0,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Man Utd,1,England,2017-18,120.0,25.0,4.1987,0.0,0.2083,10.0,4.0,1.1743,53.0,8.0,2.0,141.0,30.0,4.0,6.0,,28.0,263.0,68.0,1285.0,2.0,1.0,6.0,2.0,24.0,40.0,7.0,,34.0,2.0,2445.0,2.0,,21.0,136.0,3.0,61.0,117.0,927.0,7.0,25.0,33.1554,22.0,26.0,4.0,99.0,458.0,35.0,256.0,19.0,533.0,168.0,30.0,,,2.0,21.0,,23.0,609.0,23.0,,87.0,3.0,4.0,216.0,19.0,0.0,1255.0,4.0,15.0,466.0,32.0,29.0,5.0,3.0,103.0,29.0,57.0,15.0,,95.0,191.0,2083.0,229.0,7.0,1.0,6.0,75.0,447.0,21.0,,0.7759,7.0,122.0,65.0,36.0,17.0,72.0,1.0,1.0,,,,,,,,,,,,,,,
55909,Chris Smalling,Defender,Man Utd,1,England,2017-18,84.0,,0.259,0.0,,3.0,6.0,1.4869,40.0,10.0,,83.0,29.0,,1.0,,28.0,141.0,,1137.0,4.0,2.0,,1.0,,160.0,11.0,,,2.0,2535.0,2.0,,52.0,165.0,2.0,14.0,57.0,952.0,,23.0,32.73,2.0,24.0,3.0,32.0,365.0,14.0,249.0,4.0,306.0,139.0,29.0,,,1.0,15.0,1.0,,208.0,22.0,2.0,,,3.0,89.0,108.0,0.0,1122.0,4.0,,150.0,25.0,3.0,28.0,,391.0,24.0,63.0,,,44.0,75.0,1514.0,2.0,,,,40.0,788.0,7.0,1.0,1.7115,4.0,58.0,55.0,,12.0,159.0,,,,,,,,,,,,,,,,,
58877,Daley Blind,Defender,Man Utd,1,Netherlands,2017-18,19.0,4.0,0.6438,0.0,,1.0,,,6.0,2.0,,22.0,7.0,,,,4.0,33.0,9.0,224.0,,,1.0,3.0,15.0,14.0,3.0,,9.0,,361.0,,,6.0,19.0,,6.0,11.0,180.0,5.0,2.0,2.1909,4.0,,,13.0,93.0,4.0,38.0,3.0,89.0,23.0,7.0,,,,2.0,,1.0,133.0,,,17.0,,,24.0,8.0,0.0,221.0,2.0,3.0,62.0,4.0,1.0,,,18.0,4.0,7.0,8.0,,11.0,24.0,325.0,20.0,1.0,,1.0,6.0,67.0,4.0,,0.0901,0.0,11.0,4.0,4.0,,12.0,,,,,,,,,,,,,,,,,
197365,Eric Bailly,Defender,Man Utd,1,Cote d’Ivoire,2017-18,30.0,,0.2463,0.0,,1.0,1.0,0.97,17.0,2.0,1.0,30.0,13.0,,,,11.0,59.0,,426.0,1.0,,,2.0,,25.0,7.0,,,,1000.0,,,8.0,47.0,,9.0,30.0,349.0,,7.0,10.9191,2.0,6.0,1.0,22.0,113.0,9.0,77.0,5.0,144.0,58.0,13.0,,,1.0,7.0,,,105.0,6.0,,,,1.0,52.0,17.0,0.0,411.0,1.0,1.0,66.0,10.0,4.0,6.0,,146.0,10.0,25.0,,,18.0,23.0,575.0,1.0,,,,21.0,262.0,7.0,,1.1035,2.0,29.0,25.0,,2.0,56.0,,,,,,,,,,,,,,,,1.0,
106760,Luke Shaw,Defender,Man Utd,1,England,2017-18,38.0,,0.285,0.0,,5.0,5.0,0.5922,18.0,7.0,,56.0,11.0,,,,8.0,72.0,24.0,477.0,,,3.0,3.0,7.0,36.0,6.0,3.0,,2.0,788.0,2.0,,19.0,49.0,1.0,37.0,32.0,397.0,,17.0,4.9267,9.0,2.0,2.0,19.0,211.0,8.0,87.0,14.0,168.0,42.0,11.0,,3.0,,3.0,,4.0,228.0,1.0,,30.0,,2.0,51.0,17.0,0.0,471.0,2.0,11.0,138.0,15.0,6.0,2.0,,31.0,4.0,4.0,6.0,,8.0,67.0,699.0,60.0,1.0,1.0,3.0,8.0,177.0,3.0,,0.4063,2.0,16.0,23.0,17.0,3.0,19.0,,,,,,,,,,,,,,,,,
58893,Marcos Rojo,Defender,Man Utd,1,Argentina,2017-18,22.0,,0.0506,0.0,,2.0,1.0,0.3325,7.0,3.0,,25.0,9.0,,,,8.0,66.0,1.0,358.0,,,2.0,1.0,,23.0,3.0,,,1.0,640.0,1.0,,7.0,31.0,1.0,8.0,15.0,273.0,,4.0,13.4314,2.0,8.0,,15.0,128.0,4.0,53.0,5.0,155.0,37.0,9.0,,,,2.0,,,95.0,7.0,,1.0,,,30.0,16.0,0.0,351.0,2.0,2.0,69.0,5.0,4.0,6.0,,64.0,8.0,7.0,,,19.0,11.0,463.0,3.0,3.0,,2.0,36.0,197.0,5.0,,0.1516,6.0,41.0,16.0,,8.0,54.0,,,,,,,,,,,,,,,,,1.0
40002,Matteo Darmian,Defender,Man Utd,1,Italy,2017-18,27.0,,0.0433,0.0,,,,,16.0,2.0,,18.0,8.0,,,,5.0,32.0,6.0,195.0,,,,3.0,,12.0,3.0,,,,444.0,,,6.0,24.0,,10.0,18.0,154.0,,2.0,5.8649,1.0,3.0,,21.0,32.0,1.0,51.0,2.0,67.0,17.0,8.0,,,,2.0,,1.0,92.0,3.0,,6.0,,,39.0,6.0,0.0,194.0,2.0,3.0,54.0,14.0,1.0,3.0,,64.0,5.0,7.0,,,9.0,32.0,321.0,45.0,1.0,,,11.0,71.0,3.0,,0.029,0.0,14.0,12.0,8.0,2.0,22.0,,,,,,,,,,,,,,,,,
76359,Phil Jones,Defender,Man Utd,1,England,2017-18,46.0,,0.1104,0.0,,,,,25.0,2.0,,56.0,23.0,,,,23.0,95.0,2.0,1083.0,,,,,,79.0,15.0,,,,1975.0,,,22.0,109.0,1.0,14.0,52.0,935.0,,3.0,19.7821,2.0,11.0,,24.0,399.0,24.0,155.0,8.0,304.0,134.0,23.0,,,,7.0,,2.0,264.0,10.0,,2.0,,,76.0,57.0,0.0,1072.0,2.0,1.0,111.0,18.0,7.0,17.0,,292.0,10.0,41.0,,,53.0,88.0,1379.0,3.0,2.0,1.0,,26.0,724.0,7.0,,0.4134,2.0,39.0,33.0,,4.0,129.0,,1.0,,,,,,,,,,,,,,1.0,
184667,Victor Lindelöf,Defender,Man Utd,1,Sweden,2017-18,41.0,,0.2784,0.0,,1.0,,,17.0,,,47.0,17.0,,,,13.0,69.0,1.0,751.0,,,1.0,4.0,,47.0,5.0,,,,1284.0,,,25.0,51.0,2.0,8.0,29.0,652.0,,,18.4028,2.0,14.0,,16.0,227.0,9.0,92.0,4.0,245.0,94.0,17.0,,,,6.0,,1.0,238.0,12.0,,1.0,,,45.0,22.0,0.0,737.0,,,81.0,11.0,4.0,11.0,,229.0,10.0,13.0,,,30.0,50.0,928.0,25.0,,,1.0,19.0,444.0,6.0,1.0,0.0125,1.0,22.0,26.0,2.0,4.0,64.0,,,,,,,,,,,,,,,,,
