playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,throughBalls,setPiecesGoals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,throwInsToOppositionPlayer,oboxTarget,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,leftFootGoals,hitWoodwork,secondGoalAssists,lastPlayerTackle,penaltiesTaken,clearancesOffTheLine,penaltyGoals,foulWonPenalty,goalKicks,gkSuccessfulDistribution,penaltiesConceded,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
440323,Armando Broja,Forward,Everton,11,Albania,2024-25,47.0,,,0.0,,,1.0,,3.0,4.0,18.0,10.0,,5.0,4.0,18.0,1.0,71.0,,3.0,,,6.0,39.0,,,,331.0,,1.0,21.0,33.0,,4.0,15.0,53.0,18.0,,4.0,,4.0,2.0,,26.0,20.0,4.0,0.0,80.0,3.0,,17.0,9.0,10.0,,2.0,7.0,46.0,2.0,,,1.0,20.0,,41.0,18.0,0.0,71.0,4.0,,57.0,1.0,8.0,,13.0,6.0,1.0,,21.0,152.0,4.0,,,7.0,1.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486385,Beto,Forward,Everton,11,Guinea-Bissau,2024-25,195.0,1.0,0.4692,0.0,8.0,23.0,7.0,9.2618,14.0,41.0,104.0,30.0,,19.0,15.0,109.0,3.0,264.0,8.0,16.0,2.0,3.0,15.0,204.0,1.0,1.0,13.0,1528.0,13.0,8.0,105.0,155.0,3.0,23.0,56.0,152.0,92.0,22.6832,12.0,2.0,24.0,24.0,5.0,90.0,63.0,23.0,0.0,350.0,10.0,6.0,57.0,40.0,30.0,5.0,8.0,17.0,89.0,21.0,,2.0,3.0,54.0,5.0,146.0,99.0,0.0,260.0,18.0,11.0,244.0,6.0,19.0,2.0,61.0,33.0,4.0,3.0,83.0,601.0,9.0,3.0,3.0,67.0,14.0,,8.2603,2.0,5.0,20.0,,1.0,,1.0,2.0,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
504296,Coby Ebere,Forward,Everton,11,Germany,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177815,Dominic Calvert-Lewin,Forward,Everton,11,England,2024-25,156.0,1.0,0.6652,0.0,8.0,20.0,2.0,4.8722,9.0,42.0,99.0,26.0,1.0,16.0,19.0,103.0,5.0,282.0,3.0,27.0,1.0,1.0,7.0,170.0,3.0,1.0,16.0,1613.0,16.0,7.0,84.0,127.0,2.0,17.0,41.0,177.0,96.0,24.1778,6.0,,23.0,18.0,7.0,72.0,64.0,23.0,0.0,283.0,5.0,2.0,79.0,35.0,26.0,2.0,2.0,13.0,135.0,16.0,,1.0,5.0,46.0,7.0,113.0,86.0,0.0,281.0,22.0,12.0,233.0,7.0,10.0,2.0,60.0,27.0,7.0,2.0,79.0,596.0,11.0,1.0,2.0,45.0,11.0,2.0,6.7498,2.0,4.0,15.0,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
440993,Iliman Ndiaye,Forward,Everton,11,Senegal,2024-25,176.0,9.0,1.3518,0.0,10.0,18.0,8.0,7.688,53.0,27.0,97.0,33.0,,26.0,29.0,104.0,22.0,691.0,9.0,5.0,4.0,5.0,4.0,27.0,7.0,10.0,8.0,2440.0,8.0,,19.0,179.0,3.0,47.0,171.0,572.0,91.0,29.3778,18.0,,15.0,24.0,5.0,157.0,208.0,52.0,3.0,355.0,25.0,5.0,167.0,172.0,33.0,6.0,25.0,64.0,384.0,21.0,,,28.0,108.0,5.0,328.0,8.0,0.0,678.0,9.0,15.0,305.0,28.0,68.0,5.0,103.0,24.0,20.0,15.0,213.0,1246.0,15.0,5.0,3.0,213.0,16.0,2.0,6.2444,3.0,7.0,28.0,,2.0,,10.0,1.0,1.0,,1.0,,,5.0,5.0,3.0,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,
496279,Isaac Heath,Forward,Everton,11,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221399,Jack Harrison,Forward,Everton,11,England,2024-25,156.0,16.0,3.1335,0.0,10.0,7.0,2.0,1.0704,32.0,19.0,110.0,34.0,,15.0,24.0,137.0,73.0,513.0,1.0,4.0,1.0,1.0,10.0,32.0,2.0,31.0,4.0,2083.0,4.0,,28.0,88.0,3.0,49.0,84.0,363.0,73.0,32.874,33.0,3.0,31.0,27.0,9.0,128.0,67.0,28.0,0.0,244.0,16.0,0.0,163.0,73.0,34.0,,10.0,43.0,284.0,24.0,,,100.0,84.0,9.0,212.0,4.0,0.0,499.0,12.0,14.0,383.0,22.0,24.0,2.0,146.0,13.0,10.0,13.0,137.0,1041.0,16.0,1.0,10.0,123.0,7.0,,3.5209,0.0,27.0,33.0,,4.0,,32.0,2.0,10.0,1.0,2.0,,,18.0,7.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
536241,Martin Sherif,Forward,Everton,11,Netherlands,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115382,Neal Maupay,Forward,Everton,11,France,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491012,Youssef Chermiti,Forward,Everton,11,Portugal,2024-25,4.0,,0.0018,0.0,2.0,1.0,,0.0304,,1.0,4.0,4.0,,,,4.0,1.0,10.0,,2.0,,,4.0,3.0,,,1.0,42.0,1.0,,1.0,4.0,,,2.0,5.0,3.0,1.1122,,,,,2.0,3.0,4.0,1.0,0.0,8.0,,,3.0,,4.0,,,,4.0,,,,1.0,1.0,2.0,5.0,2.0,0.0,10.0,,2.0,6.0,,1.0,,1.0,1.0,,1.0,2.0,18.0,,,,2.0,,,0.1079,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
