matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561901,1,2025-08-16 17:30:00,43,Man City,Away,246.0,12.0,3.0,6.0,3.0,4.0,,270.0,1.0,3.0,3.0,1.0,7.0,13.0,510.0,1.0,1.0,16.0,5.0,10.0,4.0,2.0,3.0,1.0,0.0,,,,1.0,,,,,10.0,0.0,,,,,1.0,5.0,6.0,3.0,8.0,7.0,90.0,40.0,3.0,2.0,1.0,3.0,6.0,4.0,5.0,,,5.0,8.0,6.0,0.0,14.0,2.0,42.0,55.0,3.0,22.0,12.0,,2.0,1.46095,2.4666,0.1217,2.2679,0.7363,48.0,7.0,13.0,2.0,,2.0,1.0,1.0,150.0,3.0,,3.0,3.0,,1.0,3.0,4.0,1.0,,12.0,,7.0,7.0,1.0,0.0,3.0,156.0,53.0,36.0,4.0,1.0,5.0,4.0,4.0,543.0,3.0,1.0,0.0,66.0,65.0,28.0,,,,,,109.0,109.0,2.0,11.0,18.0,58.4,,,,1.0,14.0,0.0,167.0,3.0,,3.0,1.0,1.0,7.0,,1.0,5.0,112.0,494.0,6.0,9.0,260.0,21.0,22.0,25.0,5.0,20.0,15.0,117073.5,2.0,134.0,6.0,323.0,1.0,3.0,9.0,7.0,30.0,,563.0,1.0,0.0,15.0,18.0,1.0,17.0,2.0,765.0,28.0,15.0,0.0,14.0,6.0,11.0,0.0
2561912,2,2025-08-23 12:30:00,43,Man City,Home,247.0,15.0,1.0,5.0,4.0,1.0,,214.0,7.0,3.0,5.0,4.0,16.0,15.0,456.0,1.0,1.0,22.0,8.0,12.0,7.0,1.0,3.0,,0.0,,,,,,,,1.0,7.0,0.0,,,,,,4.0,10.0,2.0,6.0,4.0,77.0,47.0,2.0,2.0,,,6.0,3.0,8.0,,,7.0,5.0,7.0,0.0,16.0,2.0,47.0,51.0,,23.0,17.0,1.0,1.0,1.55615,1.5525,,0.6394,2.0815,47.0,7.0,12.0,,,2.0,1.0,,172.0,,,,,,,10.0,0.0,,,17.0,,6.0,6.0,,0.0,5.0,147.0,54.0,32.0,2.0,0.0,1.0,7.0,4.0,499.0,2.0,3.0,0.0,48.0,64.0,29.0,,,,,,130.0,130.0,6.0,13.0,20.0,61.4,,,,,15.0,0.0,129.0,3.0,,3.0,,,3.0,,0.0,5.0,114.0,434.0,6.0,8.0,268.0,26.0,23.0,15.0,6.0,19.0,13.0,114392.16,,149.0,1.0,276.0,,4.0,15.0,17.0,39.0,,525.0,1.0,0.0,10.0,20.0,2.0,23.0,1.0,728.0,34.0,19.0,0.0,7.0,7.0,10.0,0.0
2561916,3,2025-08-31 14:00:00,43,Man City,Away,256.0,13.0,1.0,1.0,1.0,,,238.0,6.0,1.0,3.0,5.0,13.0,19.0,493.0,,3.0,16.0,9.0,14.0,6.0,1.0,2.0,2.0,0.0,,,,,,,,1.0,10.0,0.0,,,,,,6.0,10.0,2.0,8.0,4.0,111.0,50.0,2.0,2.0,1.0,,9.0,1.0,8.0,,,2.0,2.0,,0.0,8.0,4.0,47.0,58.0,,15.0,14.0,,,1.46205,1.8202,,1.0956,3.0718,38.0,14.0,15.0,1.0,,1.0,1.0,,152.0,1.0,,1.0,1.0,,,7.0,1.0,1.0,1.0,14.0,,9.0,9.0,1.0,0.0,3.0,145.0,57.0,38.0,3.0,0.0,4.0,4.0,3.0,536.0,2.0,3.0,0.0,53.0,67.0,13.0,1.0,1.0,1.0,,,108.0,108.0,3.0,15.0,23.0,63.7,,3.0,,,23.0,0.0,157.0,3.0,2.0,5.0,1.0,2.0,8.0,,0.0,4.0,103.0,469.0,9.0,8.0,283.0,22.0,15.0,23.0,2.0,5.0,3.0,109499.03,2.0,127.0,1.0,287.0,1.0,1.0,20.0,15.0,42.0,,565.0,1.0,0.0,12.0,15.0,4.0,16.0,2.0,735.0,24.0,12.0,0.0,14.0,2.0,7.0,0.0
2561932,4,2025-09-14 16:30:00,43,Man City,Home,202.0,19.0,,1.0,1.0,2.0,,151.0,4.0,,3.0,5.0,15.0,22.0,352.0,,5.0,21.0,11.0,18.0,7.0,,,2.0,0.0,,,,,,,,3.0,13.0,0.0,,,,1.0,,1.0,7.0,5.0,12.0,1.0,68.0,50.0,4.0,2.0,2.0,1.0,7.0,,6.0,,,2.0,1.0,,0.0,8.0,2.0,48.0,45.0,1.0,33.0,17.0,,,1.62558,2.6315,,2.2965,0.1434,41.0,8.0,7.0,2.0,,1.0,,,139.0,3.0,,3.0,3.0,,1.0,8.0,3.0,,,17.0,1.0,10.0,10.0,3.0,0.0,3.0,120.0,51.0,21.0,4.0,1.0,4.0,6.0,6.0,409.0,2.0,3.0,0.0,61.0,32.0,11.0,,,,,,129.0,129.0,3.0,23.0,18.0,45.3,1.0,,,3.0,14.0,0.0,103.0,1.0,1.0,2.0,,2.0,7.0,,0.0,4.0,67.0,340.0,7.0,10.0,225.0,30.0,33.0,22.0,1.0,2.0,1.0,113189.33,3.0,96.0,4.0,207.0,,,23.0,15.0,55.0,2.0,430.0,1.0,0.0,13.0,13.0,7.0,26.0,0.0,619.0,26.0,17.0,0.0,7.0,2.0,7.0,0.0
2561936,5,2025-09-21 16:30:00,43,Man City,Away,108.0,16.0,,,,,,121.0,5.0,,2.0,5.0,4.0,19.0,229.0,,1.0,14.0,15.0,17.0,4.0,,,2.0,0.0,,,,,,,,,5.0,0.0,,,,,,3.0,11.0,1.0,4.0,1.0,55.0,48.0,2.0,1.0,1.0,4.0,5.0,,6.0,,,1.0,,1.0,0.0,12.0,1.0,51.0,51.0,4.0,60.0,25.0,,1.0,0.287525,0.8672,,1.1089,1.237,48.0,10.0,11.0,1.0,,,2.0,,116.0,1.0,,1.0,1.0,,1.0,8.0,1.0,,,25.0,,5.0,5.0,2.0,0.0,2.0,72.0,51.0,30.0,11.0,0.0,2.0,3.0,3.0,276.0,2.0,2.0,0.0,39.0,47.0,10.0,,,,,,126.0,126.0,6.0,24.0,14.0,33.2,,2.0,,4.0,16.0,0.0,57.0,2.0,,2.0,1.0,2.0,2.0,,0.0,5.0,54.0,213.0,5.0,5.0,130.0,26.0,60.0,18.0,1.0,4.0,3.0,121046.92,3.0,89.0,6.0,174.0,,,22.0,6.0,47.0,2.0,300.0,,0.0,5.0,13.0,1.0,24.0,2.0,509.0,7.0,17.0,0.0,10.0,2.0,9.0,0.0
2561951,6,2025-09-27 15:00:00,43,Man City,Home,175.0,8.0,3.0,9.0,6.0,1.0,,400.0,4.0,,2.0,,20.0,10.0,566.0,,1.0,21.0,15.0,11.0,10.0,2.0,6.0,,0.0,,,,,,,,1.0,15.0,0.0,,,,,,1.0,5.0,4.0,13.0,8.0,102.0,36.0,3.0,2.0,3.0,1.0,1.0,6.0,1.0,,,10.0,9.0,4.0,1.0,12.0,1.0,40.0,39.0,1.0,19.0,12.0,,,1.52807,2.0282,,2.752,0.6136,64.0,5.0,7.0,2.0,,1.0,1.0,,143.0,2.0,,2.0,2.0,,,4.0,3.0,,,12.0,,4.0,4.0,,0.0,2.0,190.0,41.0,32.0,2.0,0.0,5.0,9.0,8.0,624.0,5.0,1.0,0.0,85.0,93.0,35.0,,,,,,115.0,115.0,4.0,11.0,18.0,68.5,,,,,20.0,0.0,203.0,,1.0,1.0,1.0,,7.0,,0.0,4.0,208.0,553.0,1.0,14.0,194.0,17.0,19.0,22.0,9.0,23.0,14.0,110382.24,,249.0,2.0,467.0,,,12.0,21.0,26.0,1.0,638.0,2.0,0.0,21.0,8.0,2.0,22.0,1.0,812.0,64.0,6.0,0.0,14.0,10.0,6.0,0.0
2561958,7,2025-10-05 16:30:00,43,Man City,Away,256.0,9.0,1.0,2.0,1.0,1.0,,444.0,8.0,,5.0,3.0,13.0,18.0,698.0,,1.0,13.0,8.0,17.0,8.0,1.0,1.0,,0.0,,,,,,,,,9.0,0.0,,,,,,2.0,4.0,2.0,6.0,4.0,136.0,46.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,,,2.0,6.0,1.0,0.0,7.0,,31.0,51.0,1.0,21.0,12.0,,1.0,0.708794,0.8483,,0.6512,0.232,59.0,6.0,10.0,1.0,,,,,163.0,1.0,,1.0,1.0,,,8.0,1.0,3.0,1.0,12.0,,6.0,6.0,1.0,0.0,5.0,223.0,57.0,44.0,3.0,0.0,2.0,8.0,4.0,744.0,2.0,2.0,0.0,90.0,135.0,20.0,,,,,,114.0,114.0,3.0,19.0,19.0,70.0,,,,1.0,12.0,0.0,242.0,1.0,,1.0,,,2.0,,0.0,3.0,170.0,680.0,3.0,10.0,277.0,22.0,21.0,19.0,2.0,9.0,7.0,111154.34,,198.0,5.0,496.0,4.0,,10.0,14.0,30.0,1.0,764.0,,0.0,10.0,14.0,2.0,17.0,2.0,937.0,23.0,18.0,0.0,10.0,2.0,10.0,0.0
2561970,8,2025-10-18 15:00:00,43,Man City,Home,320.0,14.0,3.0,5.0,2.0,,,370.0,3.0,,4.0,3.0,20.0,23.0,685.0,1.0,6.0,21.0,18.0,17.0,13.0,2.0,2.0,1.0,0.0,,,,,,,,1.0,16.0,0.0,,,,,1.0,3.0,4.0,1.0,16.0,3.0,134.0,39.0,6.0,5.0,1.0,2.0,5.0,7.0,5.0,,,11.0,7.0,1.0,0.0,10.0,1.0,49.0,60.0,2.0,26.0,13.0,,1.0,2.01254,2.385,,1.4775,0.0673,69.0,8.0,13.0,2.0,,1.0,,,181.0,2.0,,2.0,2.0,,,3.0,2.0,1.0,,13.0,1.0,5.0,5.0,1.0,0.0,4.0,220.0,70.0,51.0,3.0,0.0,5.0,12.0,7.0,729.0,2.0,1.0,0.0,78.0,108.0,29.0,,,,,,113.0,113.0,3.0,13.0,19.0,71.1,1.0,,,2.0,12.0,0.0,214.0,1.0,,1.0,,1.0,5.0,,0.0,5.0,167.0,666.0,5.0,17.0,335.0,22.0,26.0,23.0,10.0,18.0,8.0,118108.42,1.0,201.0,3.0,432.0,1.0,,13.0,20.0,38.0,,749.0,2.0,0.0,19.0,15.0,8.0,23.0,0.0,952.0,46.0,15.0,0.0,15.0,11.0,9.0,0.0
2561977,9,2025-10-26 14:00:00,43,Man City,Away,166.0,5.0,4.0,7.0,3.0,,,296.0,3.0,2.0,3.0,,8.0,10.0,455.0,1.0,2.0,13.0,3.0,13.0,10.0,4.0,6.0,2.0,0.0,,,,,,,,1.0,11.0,0.0,,,,,1.0,8.0,8.0,1.0,14.0,4.0,55.0,44.0,1.0,2.0,,,4.0,9.0,6.0,,,6.0,11.0,3.0,0.0,7.0,2.0,42.0,41.0,,19.0,12.0,,,1.10901,1.1836,,0.1635,0.8061,52.0,16.0,8.0,,,1.0,1.0,,127.0,,,,,,,3.0,0.0,,1.0,12.0,,11.0,11.0,4.0,0.0,3.0,163.0,31.0,29.0,5.0,0.0,5.0,9.0,4.0,491.0,5.0,2.0,0.0,64.0,54.0,42.0,,,,,,95.0,95.0,7.0,16.0,17.0,53.0,,,,,11.0,0.0,159.0,2.0,,2.0,1.0,2.0,5.0,1.0,0.0,5.0,141.0,442.0,4.0,14.0,174.0,13.0,19.0,17.0,6.0,21.0,15.0,117260.51,2.0,174.0,1.0,351.0,,2.0,2.0,9.0,20.0,3.0,504.0,3.0,0.0,18.0,14.0,3.0,14.0,4.0,674.0,33.0,8.0,0.0,6.0,6.0,8.0,0.0
2561990,10,2025-11-02 16:30:00,43,Man City,Home,189.0,22.0,3.0,4.0,1.0,2.0,,240.0,2.0,,4.0,3.0,8.0,16.0,425.0,1.0,1.0,16.0,7.0,8.0,9.0,1.0,1.0,2.0,0.0,,,1.0,1.0,,,,4.0,12.0,0.0,,,,,,6.0,4.0,4.0,13.0,2.0,92.0,42.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,,,9.0,8.0,1.0,1.0,9.0,1.0,42.0,42.0,1.0,23.0,11.0,1.0,,0.947582,2.2165,0.0408,1.3927,1.5424,53.0,8.0,11.0,2.0,,1.0,,1.0,152.0,3.0,,2.0,3.0,,1.0,3.0,3.0,,,11.0,,9.0,9.0,1.0,0.0,4.0,119.0,53.0,36.0,4.0,0.0,4.0,9.0,8.0,473.0,1.0,2.0,0.0,47.0,72.0,26.0,,,,,,126.0,126.0,2.0,20.0,13.0,48.4,,,,2.0,18.0,0.0,130.0,1.0,3.0,4.0,,2.0,4.0,,0.0,5.0,112.0,411.0,5.0,13.0,216.0,30.0,23.0,27.0,7.0,16.0,9.0,118932.11,3.0,144.0,6.0,293.0,1.0,,16.0,8.0,34.0,,493.0,1.0,0.0,15.0,10.0,1.0,19.0,2.0,683.0,43.0,18.0,0.0,13.0,10.0,7.0,0.0
