matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292819,1,2022-08-07 16:30:00,43,Man City,Away,406.0,28.0,1.0,3.0,2.0,,,371.0,5.0,1.0,5.0,,6.0,35.0,774.0,,1.0,10.0,10.0,11.0,9.0,1.0,1.0,,,,,,1.0,,,,,,11.0,1.0,,,,,,3.0,5.0,1.0,9.0,5.0,166.0,52.0,3.0,2.0,2.0,1.0,8.0,4.0,1.0,,,4.0,10.0,5.0,,3.0,1.0,29.0,39.0,1.0,11.0,4.0,,,,,,15.0,65.0,4.0,8.0,2.0,3.0,,1.0,216.0,1.0,,1.0,1.0,,,5.0,1.0,,,4.0,,3.0,3.0,,5.0,241.0,86.0,73.0,1.0,,8.0,3.0,2.0,816.0,3.0,,,116.0,67.0,30.0,,,,1.0,98.0,98.0,5.0,18.0,24.0,75.4,,,,1.0,8.0,0.0,210.0,1.0,,1.0,,,8.0,,,5.0,10.0,167.0,758.0,4.0,11.0,420.0,44.0,11.0,25.0,3.0,18.0,15.0,,200.0,,431.0,1.0,1.0,8.0,6.0,54.0,1.0,833.0,2.0,0.0,14.0,6.0,1.0,12.0,1.0,967.0,36.0,7.0,14.0,4.0,4.0,0.0
2292826,2,2022-08-13 15:00:00,43,Man City,Home,194.0,25.0,7.0,10.0,4.0,,,465.0,1.0,,3.0,,1.0,25.0,649.0,,2.0,10.0,8.0,9.0,10.0,4.0,6.0,1.0,,,,,,,,,,,13.0,,,,,,,6.0,1.0,2.0,12.0,7.0,119.0,44.0,2.0,1.0,1.0,,10.0,6.0,6.0,,,11.0,6.0,10.0,,6.0,1.0,33.0,36.0,,4.0,3.0,,,,,,15.0,90.0,9.0,9.0,,3.0,1.0,,159.0,3.0,,2.0,3.0,,1.0,1.0,3.0,1.0,,3.0,,5.0,5.0,2.0,3.0,197.0,66.0,62.0,1.0,3.0,5.0,12.0,7.0,684.0,1.0,,,138.0,114.0,47.0,,,,,87.0,87.0,6.0,10.0,25.0,66.7,,,,,13.0,0.0,221.0,,1.0,1.0,,1.0,6.0,,,5.0,6.0,253.0,638.0,10.0,17.0,199.0,41.0,4.0,14.0,11.0,27.0,17.0,2.0,288.0,,524.0,1.0,,3.0,1.0,36.0,2.0,696.0,1.0,0.0,19.0,8.0,3.0,11.0,0.0,842.0,34.0,10.0,10.0,11.0,4.0,0.0
2292837,3,2022-08-21 16:30:00,43,Man City,Away,268.0,21.0,2.0,5.0,3.0,,1.0,258.0,5.0,,13.0,1.0,3.0,30.0,521.0,,3.0,15.0,12.0,15.0,12.0,2.0,4.0,1.0,,,,1.0,1.0,,,,,1.0,15.0,,,,,,1.0,5.0,10.0,2.0,14.0,7.0,97.0,62.0,6.0,4.0,3.0,1.0,13.0,7.0,9.0,1.0,,5.0,9.0,4.0,,6.0,1.0,42.0,51.0,1.0,13.0,7.0,,,,,,14.0,68.0,7.0,14.0,2.0,5.0,3.0,1.0,159.0,3.0,,3.0,2.0,1.0,,5.0,2.0,1.0,,7.0,1.0,5.0,5.0,,13.0,174.0,58.0,41.0,5.0,1.0,3.0,14.0,10.0,586.0,3.0,2.0,,107.0,35.0,32.0,,,,,131.0,131.0,3.0,20.0,24.0,68.7,,2.0,1.0,1.0,13.0,0.0,178.0,3.0,,2.0,,1.0,4.0,,,1.0,5.0,141.0,501.0,3.0,17.0,301.0,44.0,13.0,21.0,4.0,20.0,16.0,1.0,187.0,2.0,327.0,1.0,1.0,11.0,4.0,48.0,1.0,608.0,,0.0,21.0,9.0,7.0,18.0,2.0,794.0,35.0,9.0,13.0,5.0,5.0,0.0
2292846,4,2022-08-27 15:00:00,43,Man City,Home,201.0,27.0,3.0,12.0,9.0,1.0,,513.0,2.0,,3.0,2.0,3.0,35.0,702.0,1.0,1.0,17.0,7.0,14.0,10.0,1.0,3.0,,,,,,,1.0,,,,,15.0,,,,,,,10.0,2.0,1.0,14.0,4.0,124.0,51.0,4.0,1.0,3.0,,7.0,4.0,5.0,,,6.0,11.0,12.0,,5.0,,35.0,44.0,,3.0,2.0,,,,,,19.0,98.0,14.0,8.0,3.0,3.0,2.0,,170.0,4.0,,2.0,3.0,1.0,,2.0,3.0,,,2.0,,5.0,5.0,,3.0,239.0,53.0,48.0,1.0,1.0,8.0,7.0,5.0,756.0,,,1.0,105.0,145.0,51.0,,,,,107.0,107.0,10.0,15.0,22.0,74.3,,,3.0,,10.0,0.0,237.0,,1.0,1.0,,,9.0,,,4.0,9.0,259.0,688.0,7.0,15.0,210.0,52.0,3.0,14.0,4.0,29.0,25.0,,311.0,1.0,589.0,1.0,,2.0,3.0,42.0,2.0,770.0,2.0,0.0,18.0,12.0,1.0,18.0,1.0,920.0,47.0,10.0,10.0,6.0,10.0,0.0
2292858,5,2022-08-31 19:30:00,43,Man City,Home,327.0,26.0,2.0,4.0,3.0,,1.0,397.0,3.0,2.0,1.0,,5.0,39.0,720.0,,2.0,16.0,8.0,17.0,8.0,3.0,5.0,2.0,,,,,,,,,,1.0,11.0,,,,1.0,,1.0,5.0,4.0,4.0,12.0,5.0,143.0,50.0,4.0,3.0,4.0,,12.0,2.0,6.0,,,10.0,12.0,7.0,1.0,4.0,,37.0,42.0,,6.0,6.0,,,,,,18.0,84.0,9.0,5.0,3.0,2.0,2.0,,202.0,2.0,,2.0,1.0,1.0,1.0,4.0,4.0,,,6.0,1.0,5.0,5.0,,1.0,215.0,78.0,65.0,1.0,2.0,6.0,7.0,9.0,768.0,3.0,,,130.0,101.0,35.0,,,,,116.0,116.0,6.0,15.0,26.0,74.9,1.0,,,,12.0,0.0,225.0,,1.0,1.0,1.0,2.0,6.0,,,5.0,9.0,180.0,705.0,2.0,13.0,337.0,38.0,6.0,17.0,7.0,27.0,21.0,2.0,217.0,5.0,475.0,,2.0,5.0,5.0,55.0,2.0,785.0,3.0,0.0,17.0,13.0,2.0,16.0,0.0,924.0,35.0,12.0,7.0,10.0,11.0,0.0
2292860,6,2022-09-03 17:30:00,43,Man City,Away,354.0,24.0,2.0,4.0,3.0,1.0,,323.0,3.0,,1.0,1.0,9.0,37.0,673.0,,,17.0,13.0,27.0,7.0,2.0,2.0,,,,1.0,,1.0,,,,,,10.0,,,1.0,,,,6.0,2.0,1.0,8.0,5.0,118.0,56.0,4.0,3.0,1.0,,13.0,4.0,,,,4.0,10.0,2.0,,12.0,,34.0,50.0,,8.0,5.0,,,,,,26.0,55.0,6.0,7.0,1.0,1.0,,1.0,206.0,1.0,,1.0,1.0,,,3.0,1.0,,,5.0,1.0,5.0,5.0,,1.0,208.0,92.0,70.0,1.0,,3.0,7.0,4.0,745.0,1.0,3.0,,134.0,72.0,40.0,,,,,130.0,130.0,5.0,17.0,33.0,72.3,1.0,2.0,,1.0,13.0,0.0,231.0,,,,,,5.0,1.0,,2.0,18.0,115.0,655.0,7.0,11.0,377.0,43.0,8.0,7.0,3.0,14.0,12.0,,155.0,2.0,400.0,,,11.0,10.0,61.0,3.0,763.0,,0.0,13.0,13.0,1.0,19.0,0.0,895.0,36.0,7.0,4.0,4.0,5.0,0.0
2292877,7,2023-01-19 20:00:00,43,Man City,Home,252.0,19.0,2.0,4.0,2.0,,,263.0,4.0,1.0,4.0,,9.0,24.0,511.0,1.0,2.0,21.0,11.0,11.0,7.0,2.0,2.0,,,,,,1.0,,,,,1.0,13.0,,,,,,,8.0,6.0,3.0,10.0,6.0,83.0,51.0,3.0,2.0,3.0,1.0,10.0,5.0,4.0,,1.0,8.0,6.0,6.0,,8.0,2.0,40.0,43.0,1.0,12.0,7.0,1.0,,,,,24.0,51.0,10.0,13.0,1.0,2.0,,1.0,147.0,2.0,,1.0,2.0,,,4.0,4.0,,1.0,7.0,,8.0,8.0,1.0,4.0,169.0,64.0,43.0,3.0,3.0,4.0,7.0,6.0,562.0,2.0,,,65.0,67.0,33.0,,,,,115.0,115.0,7.0,16.0,24.0,57.9,,,3.0,,21.0,0.0,184.0,1.0,,1.0,,,5.0,2.0,,3.0,9.0,120.0,491.0,10.0,11.0,262.0,42.0,12.0,12.0,8.0,20.0,12.0,,166.0,1.0,341.0,1.0,1.0,6.0,10.0,45.0,,583.0,2.0,0.0,16.0,15.0,4.0,22.0,1.0,751.0,37.0,10.0,4.0,8.0,11.0,0.0
2292889,8,2022-09-17 12:30:00,43,Man City,Away,315.0,28.0,1.0,4.0,3.0,2.0,,252.0,5.0,1.0,4.0,1.0,9.0,25.0,563.0,,1.0,15.0,4.0,11.0,10.0,1.0,3.0,,,,,,,,,,,,13.0,,,,,,,2.0,3.0,3.0,6.0,10.0,121.0,56.0,1.0,,1.0,2.0,11.0,4.0,13.0,,,7.0,6.0,1.0,,11.0,1.0,44.0,47.0,2.0,10.0,4.0,,,,,,19.0,51.0,9.0,6.0,3.0,1.0,,,185.0,3.0,,2.0,3.0,,,6.0,3.0,,,4.0,,15.0,15.0,4.0,4.0,161.0,66.0,54.0,5.0,,3.0,11.0,7.0,606.0,1.0,1.0,,73.0,65.0,26.0,,,,,102.0,102.0,5.0,19.0,28.0,59.2,,,,,11.0,0.0,155.0,1.0,,1.0,,,5.0,,,5.0,11.0,110.0,549.0,8.0,14.0,336.0,42.0,10.0,19.0,5.0,12.0,7.0,,138.0,4.0,298.0,1.0,1.0,2.0,9.0,36.0,1.0,622.0,1.0,0.0,16.0,19.0,4.0,16.0,1.0,796.0,27.0,13.0,11.0,7.0,11.0,0.0
2292897,9,2022-10-02 14:00:00,43,Man City,Home,320.0,29.0,3.0,7.0,4.0,2.0,1.0,172.0,6.0,1.0,3.0,1.0,1.0,34.0,485.0,1.0,2.0,11.0,6.0,10.0,9.0,1.0,3.0,1.0,,,1.0,,1.0,,,,,,18.0,,,,,1.0,,2.0,6.0,6.0,17.0,5.0,100.0,55.0,3.0,,3.0,,14.0,6.0,4.0,,2.0,5.0,4.0,,,13.0,4.0,27.0,44.0,,9.0,3.0,,,,,,20.0,37.0,3.0,9.0,6.0,2.0,2.0,1.0,136.0,6.0,1.0,6.0,5.0,1.0,1.0,8.0,5.0,,,3.0,1.0,11.0,11.0,1.0,3.0,163.0,46.0,37.0,1.0,,5.0,11.0,10.0,532.0,3.0,,,53.0,47.0,23.0,1.0,1.0,1.0,,94.0,94.0,8.0,17.0,25.0,53.9,1.0,,,1.0,14.0,0.0,152.0,3.0,2.0,5.0,,1.0,6.0,2.0,,5.0,9.0,85.0,469.0,7.0,16.0,342.0,44.0,9.0,12.0,4.0,10.0,6.0,2.0,116.0,2.0,219.0,,1.0,4.0,1.0,48.0,1.0,551.0,1.0,0.0,22.0,14.0,2.0,11.0,0.0,703.0,49.0,10.0,11.0,5.0,8.0,0.0
2292906,10,2022-10-08 15:00:00,43,Man City,Home,403.0,32.0,2.0,6.0,4.0,2.0,,269.0,4.0,,4.0,,1.0,36.0,666.0,1.0,2.0,11.0,10.0,11.0,10.0,2.0,4.0,,,,,,,,,,,1.0,17.0,,,,1.0,,,2.0,,5.0,20.0,1.0,142.0,62.0,6.0,4.0,2.0,,6.0,4.0,6.0,,,9.0,13.0,2.0,1.0,12.0,,38.0,43.0,,6.0,5.0,,,,,,25.0,57.0,4.0,8.0,1.0,1.0,,,187.0,4.0,,3.0,4.0,,,4.0,4.0,1.0,1.0,5.0,1.0,8.0,8.0,,4.0,212.0,85.0,67.0,1.0,2.0,6.0,10.0,8.0,726.0,2.0,2.0,,93.0,70.0,33.0,,,,,126.0,126.0,8.0,17.0,32.0,65.2,1.0,,,,21.0,0.0,203.0,,,,,,9.0,,,5.0,12.0,119.0,648.0,6.0,17.0,428.0,47.0,6.0,16.0,6.0,21.0,15.0,,148.0,2.0,337.0,1.0,,5.0,1.0,52.0,1.0,744.0,1.0,0.0,21.0,15.0,2.0,12.0,0.0,911.0,56.0,10.0,9.0,9.0,8.0,0.0
