matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210279,1.0,2021-08-15 16:30:00,43,Man City,Away,195.0,13.0,2.0,4.0,3.0,,,278.0,6.0,,6.0,,6.0,9.0,469.0,,1.0,14.0,14.0,19.0,12.0,1.0,3.0,,,,,1.0,,,,13.0,,,,,,1.0,3.0,5.0,8.0,11.0,7.0,,82.0,59.0,2.0,3.0,,1.0,20.0,5.0,14.0,1.0,,11.0,13.0,11.0,,8.0,1.0,51.0,66.0,1.0,10.0,7.0,,,24.0,52.0,8.0,11.0,,,2.0,,1.0,163.0,,,,,,,6.0,,,,1.0,,,,,7.0,,3.0,3.0,,6.0,149.0,65.0,50.0,3.0,,6.0,7.0,4.0,522.0,,,5.0,,122.0,62.0,31.0,,,,,137.0,137.0,3.0,23.0,27.0,65.6,,,,,20.0,0.0,,,,154.0,1.0,1.0,1.0,,,9.0,,3.0,9.0,139.0,443.0,2.0,13.0,218.0,21.0,10.0,27.0,7.0,30.0,24.0,,165.0,2.0,360.0,1.0,,8.0,6.0,22.0,1.0,548.0,1.0,0.0,18.0,16.0,3.0,17.0,1.0,731.0,39.0,13.0,20.0,11.0,11.0,0.0
2210287,2.0,2021-08-21 15:00:00,43,Man City,Home,209.0,35.0,2.0,2.0,1.0,,1.0,477.0,2.0,2.0,3.0,1.0,13.0,42.0,684.0,,1.0,20.0,3.0,9.0,6.0,2.0,3.0,,,,,1.0,,,1.0,12.0,,,,,,,11.0,1.0,,7.0,9.0,,126.0,41.0,3.0,,3.0,,10.0,6.0,6.0,,2.0,6.0,16.0,4.0,1.0,12.0,,40.0,38.0,,3.0,2.0,,,19.0,89.0,13.0,6.0,1.0,,3.0,2.0,1.0,147.0,3.0,,3.0,3.0,,,2.0,,,3.0,,,,,,2.0,,6.0,6.0,,3.0,230.0,55.0,51.0,1.0,,3.0,8.0,4.0,718.0,,,,2.0,134.0,112.0,42.0,,,,,105.0,105.0,9.0,9.0,20.0,66.9,,,,,10.0,0.0,,,,227.0,,,,,,6.0,,3.0,11.0,250.0,672.0,3.0,11.0,215.0,48.0,3.0,15.0,5.0,26.0,22.0,,280.0,1.0,541.0,,2.0,3.0,15.0,51.0,2.0,730.0,,0.0,16.0,14.0,2.0,20.0,1.0,882.0,47.0,13.0,9.0,6.0,8.0,0.0
2210295,3.0,2021-08-28 12:30:00,43,Man City,Home,231.0,15.0,,7.0,7.0,,,469.0,3.0,,2.0,2.0,12.0,17.0,693.0,,5.0,19.0,9.0,13.0,17.0,,6.0,1.0,,,,,,,1.0,18.0,,,,,,1.0,4.0,1.0,,17.0,8.0,,134.0,49.0,6.0,3.0,4.0,,8.0,10.0,2.0,,1.0,14.0,13.0,9.0,,2.0,,25.0,41.0,,3.0,1.0,,,17.0,71.0,5.0,7.0,3.0,,3.0,2.0,,184.0,4.0,,4.0,4.0,,,4.0,,,4.0,,,,,,1.0,,4.0,4.0,1.0,2.0,220.0,58.0,45.0,,2.0,5.0,16.0,10.0,736.0,,,,,139.0,76.0,57.0,,,,,109.0,109.0,3.0,20.0,22.0,80.4,,,,,8.0,0.0,,,,219.0,,,,2.0,1.0,5.0,1.0,3.0,7.0,260.0,673.0,3.0,21.0,244.0,40.0,3.0,14.0,6.0,30.0,24.0,1.0,299.0,,543.0,,,3.0,12.0,33.0,1.0,757.0,,0.0,25.0,14.0,8.0,23.0,1.0,906.0,50.0,8.0,7.0,14.0,10.0,0.0
2210307,4.0,2021-09-11 15:00:00,43,Man City,Away,222.0,22.0,2.0,8.0,6.0,,,287.0,6.0,,6.0,2.0,3.0,21.0,501.0,1.0,3.0,20.0,12.0,8.0,15.0,2.0,2.0,1.0,,,,,,,,21.0,,,,,,2.0,8.0,6.0,,21.0,4.0,,79.0,59.0,2.0,2.0,1.0,3.0,18.0,10.0,6.0,,,8.0,14.0,8.0,,9.0,1.0,46.0,31.0,3.0,6.0,3.0,,,21.0,65.0,11.0,4.0,,,4.0,2.0,,167.0,,,,,,,6.0,,,1.0,1.0,,,,1.0,3.0,,5.0,5.0,1.0,6.0,147.0,54.0,44.0,5.0,1.0,6.0,11.0,8.0,545.0,,,2.0,1.0,103.0,58.0,46.0,,,,,118.0,118.0,6.0,23.0,24.0,60.5,,,,,18.0,0.0,,,,164.0,1.0,,2.0,,1.0,7.0,1.0,2.0,7.0,152.0,489.0,5.0,17.0,235.0,32.0,6.0,14.0,7.0,31.0,24.0,1.0,186.0,3.0,353.0,1.0,,10.0,3.0,33.0,4.0,557.0,3.0,0.0,25.0,14.0,10.0,20.0,2.0,734.0,47.0,16.0,5.0,8.0,7.0,0.0
2210315,5.0,2021-09-18 15:00:00,43,Man City,Home,291.0,16.0,4.0,8.0,4.0,,,201.0,5.0,,9.0,1.0,6.0,21.0,484.0,,,20.0,15.0,22.0,11.0,1.0,4.0,,1.0,,,1.0,,1.0,,9.0,,,,,,2.0,3.0,6.0,4.0,9.0,7.0,,81.0,60.0,2.0,2.0,,,14.0,7.0,13.0,,1.0,8.0,12.0,3.0,,9.0,,54.0,58.0,,14.0,4.0,,,25.0,42.0,5.0,10.0,,,3.0,2.0,1.0,175.0,,,,,,,5.0,,,,1.0,,,,,4.0,,8.0,8.0,1.0,9.0,145.0,67.0,48.0,5.0,,7.0,5.0,1.0,538.0,,,6.0,1.0,66.0,47.0,30.0,,,,,131.0,131.0,3.0,22.0,26.0,63.9,,,,1.0,14.0,0.0,,,,154.0,2.0,,2.0,1.0,,8.0,1.0,3.0,10.0,100.0,467.0,7.0,12.0,314.0,25.0,14.0,25.0,6.0,23.0,17.0,,126.0,1.0,264.0,1.0,,7.0,6.0,36.0,4.0,555.0,,0.0,16.0,13.0,4.0,21.0,0.0,768.0,30.0,18.0,13.0,8.0,10.0,0.0
2210323,6.0,2021-09-25 12:30:00,43,Man City,Away,243.0,18.0,3.0,4.0,1.0,,1.0,289.0,2.0,1.0,4.0,1.0,3.0,24.0,528.0,1.0,1.0,11.0,18.0,9.0,9.0,3.0,4.0,,,,,,,,,10.0,,,,,,1.0,4.0,2.0,3.0,11.0,4.0,,100.0,60.0,2.0,3.0,,,21.0,6.0,10.0,,,13.0,9.0,6.0,,7.0,,50.0,46.0,,17.0,7.0,,,33.0,69.0,10.0,12.0,1.0,,,1.0,,151.0,1.0,,,,1.0,,3.0,,,,3.0,,,,1.0,7.0,,8.0,8.0,,4.0,180.0,66.0,47.0,4.0,,5.0,8.0,4.0,578.0,,,4.0,1.0,97.0,79.0,38.0,,,,,126.0,126.0,5.0,22.0,26.0,59.1,,,,,21.0,0.0,,,,168.0,,,,,,5.0,1.0,3.0,12.0,120.0,510.0,7.0,13.0,252.0,35.0,17.0,15.0,10.0,26.0,16.0,,170.0,1.0,373.0,3.0,1.0,9.0,3.0,48.0,4.0,599.0,3.0,0.0,15.0,16.0,2.0,12.0,2.0,781.0,34.0,14.0,9.0,13.0,9.0,0.0
2210336,7.0,2021-10-03 16:30:00,43,Man City,Away,261.0,43.0,,2.0,2.0,2.0,,184.0,2.0,2.0,12.0,2.0,3.0,39.0,443.0,1.0,4.0,19.0,9.0,9.0,8.0,,,1.0,1.0,,,1.0,,,1.0,11.0,,,,,,,5.0,5.0,1.0,9.0,3.0,,100.0,68.0,1.0,1.0,,2.0,14.0,5.0,10.0,1.0,,4.0,7.0,3.0,,12.0,1.0,48.0,44.0,2.0,17.0,10.0,,,25.0,46.0,12.0,10.0,1.0,,3.0,2.0,1.0,149.0,1.0,,1.0,1.0,,,2.0,,,2.0,,,,,,10.0,,8.0,8.0,,13.0,137.0,56.0,37.0,3.0,1.0,2.0,7.0,3.0,513.0,,,3.0,1.0,74.0,58.0,29.0,,,,,139.0,139.0,4.0,27.0,24.0,51.5,,,1.0,1.0,14.0,0.0,,,,143.0,2.0,,1.0,1.0,1.0,4.0,,1.0,9.0,84.0,427.0,6.0,9.0,298.0,57.0,17.0,19.0,2.0,14.0,12.0,1.0,114.0,3.0,245.0,,2.0,14.0,3.0,68.0,5.0,529.0,2.0,0.0,12.0,11.0,6.0,20.0,3.0,709.0,26.0,16.0,14.0,4.0,9.0,0.0
2210346,8.0,2021-10-16 15:00:00,43,Man City,Home,287.0,36.0,,3.0,3.0,1.0,,403.0,6.0,2.0,6.0,2.0,4.0,35.0,687.0,1.0,,15.0,17.0,11.0,9.0,,1.0,,,,,,,,,14.0,,,1.0,,,,6.0,6.0,1.0,13.0,2.0,,132.0,59.0,1.0,1.0,1.0,2.0,11.0,4.0,5.0,,,6.0,15.0,6.0,,8.0,1.0,47.0,36.0,2.0,9.0,6.0,,1.0,20.0,77.0,11.0,5.0,,,1.0,,,216.0,,,,,,,7.0,,,2.0,,,,,1.0,6.0,1.0,10.0,10.0,2.0,6.0,206.0,63.0,45.0,2.0,2.0,2.0,7.0,6.0,749.0,,,1.0,,110.0,106.0,45.0,,,,,135.0,135.0,1.0,29.0,23.0,70.6,1.0,,,,11.0,0.0,,,,214.0,2.0,,2.0,2.0,,5.0,1.0,3.0,12.0,248.0,671.0,3.0,9.0,315.0,55.0,9.0,18.0,3.0,24.0,21.0,,283.0,2.0,477.0,,2.0,13.0,4.0,60.0,,768.0,3.0,0.0,15.0,11.0,1.0,15.0,1.0,932.0,52.0,16.0,9.0,6.0,6.0,0.0
2210353,9.0,2021-10-23 17:30:00,43,Man City,Away,219.0,24.0,2.0,2.0,,,,274.0,4.0,,9.0,1.0,2.0,33.0,491.0,,3.0,15.0,14.0,5.0,12.0,2.0,2.0,3.0,,,1.0,1.0,1.0,,,20.0,,,,,,,6.0,7.0,3.0,18.0,5.0,,106.0,57.0,4.0,1.0,3.0,3.0,16.0,6.0,12.0,,1.0,6.0,,3.0,,6.0,1.0,48.0,33.0,3.0,15.0,8.0,,,25.0,52.0,6.0,9.0,2.0,,1.0,1.0,1.0,153.0,4.0,,2.0,4.0,,1.0,8.0,,,4.0,1.0,,,,,8.0,,8.0,8.0,,9.0,165.0,59.0,41.0,7.0,1.0,2.0,16.0,14.0,543.0,,,1.0,,86.0,78.0,23.0,1.0,1.0,1.0,,110.0,110.0,4.0,18.0,26.0,52.3,,,,,16.0,0.0,,,,142.0,2.0,2.0,4.0,,3.0,3.0,,3.0,13.0,135.0,472.0,9.0,18.0,244.0,38.0,15.0,22.0,3.0,7.0,4.0,4.0,168.0,2.0,329.0,1.0,,12.0,2.0,58.0,1.0,566.0,1.0,0.0,23.0,7.0,4.0,16.0,3.0,738.0,35.0,12.0,12.0,6.0,3.0,0.0
2210365,10.0,2021-10-30 15:00:00,43,Man City,Home,222.0,26.0,2.0,5.0,3.0,,,345.0,5.0,,2.0,2.0,6.0,32.0,562.0,,,33.0,14.0,13.0,11.0,,5.0,,,,,,,,,8.0,,,,,,1.0,6.0,6.0,2.0,10.0,4.0,,82.0,53.0,,,,,24.0,7.0,6.0,,2.0,7.0,13.0,10.0,,12.0,1.0,52.0,48.0,,4.0,2.0,1.0,,38.0,77.0,11.0,10.0,,,2.0,2.0,,163.0,,,,,,,5.0,,,,,,,,,2.0,,6.0,6.0,,2.0,209.0,59.0,45.0,1.0,,4.0,7.0,3.0,632.0,,,1.0,1.0,88.0,87.0,51.0,,,,,156.0,156.0,6.0,17.0,28.0,67.6,,,,1.0,24.0,0.0,,,,200.0,1.0,,1.0,,,4.0,,3.0,16.0,185.0,540.0,5.0,11.0,243.0,49.0,4.0,18.0,7.0,32.0,25.0,,240.0,,443.0,,,7.0,8.0,52.0,2.0,654.0,,1.0,14.0,16.0,1.0,34.0,2.0,841.0,44.0,12.0,9.0,7.0,10.0,0.0
