matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321665,1.0,2010-08-14 12:45:00,43,Man City,Away,256.0,17.0,,1.0,1.0,3.0,,276.0,3.0,,11.0,3.0,29.0,38.0,531.0,,4.0,15.0,9.0,23.0,10.0,,1.0,,,,,,,,14.0,,,,,,,12.0,9.0,,76.0,77.0,1.0,1.0,,5.0,8.0,8.0,1.0,3.0,7.0,4.0,,13.0,7.0,60.0,70.0,5.0,14.0,6.0,,,68.0,16.0,13.0,,,1.0,2.0,,186.0,,,,,,,7.0,,,,4.0,,,,,16.0,,24.0,18.0,1.0,11.0,185.0,89.0,56.0,10.0,,3.0,7.0,2.0,,,7.0,2.0,75.0,87.0,12.0,,,,,,173.0,158.0,3.0,30.0,27.0,60.8,,1.0,0.0,,,,179.0,5.0,3.0,,,1.0,1.0,4.0,,3.0,106.0,10.0,279.0,38.0,29.0,20.0,2.0,15.0,13.0,1.0,154.0,9.0,362.0,4.0,,17.0,30.0,61.0,1.0,626.0,,0.0,14.0,28.0,8.0,17.0,2.0,856.0,13.0,6.0,3.0,19.0,0.0
321671,2.0,2010-08-23 20:00:00,43,Man City,Home,176.0,16.0,2.0,2.0,,1.0,,232.0,2.0,,5.0,2.0,30.0,38.0,406.0,1.0,2.0,22.0,7.0,10.0,5.0,3.0,,,,,,,,,,1.0,,,,,1.0,6.0,11.0,,72.0,57.0,,,2.0,1.0,4.0,7.0,,5.0,2.0,6.0,,7.0,3.0,43.0,61.0,1.0,12.0,8.0,,,54.0,13.0,13.0,2.0,,,,,163.0,2.0,,1.0,1.0,1.0,,6.0,,,,1.0,,,,,16.0,,14.0,8.0,1.0,5.0,125.0,83.0,48.0,4.0,1.0,4.0,6.0,3.0,,,4.0,2.0,90.0,70.0,18.0,,,,,1.0,150.0,138.0,,21.0,26.0,54.4,,,0.0,,,,132.0,4.0,1.0,,,,,5.0,1.0,2.0,69.0,10.0,199.0,30.0,24.0,17.0,4.0,14.0,10.0,,102.0,6.0,307.0,1.0,,21.0,31.0,63.0,1.0,492.0,1.0,0.0,12.0,30.0,5.0,25.0,1.0,690.0,14.0,8.0,5.0,27.0,0.0
321684,3.0,2010-08-29 15:00:00,43,Man City,Away,235.0,17.0,1.0,1.0,,4.0,,221.0,8.0,,8.0,4.0,34.0,28.0,455.0,,1.0,23.0,7.0,12.0,7.0,,1.0,,,,,,,,6.0,,,,,,1.0,8.0,10.0,,79.0,69.0,2.0,3.0,,2.0,6.0,11.0,,7.0,5.0,6.0,,20.0,2.0,61.0,55.0,2.0,17.0,7.0,,,77.0,10.0,5.0,,1.0,2.0,,,238.0,,,,,,,13.0,,,,,,,,1.0,18.0,,21.0,16.0,2.0,8.0,126.0,103.0,65.0,3.0,,2.0,5.0,2.0,,,6.0,1.0,67.0,57.0,19.0,1.0,1.0,1.0,,,200.0,183.0,8.0,27.0,22.0,58.3,,1.0,0.0,,,,115.0,,2.0,,,1.0,1.0,2.0,,3.0,86.0,7.0,256.0,36.0,34.0,23.0,6.0,17.0,11.0,1.0,144.0,9.0,319.0,,,17.0,38.0,48.0,1.0,558.0,1.0,0.0,10.0,29.0,7.0,26.0,3.0,805.0,19.0,9.0,8.0,17.0,0.0
321691,4.0,2010-09-11 15:00:00,43,Man City,Home,165.0,17.0,4.0,8.0,4.0,3.0,,271.0,3.0,,5.0,5.0,14.0,24.0,428.0,,5.0,27.0,10.0,19.0,13.0,4.0,2.0,,,,,,,,15.0,,,,,,1.0,4.0,5.0,,58.0,58.0,4.0,3.0,1.0,,4.0,3.0,,13.0,14.0,7.0,,15.0,1.0,59.0,56.0,,19.0,9.0,,1.0,62.0,15.0,11.0,,,2.0,2.0,,186.0,1.0,,1.0,1.0,,,9.0,,,1.0,2.0,,,,3.0,19.0,1.0,12.0,9.0,,5.0,142.0,77.0,53.0,1.0,1.0,6.0,12.0,10.0,,,2.0,2.0,92.0,62.0,27.0,,,,,,199.0,180.0,1.0,25.0,25.0,64.9,,2.0,0.0,,,,126.0,2.0,,,,2.0,2.0,7.0,,3.0,119.0,18.0,192.0,22.0,38.0,33.0,11.0,34.0,23.0,2.0,157.0,5.0,354.0,2.0,1.0,15.0,16.0,32.0,2.0,512.0,,0.0,21.0,12.0,11.0,31.0,2.0,768.0,22.0,14.0,14.0,11.0,0.0
321706,5.0,2010-09-19 15:00:00,43,Man City,Away,196.0,17.0,,1.0,1.0,,,203.0,1.0,,2.0,4.0,18.0,27.0,398.0,,,18.0,10.0,8.0,4.0,,,,,,,,,,10.0,,,,,,,3.0,6.0,,56.0,56.0,1.0,1.0,2.0,2.0,1.0,7.0,,,5.0,3.0,,13.0,,52.0,44.0,2.0,11.0,3.0,,,56.0,16.0,10.0,1.0,,,,,153.0,1.0,,1.0,1.0,,,10.0,,,2.0,2.0,,,,1.0,6.0,1.0,23.0,19.0,2.0,2.0,142.0,84.0,44.0,3.0,1.0,4.0,1.0,3.0,,,3.0,3.0,78.0,66.0,15.0,,,,,,162.0,156.0,4.0,28.0,20.0,54.0,,,0.0,,,,139.0,,,,,2.0,,6.0,,3.0,67.0,5.0,220.0,33.0,17.0,13.0,,8.0,8.0,,107.0,3.0,278.0,2.0,,15.0,18.0,40.0,8.0,490.0,,0.0,10.0,20.0,8.0,26.0,2.0,670.0,9.0,6.0,1.0,19.0,0.0
321713,6.0,2010-09-25 12:45:00,43,Man City,Home,118.0,14.0,1.0,2.0,1.0,3.0,,193.0,3.0,,3.0,1.0,15.0,22.0,309.0,,2.0,16.0,12.0,7.0,5.0,1.0,1.0,,1.0,,2.0,,,,7.0,,,,,,,8.0,10.0,,39.0,54.0,,,,2.0,4.0,17.0,,3.0,8.0,7.0,,13.0,3.0,60.0,62.0,1.0,14.0,6.0,,,56.0,11.0,13.0,1.0,,7.0,3.0,2.0,145.0,1.0,,,1.0,,1.0,11.0,,,1.0,1.0,,,,,14.0,1.0,25.0,19.0,4.0,3.0,93.0,66.0,39.0,4.0,,1.0,6.0,4.0,,,4.0,1.0,75.0,47.0,15.0,,,,,,149.0,129.0,,23.0,22.0,43.0,,,0.0,,,,94.0,2.0,2.0,,,1.0,1.0,2.0,,3.0,88.0,7.0,134.0,29.0,33.0,12.0,2.0,20.0,18.0,2.0,127.0,6.0,261.0,1.0,,6.0,15.0,37.0,2.0,375.0,,0.0,10.0,37.0,6.0,18.0,2.0,606.0,12.0,5.0,3.0,31.0,0.0
321720,7.0,2010-10-03 13:30:00,43,Man City,Home,188.0,17.0,,2.0,2.0,3.0,,187.0,1.0,,9.0,2.0,13.0,33.0,373.0,,3.0,13.0,11.0,5.0,7.0,,1.0,,,,,,,,10.0,1.0,,,,,,3.0,6.0,,51.0,62.0,2.0,2.0,1.0,2.0,2.0,7.0,,4.0,11.0,5.0,,6.0,1.0,47.0,61.0,2.0,17.0,10.0,,1.0,61.0,13.0,13.0,1.0,,5.0,,,161.0,1.0,,,1.0,,,7.0,,,1.0,3.0,,,,2.0,15.0,,16.0,14.0,,9.0,114.0,77.0,49.0,4.0,1.0,4.0,4.0,5.0,,,1.0,1.0,58.0,55.0,15.0,,,,,1.0,154.0,143.0,1.0,22.0,28.0,51.9,,,0.0,,,,127.0,,2.0,,,1.0,1.0,4.0,,3.0,87.0,8.0,207.0,33.0,28.0,23.0,2.0,18.0,16.0,1.0,126.0,5.0,264.0,3.0,,10.0,15.0,50.0,6.0,453.0,,0.0,11.0,32.0,6.0,18.0,3.0,656.0,11.0,11.0,4.0,23.0,0.0
321730,8.0,2010-10-17 16:00:00,43,Man City,Away,109.0,9.0,3.0,7.0,4.0,1.0,,165.0,8.0,2.0,6.0,2.0,20.0,25.0,267.0,,1.0,23.0,14.0,14.0,7.0,3.0,,,,,,,,,8.0,,,1.0,,,2.0,6.0,10.0,,52.0,66.0,,,,1.0,2.0,9.0,,9.0,16.0,3.0,,9.0,1.0,46.0,56.0,1.0,18.0,7.0,,,73.0,12.0,9.0,2.0,,2.0,,,150.0,2.0,1.0,1.0,1.0,1.0,,14.0,,,2.0,3.0,,,,3.0,15.0,3.0,16.0,13.0,2.0,6.0,70.0,80.0,37.0,3.0,1.0,4.0,8.0,7.0,,,1.0,2.0,71.0,49.0,19.0,,,,,,170.0,159.0,5.0,26.0,22.0,43.7,1.0,,0.0,,,,85.0,,2.0,2.0,,1.0,,4.0,,3.0,93.0,12.0,134.0,26.0,29.0,16.0,7.0,26.0,19.0,,138.0,8.0,249.0,3.0,2.0,22.0,23.0,49.0,8.0,357.0,,0.0,13.0,22.0,4.0,26.0,2.0,586.0,17.0,11.0,9.0,16.0,0.0
321740,9.0,2010-10-24 16:00:00,43,Man City,Home,153.0,10.0,2.0,4.0,2.0,1.0,,129.0,5.0,,3.0,,11.0,23.0,278.0,,2.0,15.0,5.0,7.0,8.0,1.0,,,,,,,,,6.0,,,,,,,10.0,4.0,,53.0,52.0,4.0,4.0,,3.0,3.0,8.0,,6.0,4.0,2.0,,12.0,3.0,48.0,57.0,3.0,8.0,2.0,1.0,1.0,43.0,11.0,10.0,,,1.0,,,127.0,,,,,,,7.0,,,,3.0,,,,,7.0,,26.0,18.0,4.0,3.0,80.0,56.0,25.0,7.0,,3.0,6.0,4.0,,,3.0,1.0,44.0,48.0,13.0,,1.0,1.0,1.0,,137.0,128.0,2.0,27.0,13.0,34.7,,3.0,0.0,,,,96.0,3.0,1.0,,,3.0,,3.0,1.0,3.0,67.0,9.0,173.0,23.0,17.0,27.0,5.0,11.0,6.0,,105.0,5.0,194.0,4.0,,15.0,12.0,45.0,3.0,356.0,,1.0,10.0,25.0,8.0,18.0,2.0,552.0,10.0,15.0,6.0,17.0,0.0
321756,10.0,2010-10-30 15:00:00,43,Man City,Away,138.0,17.0,1.0,6.0,5.0,2.0,,216.0,3.0,,5.0,3.0,15.0,22.0,348.0,1.0,2.0,12.0,14.0,10.0,15.0,1.0,1.0,,,,1.0,,,,13.0,1.0,,,,,,6.0,4.0,,51.0,50.0,3.0,3.0,,7.0,9.0,3.0,,7.0,12.0,6.0,,12.0,1.0,49.0,44.0,7.0,25.0,13.0,,,69.0,14.0,5.0,1.0,1.0,2.0,1.0,1.0,160.0,,,,,,,7.0,,,,1.0,,,,1.0,27.0,,13.0,8.0,,5.0,126.0,81.0,44.0,5.0,,8.0,8.0,2.0,,,2.0,2.0,45.0,63.0,29.0,,,,,1.0,166.0,149.0,4.0,18.0,20.0,47.7,,1.0,0.0,,,,94.0,1.0,1.0,,,,1.0,8.0,1.0,3.0,105.0,16.0,150.0,30.0,42.0,14.0,7.0,26.0,19.0,1.0,152.0,3.0,307.0,1.0,,22.0,16.0,45.0,4.0,431.0,1.0,0.0,19.0,22.0,6.0,20.0,2.0,649.0,8.0,7.0,7.0,16.0,0.0
