matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987593,1,2018-08-12 16:00:00,43,Man City,Away,261.0,16.0,1.0,1.0,,,,207.0,5.0,,9.0,3.0,14.0,25.0,467.0,1.0,,15.0,14.0,8.0,6.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,14.0,,,,,,1.0,7.0,5.0,4.0,8.0,9.0,92.0,58.0,,2.0,,1.0,12.0,4.0,5.0,,,9.0,3.0,5.0,,16.0,1.0,54.0,34.0,1.0,9.0,4.0,,1.0,0.393342,1.71708,0.138274,2.7255,0.124,47.0,14.0,11.0,,,1.0,,1.0,176.0,2.0,,1.0,2.0,,,8.0,2.0,1.0,1.0,4.0,,12.0,12.0,1.0,9.0,154.0,67.0,47.0,2.0,2.0,4.0,5.0,8.0,526.0,2.0,2.0,90.0,76.0,28.0,,,,,144.0,144.0,2.0,20.0,26.0,58.0,,,,,23.0,0.0,133.0,2.0,1.0,3.0,,1.0,5.0,,3.0,95.0,448.0,12.0,9.0,285.0,29.0,9.0,15.0,7.0,15.0,8.0,1.0,141.0,5.0,285.0,1.0,,17.0,14.0,52.0,2.0,555.0,2.0,0.0,17.0,6.0,6.0,20.0,2.0,734.0,33.0,11.0,9.0,10.0,5.0,0.0
987609,2,2018-08-19 13:30:00,43,Man City,Home,172.0,19.0,2.0,5.0,3.0,1.0,,539.0,5.0,,6.0,2.0,26.0,34.0,706.0,1.0,,15.0,19.0,17.0,19.0,1.0,,1.0,1.0,,,,1.0,,,1.0,28.0,,,,,1.0,,7.0,3.0,2.0,20.0,12.0,116.0,55.0,5.0,5.0,2.0,3.0,21.0,9.0,4.0,,,10.0,10.0,7.0,,11.0,,46.0,44.0,3.0,24.0,15.0,,,,,,,,91.0,9.0,4.0,4.0,,1.0,,1.0,167.0,2.0,1.0,1.0,1.0,1.0,,7.0,4.0,,1.0,15.0,2.0,5.0,5.0,,6.0,244.0,46.0,41.0,3.0,1.0,6.0,16.0,14.0,744.0,2.0,1.0,136.0,110.0,46.0,,,,,104.0,104.0,3.0,18.0,28.0,76.9,1.0,,,,21.0,0.0,233.0,,,,,1.0,9.0,,3.0,257.0,693.0,11.0,22.0,180.0,30.0,24.0,23.0,7.0,24.0,17.0,1.0,298.0,1.0,604.0,,,4.0,27.0,43.0,1.0,760.0,1.0,0.0,32.0,5.0,2.0,15.0,0.0,959.0,57.0,13.0,18.0,10.0,3.0,0.0
987621,3,2018-08-25 12:30:00,43,Man City,Away,244.0,12.0,1.0,4.0,3.0,,1.0,337.0,7.0,,1.0,1.0,12.0,21.0,577.0,,1.0,19.0,15.0,13.0,9.0,1.0,,,,,1.0,,1.0,,,,12.0,,,1.0,,1.0,1.0,5.0,7.0,4.0,9.0,9.0,97.0,46.0,2.0,1.0,1.0,2.0,18.0,6.0,6.0,,3.0,9.0,11.0,9.0,1.0,15.0,1.0,48.0,51.0,2.0,11.0,6.0,,,,,,,,59.0,8.0,13.0,,3.0,6.0,3.0,1.0,171.0,1.0,1.0,1.0,,1.0,,7.0,,1.0,,6.0,3.0,7.0,7.0,1.0,1.0,192.0,69.0,59.0,5.0,,3.0,8.0,6.0,620.0,3.0,5.0,97.0,83.0,50.0,,,,,139.0,139.0,3.0,15.0,26.0,71.1,2.0,,1.0,,18.0,0.0,184.0,1.0,,1.0,,,6.0,,3.0,144.0,555.0,7.0,11.0,256.0,25.0,11.0,20.0,7.0,30.0,23.0,,183.0,,418.0,1.0,,7.0,12.0,36.0,3.0,644.0,2.0,0.0,18.0,9.0,1.0,20.0,2.0,844.0,39.0,15.0,16.0,9.0,8.0,0.0
987629,4,2018-09-01 17:30:00,43,Man City,Home,225.0,13.0,1.0,5.0,4.0,,1.0,468.0,3.0,,6.0,3.0,14.0,29.0,688.0,,1.0,31.0,15.0,12.0,11.0,2.0,,,,,,1.0,3.0,,1.0,,18.0,,,,,,2.0,3.0,2.0,1.0,16.0,8.0,128.0,49.0,3.0,3.0,,,18.0,7.0,7.0,,,4.0,11.0,3.0,1.0,14.0,1.0,46.0,42.0,,9.0,2.0,,,,,,,,83.0,5.0,13.0,,,7.0,3.0,3.0,209.0,2.0,,,2.0,,,3.0,2.0,1.0,,2.0,,6.0,6.0,,6.0,218.0,79.0,67.0,,1.0,5.0,10.0,8.0,753.0,,1.0,160.0,104.0,34.0,,,,,135.0,135.0,4.0,23.0,15.0,78.1,,,,,18.0,0.0,212.0,1.0,,1.0,2.0,,9.0,,3.0,213.0,674.0,6.0,15.0,238.0,27.0,9.0,13.0,4.0,21.0,17.0,,262.0,1.0,550.0,1.0,,8.0,14.0,42.0,2.0,767.0,1.0,0.0,24.0,9.0,3.0,31.0,0.0,957.0,37.0,18.0,8.0,4.0,6.0,0.0
987636,5,2018-09-15 15:00:00,43,Man City,Home,276.0,28.0,4.0,6.0,2.0,1.0,,400.0,4.0,,4.0,3.0,13.0,37.0,670.0,1.0,2.0,16.0,8.0,10.0,19.0,1.0,,1.0,,,,,1.0,,,1.0,24.0,,,,,,,1.0,2.0,7.0,18.0,10.0,112.0,69.0,6.0,4.0,3.0,1.0,21.0,11.0,8.0,,,10.0,7.0,5.0,,10.0,2.0,35.0,46.0,1.0,15.0,8.0,,1.0,,,,,,60.0,7.0,7.0,2.0,,1.0,,1.0,188.0,2.0,,2.0,2.0,,,4.0,3.0,1.0,1.0,8.0,1.0,12.0,12.0,,4.0,228.0,75.0,65.0,4.0,1.0,7.0,15.0,9.0,721.0,1.0,,141.0,85.0,44.0,,,,,120.0,120.0,9.0,23.0,33.0,64.7,,,,,21.0,0.0,208.0,,3.0,3.0,,1.0,8.0,,3.0,180.0,655.0,8.0,22.0,289.0,37.0,15.0,17.0,8.0,20.0,12.0,1.0,218.0,1.0,467.0,1.0,,8.0,14.0,47.0,5.0,736.0,3.0,0.0,28.0,16.0,5.0,17.0,0.0,936.0,54.0,20.0,13.0,10.0,11.0,0.0
987645,6,2018-09-22 15:00:00,43,Man City,Away,373.0,8.0,2.0,8.0,6.0,1.0,1.0,360.0,4.0,1.0,8.0,1.0,13.0,23.0,725.0,1.0,,14.0,10.0,9.0,10.0,1.0,,,,,,1.0,1.0,,,,13.0,,,,1.0,,1.0,3.0,1.0,1.0,18.0,3.0,123.0,51.0,3.0,3.0,1.0,1.0,8.0,7.0,2.0,,,9.0,12.0,3.0,,7.0,,32.0,32.0,1.0,10.0,4.0,,,,,,,,57.0,4.0,5.0,1.0,,3.0,2.0,1.0,181.0,4.0,,4.0,3.0,1.0,,4.0,4.0,1.0,,4.0,1.0,11.0,11.0,2.0,8.0,242.0,80.0,61.0,1.0,2.0,2.0,13.0,10.0,786.0,,,85.0,105.0,38.0,,,,,118.0,118.0,5.0,17.0,21.0,78.6,1.0,,,,8.0,0.0,253.0,1.0,1.0,2.0,,,4.0,,3.0,132.0,713.0,2.0,15.0,387.0,23.0,10.0,15.0,6.0,23.0,17.0,,173.0,3.0,435.0,2.0,1.0,8.0,13.0,40.0,1.0,799.0,2.0,0.0,21.0,12.0,1.0,15.0,1.0,961.0,54.0,11.0,6.0,10.0,10.0,0.0
987658,7,2018-09-29 15:00:00,43,Man City,Home,186.0,25.0,2.0,8.0,6.0,2.0,1.0,611.0,2.0,,3.0,1.0,4.0,24.0,789.0,1.0,,18.0,8.0,14.0,20.0,2.0,,1.0,,,,,,,,,24.0,,,,,,1.0,3.0,4.0,,19.0,9.0,130.0,54.0,2.0,,2.0,1.0,8.0,7.0,1.0,,,10.0,15.0,5.0,,10.0,,28.0,52.0,1.0,7.0,4.0,,,,,,,,69.0,4.0,10.0,2.0,,2.0,1.0,,189.0,2.0,,2.0,2.0,,1.0,2.0,2.0,,,4.0,,12.0,12.0,1.0,3.0,259.0,53.0,46.0,3.0,,12.0,12.0,8.0,834.0,2.0,1.0,118.0,135.0,55.0,,,,,109.0,109.0,8.0,17.0,26.0,80.1,,,,,8.0,0.0,272.0,1.0,,1.0,1.0,1.0,13.0,4.0,3.0,344.0,773.0,2.0,24.0,202.0,34.0,7.0,18.0,8.0,29.0,21.0,2.0,381.0,5.0,677.0,,,9.0,5.0,41.0,,850.0,2.0,0.0,28.0,15.0,,18.0,0.0,1040.0,61.0,11.0,13.0,10.0,10.0,0.0
987667,8,2018-10-07 16:30:00,43,Man City,Away,269.0,25.0,,1.0,1.0,2.0,,171.0,7.0,2.0,7.0,7.0,7.0,29.0,439.0,,,13.0,6.0,17.0,4.0,,,,,,,,,,,,5.0,,1.0,,,,,5.0,5.0,2.0,5.0,1.0,85.0,58.0,,1.0,,,18.0,1.0,4.0,,,6.0,6.0,1.0,,11.0,,37.0,50.0,,25.0,18.0,,,,,,,,38.0,10.0,10.0,,,1.0,,,175.0,,,,,,,10.0,,1.0,,18.0,,13.0,13.0,3.0,7.0,127.0,67.0,40.0,2.0,,2.0,2.0,2.0,505.0,1.0,3.0,92.0,53.0,24.0,,,,1.0,138.0,138.0,2.0,24.0,24.0,50.6,,,,,18.0,0.0,141.0,2.0,,2.0,,,3.0,1.0,2.0,65.0,420.0,11.0,4.0,289.0,36.0,25.0,13.0,5.0,12.0,7.0,,108.0,5.0,251.0,1.0,2.0,17.0,7.0,51.0,5.0,528.0,1.0,0.0,6.0,16.0,1.0,18.0,3.0,708.0,19.0,8.0,7.0,6.0,11.0,0.0
987678,9,2018-10-20 15:00:00,43,Man City,Home,284.0,24.0,1.0,7.0,6.0,1.0,,320.0,5.0,,3.0,,12.0,27.0,597.0,,2.0,14.0,16.0,14.0,16.0,,,,,,,,,,,,22.0,,,,,,,7.0,4.0,1.0,18.0,6.0,109.0,54.0,7.0,5.0,3.0,,17.0,8.0,3.0,,,10.0,11.0,3.0,,5.0,,40.0,39.0,,10.0,6.0,,,,,,,,53.0,11.0,5.0,3.0,,,,,184.0,4.0,,3.0,4.0,,,6.0,4.0,1.0,1.0,6.0,,7.0,7.0,1.0,3.0,204.0,59.0,43.0,1.0,2.0,3.0,17.0,10.0,661.0,1.0,,101.0,87.0,40.0,,,,,116.0,116.0,4.0,24.0,21.0,69.1,,,,1.0,17.0,0.0,182.0,,,,1.0,,6.0,2.0,3.0,162.0,581.0,6.0,20.0,300.0,38.0,10.0,12.0,5.0,19.0,14.0,,208.0,4.0,398.0,1.0,,9.0,12.0,51.0,,679.0,4.0,0.0,24.0,15.0,2.0,15.0,2.0,825.0,52.0,9.0,5.0,10.0,8.0,0.0
987690,10,2018-10-29 20:00:00,43,Man City,Away,195.0,15.0,1.0,1.0,,4.0,,235.0,2.0,2.0,8.0,2.0,6.0,24.0,429.0,2.0,1.0,8.0,12.0,11.0,8.0,,,,,,,,1.0,,,,10.0,,,,,,1.0,5.0,3.0,1.0,10.0,3.0,80.0,68.0,2.0,1.0,1.0,1.0,13.0,5.0,7.0,,,6.0,1.0,5.0,,7.0,,48.0,47.0,1.0,22.0,10.0,,2.0,,,,,,62.0,13.0,11.0,1.0,,3.0,2.0,1.0,157.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,10.0,1.0,14.0,14.0,1.0,8.0,144.0,67.0,35.0,3.0,,1.0,8.0,6.0,491.0,,3.0,66.0,73.0,33.0,,,,,140.0,140.0,4.0,15.0,36.0,52.0,,,,,13.0,0.0,133.0,1.0,,1.0,1.0,,2.0,,3.0,115.0,415.0,8.0,9.0,212.0,29.0,22.0,23.0,4.0,12.0,8.0,,155.0,6.0,314.0,,2.0,20.0,6.0,63.0,4.0,514.0,3.0,0.0,13.0,12.0,1.0,9.0,2.0,693.0,37.0,19.0,13.0,6.0,6.0,0.0
