matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059709,1.0,2019-08-10 12:30:00,43,Man City,Away,250.0,17.0,,2.0,2.0,1.0,,225.0,4.0,,7.0,2.0,4.0,28.0,473.0,,2.0,12.0,18.0,17.0,8.0,,,2.0,,,,,,,,,,3.0,13.0,1.0,,,,,,8.0,4.0,1.0,10.0,4.0,,93.0,68.0,4.0,1.0,4.0,,14.0,2.0,8.0,,3.0,1.0,5.0,1.0,,13.0,2.0,57.0,54.0,,13.0,7.0,,,47.0,13.0,6.0,4.0,,3.0,,,163.0,4.0,,4.0,4.0,,1.0,5.0,,,4.0,1.0,,,,,7.0,,13.0,13.0,1.0,7.0,144.0,43.0,34.0,1.0,,3.0,9.0,9.0,533.0,,,,3.0,,78.0,50.0,26.0,,,,1.0,114.0,114.0,4.0,26.0,31.0,57.1,,,,,14.0,0.0,,,,147.0,3.0,,3.0,,,2.0,3.0,,3.0,113.0,462.0,8.0,12.0,277.0,28.0,13.0,18.0,,6.0,6.0,3.0,151.0,2.0,276.0,1.0,,11.0,4.0,44.0,4.0,547.0,1.0,0.0,14.0,18.0,10.0,14.0,2.0,722.0,33.0,9.0,13.0,1.0,13.0,0.0
1059717,2.0,2019-08-17 17:30:00,43,Man City,Home,216.0,27.0,5.0,8.0,4.0,2.0,,343.0,2.0,,5.0,1.0,1.0,29.0,551.0,,2.0,10.0,10.0,15.0,17.0,3.0,6.0,,,,,,,,,,,1.0,23.0,,,1.0,,,1.0,5.0,1.0,2.0,22.0,8.0,,110.0,67.0,3.0,2.0,2.0,,26.0,12.0,15.0,,1.0,13.0,18.0,8.0,,9.0,,53.0,43.0,,10.0,4.0,,,67.0,14.0,4.0,1.0,,1.0,,,166.0,2.0,,2.0,2.0,,,3.0,,,2.0,1.0,,,,1.0,4.0,1.0,10.0,10.0,,5.0,144.0,66.0,56.0,2.0,1.0,5.0,17.0,10.0,591.0,,,,,,118.0,108.0,46.0,,,,,113.0,113.0,8.0,13.0,40.0,55.4,1.0,2.0,,,26.0,0.0,,,,190.0,,,,,1.0,,8.0,2.0,3.0,180.0,534.0,12.0,22.0,224.0,44.0,10.0,17.0,6.0,31.0,26.0,,218.0,2.0,417.0,1.0,,5.0,1.0,47.0,3.0,610.0,2.0,0.0,30.0,15.0,4.0,12.0,1.0,806.0,52.0,9.0,9.0,13.0,7.0,0.0
1059722,3.0,2019-08-25 14:00:00,43,Man City,Away,320.0,19.0,3.0,6.0,4.0,1.0,,333.0,3.0,,10.0,2.0,6.0,21.0,647.0,2.0,1.0,19.0,15.0,16.0,14.0,,2.0,,,,,,,,,,,1.0,15.0,,,,,,1.0,10.0,8.0,2.0,14.0,4.0,,87.0,56.0,4.0,2.0,3.0,3.0,11.0,9.0,6.0,,1.0,5.0,5.0,3.0,,6.0,1.0,42.0,46.0,3.0,16.0,7.0,,2.0,62.0,13.0,7.0,3.0,,,,,175.0,3.0,,1.0,3.0,,,3.0,,,3.0,2.0,,,,,7.0,,8.0,8.0,1.0,10.0,224.0,82.0,63.0,4.0,,4.0,13.0,5.0,711.0,,,1.0,2.0,,77.0,79.0,25.0,,,,,118.0,118.0,3.0,28.0,15.0,73.8,,,,1.0,11.0,0.0,,,,242.0,5.0,1.0,6.0,,,,4.0,1.0,3.0,143.0,630.0,4.0,17.0,339.0,38.0,16.0,9.0,3.0,10.0,8.0,,188.0,3.0,399.0,3.0,1.0,14.0,6.0,45.0,4.0,728.0,4.0,0.0,18.0,16.0,4.0,21.0,3.0,905.0,37.0,17.0,7.0,5.0,12.0,0.0
1059738,4.0,2019-08-31 15:00:00,43,Man City,Home,237.0,23.0,2.0,1.0,,2.0,,299.0,1.0,1.0,9.0,1.0,4.0,32.0,535.0,1.0,2.0,9.0,6.0,6.0,8.0,2.0,3.0,,,1.0,,,1.0,,,,,1.0,11.0,,,,,,,6.0,5.0,1.0,10.0,5.0,,100.0,60.0,4.0,2.0,2.0,,12.0,1.0,8.0,1.0,,8.0,7.0,2.0,,12.0,1.0,41.0,33.0,,19.0,9.0,,,46.0,10.0,6.0,2.0,,2.0,1.0,1.0,148.0,4.0,,3.0,4.0,,,2.0,,,4.0,,,,,1.0,9.0,,10.0,10.0,,9.0,174.0,52.0,38.0,1.0,1.0,7.0,7.0,6.0,583.0,,,4.0,,,97.0,64.0,37.0,,,,,106.0,106.0,7.0,17.0,27.0,53.5,,,,1.0,12.0,0.0,,,,176.0,2.0,,1.0,,,,8.0,1.0,3.0,140.0,521.0,6.0,15.0,251.0,33.0,19.0,12.0,4.0,13.0,10.0,,177.0,3.0,360.0,,1.0,12.0,4.0,51.0,1.0,598.0,4.0,0.0,15.0,15.0,3.0,10.0,1.0,755.0,36.0,11.0,6.0,8.0,7.0,0.0
1059747,5.0,2019-09-14 17:30:00,43,Man City,Away,148.0,19.0,4.0,8.0,4.0,,,454.0,1.0,,3.0,1.0,7.0,29.0,594.0,,,16.0,11.0,19.0,12.0,2.0,6.0,,,,,,,,,,,,17.0,,,,1.0,,2.0,7.0,6.0,1.0,18.0,7.0,,100.0,65.0,4.0,3.0,1.0,,22.0,11.0,8.0,,,16.0,19.0,12.0,,7.0,,42.0,62.0,,7.0,2.0,1.0,1.0,76.0,7.0,8.0,1.0,,2.0,3.0,,167.0,2.0,,1.0,2.0,,,2.0,,,2.0,,,,,,2.0,1.0,7.0,7.0,1.0,3.0,196.0,54.0,40.0,3.0,1.0,4.0,12.0,8.0,655.0,,,1.0,1.0,,144.0,108.0,60.0,,,,,142.0,142.0,10.0,17.0,35.0,68.6,1.0,,,,22.0,0.0,,,,208.0,,,,,1.0,,6.0,,3.0,256.0,580.0,12.0,16.0,155.0,28.0,7.0,29.0,13.0,46.0,34.0,,312.0,2.0,562.0,,,7.0,7.0,42.0,,671.0,,0.0,25.0,15.0,,16.0,1.0,876.0,52.0,10.0,20.0,16.0,9.0,0.0
1059758,6.0,2019-09-21 15:00:00,43,Man City,Home,280.0,15.0,2.0,10.0,8.0,1.0,,385.0,,,6.0,1.0,7.0,35.0,655.0,,1.0,18.0,4.0,11.0,15.0,2.0,4.0,1.0,1.0,1.0,,,2.0,,,,,1.0,20.0,1.0,,1.0,1.0,1.0,1.0,3.0,4.0,1.0,20.0,8.0,,117.0,58.0,8.0,5.0,5.0,,11.0,4.0,7.0,,,5.0,15.0,5.0,1.0,8.0,1.0,28.0,56.0,,5.0,5.0,,,47.0,5.0,9.0,5.0,,5.0,,2.0,184.0,4.0,,3.0,3.0,1.0,,1.0,,,4.0,,,,,,5.0,3.0,6.0,6.0,,6.0,214.0,58.0,50.0,4.0,2.0,11.0,10.0,11.0,715.0,,,1.0,2.0,,145.0,86.0,31.0,,,,1.0,107.0,107.0,5.0,24.0,23.0,68.7,3.0,,,,11.0,0.0,,,,212.0,3.0,1.0,4.0,,,1.0,13.0,1.0,3.0,164.0,644.0,4.0,21.0,305.0,25.0,5.0,22.0,3.0,23.0,20.0,1.0,195.0,1.0,445.0,,,4.0,7.0,46.0,2.0,727.0,,0.0,28.0,18.0,1.0,20.0,2.0,909.0,54.0,4.0,18.0,5.0,12.0,0.0
1059766,7.0,2019-09-28 17:30:00,43,Man City,Away,283.0,33.0,1.0,4.0,3.0,2.0,,285.0,4.0,,9.0,2.0,11.0,34.0,564.0,,2.0,15.0,16.0,11.0,15.0,,,1.0,1.0,,,,1.0,,,,,,18.0,,,1.0,,,,4.0,10.0,2.0,13.0,6.0,,113.0,65.0,3.0,2.0,1.0,2.0,14.0,4.0,14.0,,,2.0,8.0,4.0,,12.0,3.0,57.0,40.0,2.0,19.0,13.0,,,46.0,8.0,4.0,3.0,,2.0,,1.0,140.0,1.0,,1.0,1.0,,,4.0,,,2.0,1.0,,,,,13.0,1.0,8.0,8.0,,9.0,180.0,71.0,55.0,5.0,,7.0,9.0,8.0,606.0,,,1.0,2.0,,91.0,76.0,35.0,,,,,103.0,103.0,7.0,23.0,24.0,62.8,1.0,,,,14.0,0.0,,,,186.0,6.0,1.0,6.0,,1.0,1.0,7.0,1.0,3.0,133.0,551.0,9.0,16.0,292.0,47.0,19.0,17.0,1.0,13.0,12.0,1.0,161.0,3.0,340.0,1.0,,9.0,11.0,51.0,5.0,619.0,,0.0,19.0,15.0,4.0,16.0,2.0,813.0,33.0,12.0,10.0,2.0,7.0,0.0
1059776,8.0,2019-10-06 14:00:00,43,Man City,Home,209.0,22.0,,8.0,8.0,1.0,2.0,433.0,2.0,1.0,2.0,,9.0,44.0,634.0,1.0,,25.0,15.0,11.0,13.0,,1.0,,,1.0,1.0,,2.0,,,,,,12.0,,,1.0,,,3.0,7.0,4.0,3.0,9.0,9.0,,119.0,56.0,2.0,2.0,,,14.0,10.0,10.0,,,9.0,15.0,15.0,,9.0,,54.0,49.0,,5.0,3.0,,1.0,66.0,11.0,14.0,,,5.0,4.0,2.0,150.0,,,,,,,2.0,,,,,,,,,3.0,1.0,11.0,11.0,1.0,2.0,216.0,60.0,50.0,1.0,,4.0,9.0,2.0,692.0,,,2.0,3.0,,142.0,114.0,57.0,,,,,145.0,145.0,5.0,22.0,27.0,76.0,1.0,,,,14.0,0.0,,,,229.0,,,,,1.0,,6.0,2.0,3.0,232.0,612.0,6.0,13.0,222.0,43.0,5.0,19.0,2.0,36.0,34.0,,287.0,1.0,528.0,,1.0,6.0,9.0,63.0,1.0,714.0,1.0,0.0,18.0,14.0,,26.0,5.0,917.0,42.0,14.0,10.0,9.0,7.0,0.0
1059785,9.0,2019-10-19 17:30:00,43,Man City,Away,232.0,24.0,1.0,8.0,7.0,,,371.0,4.0,,1.0,2.0,3.0,38.0,595.0,2.0,2.0,22.0,13.0,21.0,18.0,,3.0,2.0,,,,,,,,,,,18.0,,,,2.0,,,6.0,5.0,2.0,17.0,4.0,,107.0,55.0,6.0,5.0,2.0,,20.0,3.0,11.0,,1.0,8.0,17.0,5.0,,7.0,2.0,47.0,56.0,,13.0,8.0,,,54.0,10.0,8.0,1.0,,2.0,,,166.0,2.0,,2.0,2.0,,1.0,5.0,,,2.0,1.0,,,,,8.0,2.0,6.0,6.0,1.0,1.0,194.0,55.0,43.0,1.0,1.0,7.0,13.0,10.0,662.0,,,2.0,,,114.0,89.0,44.0,,,,,136.0,136.0,7.0,27.0,19.0,71.3,2.0,,,1.0,20.0,0.0,,,,215.0,2.0,,2.0,,,2.0,8.0,1.0,2.0,181.0,577.0,6.0,20.0,264.0,31.0,13.0,22.0,7.0,29.0,22.0,3.0,218.0,2.0,447.0,1.0,,13.0,3.0,57.0,2.0,682.0,2.0,0.0,21.0,11.0,2.0,22.0,1.0,868.0,51.0,13.0,16.0,8.0,6.0,0.0
1059796,10.0,2019-10-26 12:30:00,43,Man City,Home,170.0,32.0,8.0,10.0,2.0,1.0,,364.0,3.0,,5.0,3.0,5.0,30.0,524.0,1.0,,15.0,9.0,17.0,16.0,4.0,8.0,,,,,,,,,,,2.0,18.0,,,1.0,,,,7.0,8.0,3.0,22.0,4.0,,89.0,55.0,2.0,4.0,1.0,3.0,16.0,8.0,10.0,,1.0,13.0,7.0,7.0,,7.0,4.0,39.0,50.0,3.0,18.0,7.0,,1.0,65.0,10.0,5.0,1.0,,1.0,1.0,,156.0,1.0,,1.0,,1.0,,4.0,,,1.0,1.0,,,,,7.0,1.0,9.0,9.0,3.0,5.0,183.0,40.0,28.0,7.0,2.0,5.0,16.0,10.0,580.0,,,4.0,,,114.0,80.0,42.0,,,,,109.0,109.0,6.0,21.0,21.0,63.1,1.0,,,2.0,16.0,0.0,,,,169.0,3.0,2.0,5.0,1.0,,,8.0,,3.0,225.0,509.0,8.0,21.0,183.0,47.0,18.0,18.0,8.0,23.0,15.0,,274.0,2.0,437.0,1.0,,8.0,5.0,44.0,1.0,597.0,3.0,1.0,26.0,13.0,2.0,16.0,1.0,794.0,74.0,11.0,15.0,13.0,6.0,0.0
