matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855179,1,2016-08-13 17:30:00,43,Man City,Home,219.0,19.0,3.0,3.0,,,,369.0,1.0,2.0,1.0,3.0,21.0,28.0,585.0,1.0,1.0,26.0,21.0,16.0,9.0,1.0,2.0,,,,,2.0,2.0,,,2.0,,,11.0,1.0,,,,,,6.0,4.0,3.0,8.0,8.0,101.0,49.0,1.0,1.0,1.0,2.0,15.0,4.0,11.0,,,9.0,12.0,4.0,,9.0,2.0,59.0,46.0,2.0,15.0,9.0,,,83.0,11.0,13.0,1.0,,4.0,1.0,2.0,206.0,,,,,,,3.0,,1.0,,15.0,,9.0,9.0,2.0,1.0,191.0,76.0,50.0,6.0,,6.0,4.0,4.0,662.0,2.0,2.0,,109.0,87.0,37.0,,,,,1.0,151.0,151.0,5.0,19.0,24.0,76.9,,,,,15.0,0.0,183.0,1.0,1.0,2.0,,,8.0,,3.0,173.0,569.0,3.0,10.0,245.0,32.0,26.0,21.0,7.0,24.0,17.0,,217.0,2.0,460.0,1.0,2.0,23.0,22.0,60.0,1.0,681.0,3.0,0.0,16.0,5.0,1.0,27.0,1.0,864.0,36.0,13.0,13.0,9.0,4.0,0.0
855185,2,2016-08-20 12:30:00,43,Man City,Away,166.0,12.0,3.0,5.0,2.0,2.0,1.0,237.0,2.0,1.0,5.0,6.0,11.0,23.0,398.0,,2.0,16.0,21.0,21.0,6.0,1.0,1.0,,,,,,,,,,,,9.0,1.0,,,,,1.0,11.0,5.0,3.0,9.0,3.0,79.0,65.0,2.0,,3.0,2.0,15.0,4.0,14.0,,,7.0,7.0,2.0,,15.0,2.0,69.0,65.0,2.0,22.0,15.0,,,55.0,13.0,12.0,2.0,,5.0,2.0,,177.0,3.0,1.0,3.0,2.0,1.0,,6.0,2.0,1.0,,15.0,,17.0,17.0,2.0,5.0,126.0,76.0,45.0,7.0,,2.0,8.0,6.0,470.0,2.0,2.0,,88.0,82.0,30.0,1.0,1.0,1.0,,1.0,153.0,153.0,5.0,26.0,26.0,57.5,,,,,15.0,0.0,111.0,1.0,1.0,2.0,,,2.0,1.0,3.0,103.0,383.0,9.0,10.0,185.0,19.0,28.0,19.0,7.0,18.0,11.0,,149.0,10.0,326.0,1.0,2.0,26.0,11.0,58.0,1.0,493.0,1.0,0.0,12.0,20.0,4.0,19.0,4.0,704.0,46.0,17.0,12.0,7.0,14.0,0.0
855197,3,2016-08-28 16:00:00,43,Man City,Home,232.0,22.0,1.0,4.0,3.0,,2.0,280.0,5.0,1.0,3.0,2.0,20.0,27.0,508.0,2.0,2.0,22.0,23.0,16.0,14.0,1.0,,,,1.0,,,1.0,,,,,,18.0,,,,1.0,,3.0,4.0,7.0,2.0,17.0,5.0,76.0,56.0,4.0,2.0,2.0,4.0,23.0,7.0,17.0,,1.0,5.0,5.0,3.0,,8.0,,63.0,64.0,4.0,23.0,16.0,,3.0,68.0,5.0,10.0,2.0,,5.0,3.0,1.0,194.0,3.0,1.0,3.0,2.0,1.0,,7.0,2.0,,1.0,18.0,1.0,9.0,9.0,,3.0,158.0,67.0,48.0,4.0,1.0,7.0,11.0,5.0,569.0,2.0,1.0,,74.0,82.0,35.0,,,,,,127.0,127.0,2.0,29.0,22.0,67.1,1.0,,,1.0,23.0,0.0,159.0,1.0,,1.0,,,10.0,1.0,3.0,134.0,494.0,9.0,18.0,246.0,28.0,27.0,28.0,4.0,15.0,11.0,,178.0,5.0,356.0,,1.0,14.0,20.0,51.0,3.0,587.0,3.0,0.0,22.0,21.0,6.0,25.0,1.0,794.0,38.0,11.0,17.0,5.0,15.0,0.0
855206,4,2016-09-10 12:30:00,43,Man City,Away,206.0,13.0,1.0,3.0,2.0,3.0,,283.0,1.0,,3.0,7.0,20.0,35.0,486.0,,2.0,12.0,22.0,14.0,10.0,2.0,3.0,,,2.0,,,2.0,,,,,,12.0,,,,1.0,1.0,1.0,6.0,5.0,9.0,11.0,7.0,97.0,77.0,1.0,,2.0,5.0,24.0,4.0,15.0,1.0,,4.0,5.0,1.0,,17.0,,71.0,61.0,5.0,31.0,16.0,1.0,1.0,81.0,10.0,14.0,1.0,,5.0,3.0,2.0,191.0,1.0,,,1.0,,,7.0,2.0,1.0,,18.0,2.0,20.0,20.0,4.0,4.0,159.0,72.0,45.0,4.0,1.0,5.0,8.0,6.0,571.0,5.0,2.0,,104.0,56.0,27.0,,,,,,161.0,161.0,6.0,22.0,44.0,60.1,2.0,,,,24.0,0.0,146.0,2.0,,1.0,,,8.0,,3.0,137.0,476.0,9.0,13.0,232.0,23.0,36.0,18.0,3.0,12.0,9.0,,194.0,5.0,373.0,3.0,2.0,29.0,22.0,69.0,3.0,593.0,,0.0,18.0,23.0,7.0,16.0,2.0,822.0,33.0,11.0,11.0,4.0,17.0,0.0
855217,5,2016-09-17 15:00:00,43,Man City,Home,238.0,27.0,3.0,5.0,2.0,1.0,,293.0,2.0,2.0,1.0,1.0,21.0,32.0,526.0,,4.0,15.0,3.0,6.0,11.0,1.0,1.0,2.0,1.0,,,1.0,2.0,,2.0,,,,17.0,,,,1.0,,,5.0,3.0,3.0,11.0,9.0,111.0,65.0,4.0,1.0,3.0,,14.0,5.0,21.0,,,5.0,6.0,3.0,,10.0,2.0,45.0,56.0,,10.0,5.0,,,76.0,8.0,11.0,1.0,,3.0,,2.0,165.0,3.0,,3.0,3.0,,2.0,4.0,3.0,,1.0,5.0,1.0,16.0,16.0,,1.0,168.0,51.0,31.0,5.0,3.0,3.0,12.0,11.0,572.0,1.0,4.0,,91.0,66.0,30.0,,,,,,104.0,104.0,13.0,21.0,28.0,64.2,1.0,,,1.0,14.0,0.0,147.0,1.0,1.0,2.0,,2.0,4.0,,3.0,148.0,510.0,9.0,15.0,251.0,41.0,13.0,18.0,3.0,12.0,9.0,4.0,190.0,6.0,352.0,1.0,2.0,13.0,21.0,60.0,1.0,591.0,1.0,1.0,20.0,25.0,5.0,17.0,1.0,769.0,38.0,11.0,14.0,5.0,17.0,0.0
855230,6,2016-09-24 15:00:00,43,Man City,Away,248.0,23.0,3.0,5.0,2.0,2.0,1.0,239.0,7.0,,4.0,2.0,10.0,33.0,482.0,,1.0,14.0,10.0,10.0,10.0,2.0,2.0,1.0,,1.0,,,1.0,,,,,1.0,14.0,1.0,,,,,,7.0,9.0,4.0,11.0,7.0,98.0,72.0,2.0,1.0,2.0,2.0,17.0,6.0,12.0,,,7.0,8.0,2.0,,6.0,1.0,44.0,53.0,2.0,16.0,6.0,,,63.0,9.0,15.0,2.0,,4.0,2.0,1.0,189.0,2.0,,1.0,2.0,,1.0,7.0,2.0,,,6.0,,20.0,20.0,2.0,4.0,141.0,64.0,45.0,2.0,1.0,6.0,8.0,4.0,543.0,,5.0,,63.0,47.0,36.0,,,,,1.0,131.0,131.0,8.0,25.0,33.0,58.4,,,,2.0,17.0,0.0,138.0,2.0,2.0,4.0,,1.0,8.0,,3.0,124.0,463.0,9.0,14.0,274.0,35.0,18.0,24.0,7.0,19.0,12.0,2.0,166.0,6.0,311.0,,,15.0,11.0,61.0,2.0,566.0,,0.0,18.0,11.0,4.0,15.0,4.0,760.0,50.0,12.0,17.0,7.0,10.0,0.0
855239,7,2016-10-02 14:15:00,43,Man City,Away,197.0,11.0,1.0,2.0,1.0,1.0,,187.0,2.0,1.0,6.0,5.0,13.0,18.0,382.0,,2.0,21.0,11.0,13.0,9.0,1.0,,,,,,1.0,1.0,1.0,,,,,10.0,,,,,,1.0,7.0,8.0,6.0,6.0,6.0,62.0,71.0,1.0,1.0,,1.0,19.0,3.0,12.0,,,3.0,5.0,3.0,,17.0,2.0,56.0,82.0,1.0,22.0,15.0,,,71.0,10.0,20.0,,,2.0,,1.0,197.0,,,,,,,6.0,,,1.0,16.0,1.0,21.0,21.0,4.0,7.0,109.0,73.0,33.0,4.0,,2.0,8.0,6.0,448.0,2.0,3.0,1.0,52.0,47.0,26.0,,1.0,1.0,1.0,,168.0,168.0,6.0,28.0,28.0,57.7,,,,,19.0,0.0,116.0,2.0,4.0,6.0,,,3.0,,3.0,103.0,355.0,10.0,10.0,228.0,32.0,24.0,29.0,3.0,11.0,8.0,,142.0,4.0,267.0,,1.0,23.0,13.0,59.0,5.0,484.0,,0.0,12.0,27.0,5.0,26.0,2.0,740.0,24.0,19.0,22.0,3.0,14.0,0.0
855247,8,2016-10-15 15:00:00,43,Man City,Home,176.0,18.0,4.0,10.0,6.0,2.0,2.0,407.0,2.0,,2.0,2.0,16.0,30.0,573.0,,,19.0,18.0,12.0,10.0,4.0,2.0,,,,,,1.0,,,,,,11.0,,2.0,,,,3.0,4.0,1.0,2.0,12.0,7.0,86.0,63.0,1.0,2.0,1.0,3.0,22.0,6.0,6.0,,1.0,13.0,24.0,4.0,,14.0,1.0,55.0,52.0,3.0,10.0,3.0,,,80.0,7.0,9.0,,,8.0,3.0,1.0,195.0,1.0,,1.0,1.0,,,3.0,1.0,,,5.0,1.0,11.0,11.0,2.0,2.0,193.0,51.0,37.0,1.0,,5.0,10.0,8.0,647.0,,2.0,,83.0,96.0,59.0,,,,,2.0,167.0,167.0,8.0,33.0,20.0,72.6,,,1.0,,22.0,0.0,187.0,,1.0,1.0,,,5.0,,3.0,241.0,562.0,10.0,15.0,186.0,31.0,13.0,25.0,13.0,44.0,31.0,,303.0,3.0,519.0,,,6.0,18.0,43.0,,661.0,1.0,0.0,19.0,17.0,5.0,20.0,0.0,878.0,64.0,17.0,14.0,13.0,12.0,0.0
855259,9,2016-10-23 13:30:00,43,Man City,Home,192.0,17.0,3.0,6.0,3.0,5.0,,302.0,5.0,2.0,7.0,6.0,22.0,35.0,488.0,,,24.0,15.0,16.0,10.0,1.0,5.0,,,,,,,,,,,,9.0,,,,,,,5.0,3.0,3.0,8.0,6.0,83.0,65.0,1.0,,1.0,3.0,31.0,4.0,9.0,,,10.0,12.0,4.0,,27.0,1.0,69.0,62.0,3.0,11.0,7.0,1.0,,61.0,11.0,10.0,,,2.0,,,179.0,1.0,,1.0,1.0,,,7.0,1.0,1.0,,9.0,,10.0,10.0,,7.0,169.0,68.0,41.0,3.0,,6.0,6.0,3.0,557.0,1.0,3.0,,82.0,58.0,37.0,,,,,,172.0,172.0,3.0,22.0,31.0,64.7,,,1.0,,31.0,0.0,151.0,1.0,,1.0,,,7.0,,3.0,145.0,466.0,14.0,12.0,213.0,29.0,14.0,26.0,8.0,24.0,16.0,,199.0,11.0,393.0,1.0,3.0,17.0,23.0,57.0,1.0,582.0,,0.0,14.0,19.0,2.0,28.0,3.0,813.0,40.0,17.0,18.0,10.0,13.0,0.0
855271,10,2016-10-29 15:00:00,43,Man City,Away,271.0,10.0,2.0,4.0,2.0,1.0,,336.0,9.0,1.0,5.0,3.0,26.0,25.0,603.0,,2.0,11.0,8.0,10.0,13.0,,1.0,,,,,,1.0,,,,,2.0,19.0,,,,,,,6.0,6.0,3.0,12.0,9.0,109.0,46.0,2.0,2.0,1.0,2.0,13.0,9.0,9.0,,,7.0,8.0,2.0,,7.0,,38.0,48.0,2.0,19.0,10.0,,,74.0,10.0,16.0,2.0,,2.0,,1.0,180.0,2.0,,2.0,2.0,,,10.0,4.0,,1.0,10.0,,9.0,9.0,1.0,5.0,177.0,70.0,46.0,1.0,2.0,3.0,12.0,8.0,641.0,1.0,1.0,,64.0,101.0,30.0,,,,,,105.0,105.0,3.0,17.0,20.0,69.9,,,,1.0,13.0,0.0,209.0,,1.0,1.0,,,4.0,,3.0,141.0,572.0,7.0,15.0,283.0,23.0,19.0,17.0,3.0,13.0,10.0,,186.0,2.0,405.0,,2.0,18.0,26.0,54.0,3.0,675.0,1.0,0.0,21.0,10.0,4.0,12.0,3.0,835.0,36.0,7.0,12.0,7.0,6.0,0.0
