matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367538,1,2023-08-11 20:00:00,43,Man City,Away,379.0,25.0,1.0,4.0,3.0,,1.0,259.0,7.0,1.0,5.0,2.0,17.0,34.0,634.0,1.0,3.0,12.0,13.0,13.0,9.0,3.0,3.0,1.0,,,,,,,,,,,10.0,,,,,4.0,2.0,5.0,1.0,14.0,3.0,137.0,60.0,2.0,1.0,2.0,1.0,7.0,5.0,3.0,,,5.0,3.0,5.0,,9.0,,36.0,44.0,1.0,6.0,4.0,,2.0,61.0,8.0,11.0,2.0,,4.0,3.0,,189.0,2.0,,2.0,1.0,1.0,,7.0,1.0,1.0,,4.0,,4.0,4.0,,5.0,185.0,67.0,41.0,6.0,1.0,4.0,10.0,8.0,690.0,2.0,1.0,,53.0,51.0,32.0,,,,,107.0,107.0,5.0,24.0,25.0,65.6,,,,,14.0,0.0,195.0,1.0,,1.0,,3.0,1.0,4.0,2.0,,5.0,111.0,619.0,7.0,14.0,406.0,46.0,6.0,6.0,4.0,15.0,11.0,1.0,138.0,2.0,315.0,1.0,1.0,12.0,17.0,64.0,1.0,706.0,1.0,0.0,17.0,17.0,7.0,13.0,0.0,860.0,23.0,9.0,3.0,5.0,12.0,0.0
2367553,2,2023-08-19 20:00:00,43,Man City,Home,305.0,34.0,2.0,1.0,,,,307.0,4.0,2.0,3.0,2.0,13.0,32.0,611.0,,3.0,17.0,6.0,3.0,12.0,,,1.0,,,,,,,,,,,13.0,,,,,1.0,4.0,4.0,3.0,10.0,4.0,143.0,59.0,,,,,6.0,7.0,5.0,,,3.0,3.0,2.0,,5.0,1.0,34.0,39.0,,10.0,6.0,,1.0,49.0,13.0,11.0,,,3.0,1.0,,176.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,,6.0,,4.0,4.0,,3.0,174.0,62.0,41.0,,1.0,3.0,10.0,4.0,663.0,3.0,,,63.0,80.0,21.0,,,,,103.0,103.0,6.0,20.0,28.0,58.7,,,,,10.0,0.0,191.0,,1.0,1.0,,,1.0,3.0,,,,118.0,594.0,6.0,13.0,323.0,59.0,10.0,19.0,2.0,7.0,6.0,1.0,156.0,2.0,368.0,1.0,2.0,5.0,14.0,53.0,1.0,684.0,,0.0,14.0,11.0,4.0,19.0,1.0,823.0,22.0,11.0,14.0,3.0,7.0,0.0
2367567,3,2023-08-27 14:00:00,43,Man City,Away,267.0,19.0,1.0,9.0,8.0,2.0,,427.0,4.0,,3.0,,10.0,25.0,685.0,,1.0,10.0,6.0,12.0,22.0,1.0,2.0,,,1.0,,1.0,2.0,,,,,,25.0,,1.0,,1.0,,,4.0,2.0,20.0,10.0,135.0,56.0,3.0,4.0,1.0,,9.0,8.0,6.0,1.0,,12.0,15.0,11.0,,5.0,,24.0,42.0,,7.0,1.0,,,66.0,2.0,9.0,1.0,,6.0,1.0,2.0,170.0,2.0,,1.0,2.0,,,6.0,2.0,,,1.0,1.0,4.0,4.0,,3.0,219.0,71.0,58.0,1.0,1.0,10.0,15.0,9.0,723.0,1.0,2.0,,108.0,115.0,49.0,,,,1.0,112.0,112.0,5.0,17.0,31.0,79.5,1.0,,,1.0,18.0,0.0,218.0,,1.0,,,1.0,,13.0,2.0,,1.0,195.0,669.0,9.0,25.0,280.0,31.0,7.0,15.0,8.0,35.0,27.0,,230.0,2.0,497.0,,,4.0,11.0,38.0,2.0,742.0,1.0,0.0,30.0,12.0,3.0,11.0,0.0,917.0,56.0,13.0,9.0,12.0,8.0,0.0
2367576,4,2023-09-02 15:00:00,43,Man City,Home,394.0,23.0,1.0,3.0,2.0,,,265.0,4.0,1.0,2.0,1.0,3.0,36.0,656.0,1.0,2.0,20.0,6.0,8.0,2.0,,1.0,,,,,,,,,,,1.0,5.0,1.0,,,,,6.0,5.0,1.0,7.0,,148.0,49.0,1.0,,3.0,1.0,2.0,1.0,4.0,,1.0,4.0,4.0,1.0,1.0,7.0,2.0,32.0,48.0,1.0,10.0,8.0,,,62.0,12.0,11.0,3.0,,3.0,1.0,,175.0,3.0,1.0,2.0,2.0,1.0,,4.0,3.0,,1.0,8.0,,8.0,8.0,1.0,2.0,203.0,66.0,44.0,5.0,1.0,1.0,4.0,5.0,715.0,,,,68.0,78.0,22.0,,,,1.0,105.0,105.0,6.0,14.0,26.0,67.9,,,,,13.0,0.0,207.0,3.0,,3.0,,,,1.0,,,5.0,95.0,638.0,2.0,5.0,409.0,48.0,10.0,16.0,3.0,9.0,6.0,,136.0,,333.0,,1.0,4.0,3.0,54.0,1.0,733.0,1.0,0.0,7.0,17.0,4.0,21.0,2.0,875.0,22.0,9.0,12.0,4.0,10.0,0.0
2367586,5,2023-09-16 15:00:00,43,Man City,Away,211.0,33.0,2.0,5.0,4.0,,,447.0,2.0,,5.0,,6.0,25.0,653.0,,2.0,13.0,12.0,8.0,20.0,1.0,8.0,,,,1.0,,1.0,,,,,,20.0,,,,1.0,,7.0,5.0,1.0,18.0,11.0,130.0,48.0,7.0,6.0,2.0,4.0,6.0,9.0,4.0,,,11.0,15.0,4.0,,7.0,2.0,41.0,33.0,4.0,5.0,3.0,,,67.0,11.0,7.0,1.0,1.0,4.0,,1.0,141.0,3.0,,2.0,3.0,,,2.0,3.0,,,3.0,1.0,7.0,7.0,1.0,5.0,220.0,40.0,33.0,4.0,2.0,3.0,21.0,15.0,688.0,1.0,1.0,,76.0,92.0,35.0,,,,,96.0,96.0,4.0,22.0,17.0,68.4,1.0,,3.0,,16.0,0.0,213.0,1.0,1.0,2.0,,,,5.0,1.0,,5.0,222.0,638.0,6.0,24.0,218.0,41.0,5.0,14.0,7.0,25.0,19.0,,256.0,1.0,511.0,,,,6.0,33.0,,704.0,1.0,0.0,29.0,11.0,4.0,13.0,2.0,860.0,51.0,9.0,7.0,11.0,7.0,0.0
2367596,6,2023-09-23 15:00:00,43,Man City,Home,176.0,20.0,,1.0,1.0,,,334.0,4.0,1.0,3.0,3.0,11.0,29.0,509.0,1.0,2.0,12.0,7.0,7.0,3.0,,,,,,,1.0,2.0,,,,,,5.0,,,,,,2.0,5.0,5.0,4.0,3.0,110.0,49.0,2.0,1.0,1.0,,6.0,2.0,4.0,,,6.0,7.0,,,8.0,3.0,34.0,40.0,,23.0,13.0,,1.0,82.0,5.0,17.0,1.0,,5.0,,2.0,154.0,2.0,,2.0,2.0,,,8.0,2.0,3.0,,13.0,,6.0,6.0,2.0,3.0,143.0,64.0,39.0,6.0,1.0,1.0,4.0,4.0,538.0,4.0,2.0,,83.0,79.0,19.0,,,,,110.0,110.0,7.0,21.0,14.0,57.4,,,,1.0,11.0,0.0,163.0,2.0,1.0,3.0,,1.0,,1.0,1.0,,3.0,131.0,488.0,6.0,5.0,186.0,39.0,23.0,18.0,4.0,11.0,7.0,,161.0,2.0,395.0,3.0,1.0,9.0,13.0,53.0,,570.0,1.0,1.0,7.0,8.0,3.0,15.0,3.0,735.0,14.0,16.0,8.0,6.0,6.0,0.0
2367607,7,2023-09-30 15:00:00,43,Man City,Away,135.0,14.0,1.0,5.0,4.0,,1.0,396.0,3.0,,2.0,,5.0,13.0,526.0,,2.0,24.0,5.0,2.0,13.0,4.0,4.0,,1.0,,,,1.0,1.0,,,,,13.0,,,,,5.0,8.0,4.0,,12.0,11.0,104.0,39.0,,,,,5.0,10.0,9.0,,,6.0,7.0,5.0,,7.0,,38.0,47.0,,7.0,5.0,,,78.0,12.0,18.0,,,9.0,5.0,1.0,148.0,,,,,,,3.0,,,,5.0,,4.0,4.0,,2.0,186.0,38.0,31.0,,1.0,4.0,13.0,8.0,575.0,2.0,,1.0,117.0,69.0,45.0,,,,,112.0,112.0,8.0,16.0,13.0,68.1,,,,,19.0,0.0,159.0,,,,,1.0,,5.0,,,3.0,231.0,505.0,5.0,17.0,147.0,22.0,7.0,17.0,4.0,21.0,17.0,,282.0,,471.0,,,4.0,5.0,21.0,,597.0,1.0,0.0,23.0,15.0,4.0,25.0,5.0,773.0,46.0,12.0,12.0,6.0,6.0,0.0
2367608,8,2023-10-08 16:30:00,43,Man City,Away,277.0,13.0,1.0,1.0,,2.0,,175.0,4.0,,5.0,,9.0,19.0,451.0,,,11.0,5.0,8.0,3.0,1.0,2.0,,,,,,,,,,,,2.0,,,,,,5.0,6.0,6.0,3.0,1.0,104.0,48.0,2.0,2.0,,2.0,7.0,1.0,7.0,,,4.0,4.0,2.0,,10.0,,39.0,46.0,2.0,14.0,10.0,,,37.0,7.0,8.0,,,1.0,,,136.0,,,,,,,5.0,,,,10.0,,5.0,5.0,1.0,5.0,138.0,49.0,34.0,5.0,,2.0,2.0,1.0,504.0,3.0,,,20.0,39.0,21.0,,,,,113.0,113.0,3.0,23.0,17.0,51.0,,,,,21.0,0.0,143.0,1.0,,1.0,,1.0,,2.0,,,3.0,56.0,436.0,7.0,4.0,305.0,32.0,14.0,18.0,4.0,10.0,6.0,,85.0,3.0,226.0,1.0,,7.0,10.0,41.0,,521.0,1.0,0.0,4.0,22.0,1.0,13.0,3.0,669.0,16.0,12.0,8.0,4.0,12.0,0.0
2367623,9,2023-10-21 15:00:00,43,Man City,Home,254.0,23.0,,,,,,292.0,4.0,,2.0,,9.0,31.0,546.0,1.0,,13.0,6.0,6.0,6.0,,,1.0,,1.0,,,1.0,,,,,,9.0,,,,,,5.0,4.0,1.0,6.0,4.0,132.0,44.0,1.0,,1.0,1.0,11.0,,7.0,,,2.0,7.0,1.0,,5.0,,32.0,41.0,1.0,9.0,5.0,,,62.0,9.0,11.0,1.0,,1.0,,1.0,167.0,1.0,,1.0,1.0,,,4.0,2.0,1.0,,5.0,,10.0,10.0,,2.0,165.0,60.0,43.0,2.0,1.0,3.0,4.0,6.0,591.0,,1.0,,110.0,60.0,20.0,,,,,97.0,97.0,5.0,10.0,24.0,54.5,,,,,21.0,0.0,145.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,,,3.0,137.0,530.0,11.0,7.0,271.0,44.0,9.0,15.0,2.0,10.0,8.0,1.0,170.0,2.0,348.0,1.0,,3.0,10.0,53.0,2.0,609.0,2.0,1.0,10.0,14.0,,13.0,2.0,749.0,23.0,11.0,10.0,2.0,7.0,0.0
2367635,10,2023-10-29 15:30:00,43,Man City,Away,217.0,39.0,,2.0,2.0,,,327.0,3.0,,3.0,2.0,6.0,39.0,542.0,,1.0,10.0,7.0,11.0,12.0,,1.0,,,,,1.0,2.0,,,1.0,,1.0,17.0,1.0,,,,,2.0,6.0,1.0,12.0,9.0,110.0,48.0,6.0,4.0,3.0,2.0,7.0,5.0,4.0,,1.0,12.0,7.0,3.0,,10.0,2.0,30.0,43.0,2.0,9.0,6.0,,2.0,45.0,5.0,9.0,2.0,,6.0,1.0,2.0,162.0,2.0,,2.0,2.0,,,5.0,2.0,,,6.0,,12.0,12.0,1.0,3.0,162.0,67.0,50.0,7.0,1.0,4.0,10.0,10.0,586.0,1.0,,,78.0,103.0,39.0,,,,1.0,109.0,109.0,8.0,18.0,19.0,60.5,,,,,11.0,0.0,171.0,2.0,1.0,3.0,,,,6.0,,,2.0,183.0,526.0,7.0,14.0,230.0,53.0,9.0,16.0,8.0,19.0,11.0,,214.0,2.0,394.0,,,8.0,7.0,55.0,,605.0,1.0,0.0,21.0,12.0,3.0,12.0,1.0,771.0,42.0,13.0,12.0,12.0,9.0,0.0
