matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360472,1.0,2011-08-15 20:00:00,43,Man City,Home,137.0,12.0,1.0,4.0,3.0,1.0,,209.0,4.0,1.0,7.0,1.0,15.0,10.0,342.0,1.0,1.0,20.0,6.0,10.0,21.0,2.0,,1.0,,,1.0,1.0,,,,,,23.0,,,2.0,,,1.0,2.0,6.0,,,,57.0,65.0,4.0,2.0,3.0,2.0,6.0,12.0,,7.0,11.0,2.0,,12.0,2.0,48.0,45.0,2.0,9.0,3.0,,,53.0,10.0,2.0,3.0,,3.0,1.0,1.0,165.0,3.0,,2.0,3.0,,,5.0,,,4.0,3.0,,,,,9.0,2.0,14.0,10.0,,7.0,102.0,63.0,33.0,4.0,1.0,7.0,19.0,15.0,,,,2.0,4.0,,47.0,44.0,23.0,,,,,,144.0,135.0,3.0,24.0,29.0,42.4,2.0,,,0.0,,,,100.0,2.0,1.0,,,,1.0,9.0,,3.0,107.0,,26.0,156.0,23.0,18.0,22.0,4.0,18.0,14.0,1.0,144.0,7.0,286.0,3.0,1.0,17.0,17.0,25.0,4.0,424.0,2.0,0.0,30.0,19.0,8.0,24.0,0.0,630.0,,6.0,14.0,7.0,13.0,0.0
360481,2.0,2011-08-21 16:00:00,43,Man City,Away,165.0,21.0,1.0,7.0,7.0,,1.0,238.0,,1.0,5.0,4.0,19.0,23.0,396.0,2.0,2.0,19.0,9.0,10.0,14.0,,,,,,,,,,,,,14.0,,,,,,,5.0,2.0,,,,79.0,65.0,3.0,2.0,1.0,4.0,3.0,4.0,,8.0,15.0,4.0,,12.0,1.0,46.0,50.0,4.0,24.0,12.0,,,70.0,17.0,19.0,1.0,,2.0,1.0,,174.0,3.0,1.0,1.0,1.0,2.0,,3.0,,,1.0,2.0,,,,3.0,21.0,,21.0,18.0,1.0,5.0,111.0,83.0,47.0,7.0,2.0,8.0,9.0,7.0,,,,2.0,,,74.0,59.0,22.0,,,,,,163.0,147.0,1.0,25.0,28.0,56.5,,,1.0,0.0,,,,116.0,,1.0,,,1.0,,8.0,1.0,3.0,124.0,,17.0,183.0,29.0,40.0,18.0,3.0,22.0,20.0,,167.0,2.0,319.0,2.0,1.0,26.0,20.0,50.0,4.0,480.0,4.0,0.0,18.0,10.0,8.0,26.0,0.0,706.0,,15.0,11.0,8.0,9.0,0.0
360496,3.0,2011-08-28 13:30:00,43,Man City,Away,277.0,15.0,,5.0,5.0,2.0,,253.0,,2.0,7.0,5.0,27.0,28.0,525.0,1.0,1.0,16.0,20.0,8.0,15.0,1.0,,,,,,,,,,,,21.0,,,,,,1.0,8.0,13.0,,,,84.0,54.0,4.0,3.0,2.0,3.0,3.0,11.0,,5.0,11.0,4.0,,12.0,4.0,58.0,38.0,3.0,18.0,11.0,,,61.0,11.0,11.0,5.0,,1.0,,,186.0,5.0,,4.0,5.0,,,8.0,,,5.0,3.0,,,,2.0,14.0,,13.0,12.0,,7.0,165.0,75.0,40.0,10.0,,9.0,12.0,9.0,,,,10.0,2.0,,61.0,71.0,20.0,,,,,,131.0,125.0,5.0,25.0,15.0,58.5,,,1.0,0.0,,,,159.0,,4.0,,,,,10.0,,2.0,124.0,,21.0,296.0,24.0,24.0,13.0,3.0,18.0,15.0,,152.0,3.0,316.0,3.0,2.0,23.0,28.0,43.0,3.0,594.0,1.0,0.0,22.0,12.0,2.0,20.0,4.0,793.0,,8.0,7.0,5.0,8.0,0.0
360503,4.0,2011-09-10 15:00:00,43,Man City,Home,245.0,10.0,2.0,4.0,2.0,,,262.0,5.0,,7.0,1.0,17.0,17.0,503.0,,3.0,13.0,3.0,5.0,13.0,3.0,,1.0,,,,,,,,,,18.0,,1.0,1.0,,1.0,,7.0,4.0,,,,79.0,64.0,4.0,3.0,2.0,1.0,5.0,6.0,,8.0,10.0,1.0,,10.0,1.0,33.0,49.0,1.0,11.0,6.0,,,57.0,6.0,9.0,3.0,,3.0,,,197.0,3.0,,3.0,3.0,,1.0,7.0,,,3.0,2.0,,,,,10.0,2.0,17.0,12.0,1.0,8.0,133.0,76.0,55.0,3.0,,10.0,9.0,7.0,,,,4.0,1.0,,40.0,78.0,20.0,,,,,1.0,115.0,109.0,5.0,21.0,28.0,57.9,2.0,,,0.0,,,,153.0,3.0,,,,,1.0,14.0,2.0,3.0,125.0,,19.0,253.0,17.0,17.0,24.0,3.0,14.0,11.0,2.0,157.0,2.0,323.0,2.0,,8.0,17.0,27.0,2.0,562.0,,0.0,26.0,19.0,12.0,15.0,0.0,754.0,,14.0,16.0,8.0,15.0,0.0
360513,5.0,2011-09-18 15:00:00,43,Man City,Away,255.0,19.0,2.0,4.0,2.0,1.0,,294.0,2.0,,9.0,3.0,16.0,33.0,545.0,,2.0,17.0,5.0,11.0,11.0,2.0,,,,,,,1.0,,,,,15.0,,,,,,,5.0,10.0,,,,100.0,56.0,1.0,,1.0,2.0,6.0,2.0,,9.0,10.0,6.0,,13.0,2.0,36.0,44.0,2.0,16.0,10.0,,1.0,75.0,10.0,10.0,2.0,1.0,2.0,2.0,,204.0,2.0,,2.0,2.0,,,6.0,,,2.0,1.0,,,,1.0,16.0,,8.0,6.0,,9.0,147.0,98.0,68.0,6.0,,5.0,10.0,5.0,,,,5.0,1.0,1.0,81.0,82.0,23.0,,,,,,148.0,138.0,3.0,22.0,21.0,64.2,,,,0.0,,,,168.0,1.0,3.0,,,,,7.0,,3.0,139.0,,15.0,265.0,26.0,26.0,12.0,6.0,24.0,18.0,,184.0,6.0,378.0,1.0,,15.0,16.0,49.0,2.0,619.0,,0.0,18.0,18.0,6.0,21.0,1.0,809.0,,12.0,5.0,9.0,15.0,0.0
360522,6.0,2011-09-24 12:45:00,43,Man City,Home,231.0,10.0,1.0,5.0,4.0,,1.0,270.0,2.0,,9.0,4.0,18.0,41.0,496.0,,2.0,20.0,5.0,8.0,9.0,1.0,,,,,,,,,,,,15.0,,,,,1.0,,3.0,5.0,,,,64.0,53.0,1.0,,1.0,5.0,2.0,6.0,1.0,7.0,13.0,6.0,,17.0,,42.0,51.0,5.0,7.0,3.0,,,65.0,10.0,13.0,1.0,,1.0,1.0,,174.0,2.0,,2.0,2.0,,,5.0,,,2.0,1.0,,,,1.0,6.0,1.0,10.0,6.0,,9.0,160.0,90.0,63.0,5.0,1.0,6.0,6.0,7.0,,,,2.0,1.0,,84.0,83.0,23.0,,,,,,142.0,135.0,6.0,12.0,24.0,62.7,1.0,,2.0,0.0,,,,169.0,1.0,2.0,,,,,10.0,,3.0,121.0,,12.0,240.0,20.0,14.0,12.0,6.0,26.0,20.0,,163.0,3.0,353.0,1.0,1.0,14.0,18.0,53.0,2.0,567.0,,0.0,19.0,23.0,11.0,22.0,1.0,761.0,,13.0,7.0,7.0,21.0,0.0
360530,7.0,2011-10-01 15:00:00,43,Man City,Away,247.0,18.0,1.0,5.0,4.0,,,307.0,4.0,,15.0,,11.0,34.0,549.0,1.0,1.0,18.0,2.0,9.0,14.0,1.0,,1.0,,,,,,,,,,14.0,,,,,1.0,1.0,2.0,4.0,,,,95.0,57.0,1.0,1.0,,2.0,5.0,4.0,,5.0,13.0,6.0,1.0,12.0,,38.0,35.0,2.0,17.0,13.0,,,66.0,15.0,9.0,1.0,,3.0,1.0,,185.0,3.0,1.0,3.0,2.0,1.0,1.0,5.0,,,2.0,2.0,,,,1.0,21.0,1.0,2.0,2.0,,15.0,167.0,70.0,50.0,4.0,2.0,7.0,11.0,7.0,,,,,1.0,,107.0,102.0,15.0,,,,,,117.0,106.0,3.0,23.0,16.0,66.8,1.0,,1.0,0.0,,,,165.0,1.0,3.0,,,,1.0,7.0,,3.0,160.0,,18.0,257.0,29.0,28.0,9.0,2.0,22.0,20.0,2.0,196.0,,377.0,2.0,,11.0,13.0,48.0,,612.0,1.0,0.0,19.0,15.0,5.0,20.0,1.0,777.0,,3.0,2.0,5.0,13.0,0.0
360542,8.0,2011-10-15 15:00:00,43,Man City,Home,304.0,13.0,3.0,5.0,2.0,1.0,,285.0,1.0,1.0,5.0,3.0,22.0,27.0,584.0,,1.0,26.0,4.0,5.0,8.0,,,,,,,,,,,,,12.0,,,,,,,7.0,3.0,,,,92.0,60.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,12.0,,36.0,30.0,1.0,8.0,5.0,,1.0,67.0,11.0,7.0,1.0,,,,,188.0,4.0,1.0,2.0,3.0,1.0,,3.0,,,2.0,1.0,,,,,13.0,,9.0,7.0,1.0,5.0,181.0,72.0,57.0,1.0,2.0,4.0,8.0,8.0,,,,4.0,3.0,,78.0,80.0,14.0,,,,,,144.0,132.0,2.0,28.0,24.0,64.1,,,,0.0,,,,202.0,2.0,1.0,,,,,4.0,,3.0,112.0,,12.0,322.0,26.0,20.0,14.0,4.0,11.0,7.0,,154.0,8.0,352.0,1.0,1.0,8.0,24.0,42.0,2.0,663.0,2.0,0.0,14.0,12.0,9.0,31.0,1.0,831.0,,15.0,6.0,5.0,10.0,0.0
360555,9.0,2011-10-23 13:30:00,43,Man City,Away,130.0,15.0,2.0,5.0,3.0,1.0,,268.0,4.0,,1.0,3.0,18.0,28.0,393.0,1.0,5.0,13.0,7.0,6.0,12.0,1.0,,3.0,,,,2.0,,1.0,,,,18.0,,,,,,,5.0,6.0,,,,73.0,51.0,7.0,3.0,4.0,5.0,7.0,9.0,,4.0,12.0,1.0,,8.0,,43.0,50.0,4.0,23.0,9.0,,,54.0,12.0,15.0,5.0,,7.0,1.0,2.0,150.0,6.0,,6.0,5.0,1.0,2.0,8.0,,,5.0,,,,,,18.0,,18.0,15.0,1.0,1.0,118.0,75.0,46.0,7.0,1.0,7.0,12.0,7.0,,,,4.0,1.0,,74.0,82.0,15.0,,,,,,119.0,105.0,4.0,21.0,19.0,51.0,,,1.0,0.0,,,,114.0,,3.0,,,,3.0,8.0,2.0,3.0,132.0,,19.0,143.0,21.0,36.0,17.0,3.0,17.0,14.0,5.0,166.0,5.0,329.0,,,17.0,20.0,48.0,1.0,455.0,1.0,0.0,22.0,19.0,6.0,14.0,3.0,658.0,,9.0,10.0,4.0,14.0,0.0
360561,10.0,2011-10-29 15:00:00,43,Man City,Home,164.0,8.0,1.0,3.0,2.0,,,199.0,6.0,,8.0,2.0,8.0,29.0,360.0,,2.0,18.0,4.0,14.0,10.0,1.0,,2.0,,,,,,,,,1.0,17.0,,,,,,,5.0,8.0,,,,54.0,54.0,2.0,1.0,2.0,2.0,2.0,3.0,,5.0,10.0,5.0,1.0,7.0,1.0,37.0,39.0,2.0,11.0,6.0,,,59.0,18.0,5.0,1.0,,2.0,1.0,,174.0,2.0,,,2.0,,,15.0,,,3.0,,,,,1.0,10.0,,17.0,12.0,,8.0,107.0,89.0,48.0,4.0,1.0,7.0,6.0,7.0,,,,2.0,4.0,,60.0,65.0,14.0,1.0,1.0,1.0,,,152.0,146.0,5.0,17.0,22.0,50.5,,,,0.0,,,,110.0,1.0,2.0,,,1.0,2.0,10.0,1.0,3.0,92.0,,13.0,179.0,19.0,17.0,12.0,4.0,20.0,16.0,2.0,133.0,6.0,286.0,,,18.0,10.0,47.0,1.0,445.0,,1.0,19.0,14.0,8.0,23.0,2.0,627.0,,12.0,6.0,5.0,11.0,0.0
