matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694905,1,2013-08-19 20:00:00,43,Man City,Home,288.0,24.0,3.0,7.0,4.0,1.0,,325.0,3.0,1.0,6.0,2.0,35.0,34.0,606.0,1.0,4.0,11.0,8.0,14.0,11.0,3.0,,,1.0,,,1.0,,,1.0,16.0,,,,,,8.0,1.0,5.0,,,99.0,61.0,6.0,5.0,2.0,,13.0,3.0,11.0,2.0,8.0,14.0,2.0,,12.0,1.0,42.0,57.0,,17.0,10.0,,,78.0,9.0,7.0,1.0,,3.0,2.0,1.0,203.0,2.0,,,2.0,,,4.0,3.0,,,10.0,,11.0,11.0,,6.0,177.0,83.0,70.0,1.0,3.0,6.0,10.0,11.0,655.0,3.0,2.0,,63.0,90.0,22.0,,,,,110.0,110.0,6.0,18.0,31.0,63.5,,,,13.0,0.0,186.0,,1.0,1.0,2.0,,6.0,,3.0,115.0,598.0,5.0,16.0,299.0,35.0,17.0,10.0,7.0,25.0,18.0,,153.0,4.0,391.0,,1.0,7.0,35.0,45.0,3.0,665.0,2.0,0.0,20.0,29.0,8.0,12.0,2.0,855.0,,12.0,8.0,8.0,21.0,0.0
694912,2,2013-08-25 16:00:00,43,Man City,Away,191.0,18.0,3.0,9.0,6.0,3.0,,379.0,3.0,,7.0,1.0,28.0,39.0,561.0,,,18.0,11.0,21.0,11.0,2.0,,,,,,,,,,12.0,,,,,,3.0,6.0,3.0,,,68.0,45.0,,,,3.0,12.0,4.0,7.0,,8.0,19.0,7.0,,13.0,2.0,42.0,38.0,3.0,16.0,11.0,1.0,1.0,84.0,11.0,2.0,2.0,,,,,216.0,2.0,,1.0,2.0,,,3.0,2.0,1.0,2.0,12.0,,4.0,4.0,1.0,7.0,165.0,76.0,59.0,3.0,,6.0,9.0,5.0,626.0,1.0,1.0,,117.0,81.0,27.0,,,,,133.0,132.0,2.0,15.0,21.0,70.0,,,1.0,12.0,0.0,188.0,2.0,1.0,3.0,,,7.0,1.0,3.0,172.0,550.0,7.0,15.0,203.0,33.0,17.0,6.0,6.0,32.0,26.0,,221.0,5.0,466.0,1.0,,4.0,29.0,47.0,2.0,637.0,,0.0,16.0,12.0,5.0,18.0,0.0,804.0,,14.0,3.0,8.0,9.0,0.0
694925,3,2013-08-31 12:45:00,43,Man City,Home,197.0,15.0,5.0,12.0,7.0,2.0,1.0,242.0,1.0,,4.0,6.0,23.0,35.0,427.0,,1.0,21.0,19.0,19.0,6.0,4.0,,1.0,1.0,,,1.0,,,,6.0,,,,,1.0,6.0,3.0,4.0,,,63.0,58.0,2.0,1.0,1.0,,20.0,1.0,7.0,,7.0,8.0,4.0,,17.0,,57.0,55.0,,27.0,19.0,,1.0,70.0,15.0,14.0,1.0,,6.0,4.0,1.0,185.0,1.0,,1.0,1.0,,,8.0,1.0,1.0,,19.0,,16.0,16.0,,4.0,151.0,85.0,40.0,4.0,1.0,5.0,6.0,6.0,516.0,1.0,,,81.0,75.0,20.0,,,,,151.0,151.0,3.0,22.0,28.0,58.2,,,2.0,20.0,0.0,130.0,2.0,,2.0,,1.0,5.0,,3.0,90.0,415.0,10.0,11.0,212.0,33.0,27.0,6.0,6.0,22.0,16.0,2.0,141.0,6.0,339.0,1.0,,24.0,23.0,57.0,1.0,529.0,,0.0,12.0,18.0,1.0,24.0,2.0,725.0,,9.0,4.0,7.0,11.0,0.0
694937,4,2013-09-14 15:00:00,43,Man City,Away,219.0,16.0,1.0,2.0,1.0,2.0,1.0,218.0,5.0,4.0,2.0,4.0,22.0,25.0,435.0,,,23.0,34.0,13.0,6.0,1.0,,,,1.0,,1.0,,,,8.0,,,,,1.0,3.0,5.0,6.0,,,94.0,58.0,1.0,1.0,,3.0,14.0,,9.0,,4.0,12.0,4.0,,16.0,3.0,73.0,54.0,3.0,35.0,17.0,,,80.0,11.0,13.0,,,2.0,1.0,1.0,174.0,,,,,,,8.0,,,,17.0,,13.0,13.0,,2.0,110.0,87.0,54.0,2.0,,5.0,2.0,3.0,493.0,1.0,1.0,,48.0,84.0,13.0,,,,,136.0,136.0,4.0,22.0,24.0,57.9,,,,14.0,0.0,131.0,1.0,2.0,4.0,,,7.0,,2.0,104.0,423.0,6.0,7.0,235.0,29.0,35.0,14.0,4.0,21.0,17.0,,148.0,5.0,295.0,,4.0,21.0,23.0,50.0,,509.0,,0.0,10.0,21.0,,25.0,1.0,722.0,,14.0,7.0,4.0,14.0,0.0
694945,5,2013-09-22 16:00:00,43,Man City,Home,98.0,11.0,1.0,6.0,5.0,1.0,,177.0,2.0,1.0,3.0,3.0,9.0,19.0,269.0,,1.0,12.0,13.0,11.0,9.0,1.0,,1.0,,,,,,,,14.0,,,,,1.0,4.0,8.0,6.0,,,55.0,45.0,2.0,,2.0,2.0,23.0,7.0,10.0,,8.0,12.0,2.0,,11.0,1.0,43.0,46.0,2.0,28.0,15.0,,,50.0,8.0,12.0,2.0,,2.0,1.0,,120.0,4.0,,3.0,3.0,1.0,,8.0,3.0,2.0,,15.0,,13.0,13.0,2.0,3.0,91.0,72.0,39.0,4.0,2.0,4.0,10.0,5.0,315.0,2.0,,,36.0,53.0,13.0,,,,,111.0,111.0,3.0,19.0,19.0,41.6,,,1.0,23.0,0.0,68.0,2.0,,2.0,,1.0,6.0,,3.0,87.0,255.0,12.0,14.0,109.0,23.0,28.0,6.0,7.0,22.0,15.0,1.0,118.0,2.0,247.0,2.0,1.0,12.0,9.0,36.0,1.0,334.0,1.0,0.0,18.0,22.0,5.0,14.0,1.0,524.0,,7.0,3.0,8.0,18.0,0.0
694951,6,2013-09-28 15:00:00,43,Man City,Away,206.0,18.0,3.0,9.0,6.0,4.0,1.0,290.0,2.0,1.0,4.0,,31.0,40.0,487.0,1.0,1.0,28.0,19.0,21.0,10.0,2.0,,1.0,,,,,,,,12.0,,,,,1.0,3.0,2.0,6.0,,,75.0,50.0,,,,1.0,10.0,6.0,7.0,1.0,13.0,21.0,6.0,,14.0,,51.0,60.0,1.0,19.0,15.0,1.0,,68.0,9.0,13.0,1.0,1.0,3.0,2.0,,191.0,1.0,1.0,1.0,,1.0,,3.0,,,,15.0,,6.0,6.0,,4.0,148.0,63.0,52.0,2.0,1.0,6.0,7.0,7.0,536.0,1.0,3.0,,104.0,79.0,21.0,,,,,135.0,135.0,3.0,24.0,19.0,66.7,,,,10.0,0.0,140.0,1.0,,1.0,,1.0,8.0,,2.0,143.0,469.0,1.0,13.0,221.0,28.0,19.0,18.0,10.0,39.0,29.0,1.0,180.0,8.0,372.0,,1.0,6.0,31.0,49.0,5.0,554.0,2.0,0.0,21.0,14.0,2.0,29.0,1.0,757.0,,9.0,14.0,13.0,10.0,0.0
694965,7,2013-10-05 12:45:00,43,Man City,Home,167.0,21.0,2.0,7.0,5.0,2.0,,254.0,4.0,3.0,2.0,4.0,10.0,31.0,414.0,,3.0,11.0,10.0,12.0,7.0,1.0,,,,1.0,,1.0,,,,8.0,,1.0,,,1.0,8.0,4.0,2.0,,,74.0,60.0,4.0,4.0,1.0,2.0,10.0,1.0,16.0,,8.0,16.0,2.0,,10.0,2.0,63.0,50.0,2.0,14.0,10.0,1.0,,63.0,15.0,10.0,2.0,,4.0,,1.0,190.0,2.0,,2.0,2.0,,,6.0,2.0,1.0,,10.0,2.0,10.0,10.0,,2.0,110.0,76.0,48.0,1.0,,4.0,6.0,6.0,471.0,1.0,2.0,,65.0,80.0,13.0,,,,1.0,138.0,138.0,1.0,28.0,22.0,53.9,,,,10.0,0.0,117.0,2.0,1.0,3.0,1.0,,5.0,,3.0,163.0,400.0,6.0,11.0,185.0,37.0,14.0,21.0,6.0,24.0,18.0,,201.0,3.0,330.0,1.0,3.0,17.0,10.0,51.0,3.0,491.0,,0.0,12.0,20.0,5.0,13.0,5.0,671.0,,13.0,9.0,8.0,19.0,0.0
694979,8,2013-10-19 17:30:00,43,Man City,Away,241.0,16.0,2.0,4.0,2.0,2.0,1.0,291.0,6.0,,6.0,5.0,21.0,22.0,528.0,1.0,4.0,12.0,10.0,24.0,9.0,2.0,,,,,,,,,1.0,13.0,,,1.0,,1.0,6.0,6.0,5.0,,,110.0,64.0,2.0,1.0,1.0,1.0,7.0,4.0,8.0,,5.0,7.0,,,10.0,1.0,48.0,58.0,1.0,37.0,29.0,,1.0,66.0,12.0,6.0,2.0,,1.0,1.0,,208.0,3.0,1.0,3.0,2.0,1.0,,11.0,2.0,1.0,,29.0,1.0,14.0,14.0,,7.0,149.0,92.0,66.0,5.0,1.0,2.0,12.0,9.0,594.0,3.0,1.0,,65.0,46.0,20.0,,,,,125.0,125.0,2.0,30.0,23.0,62.1,1.0,,1.0,7.0,0.0,137.0,1.0,,1.0,,,3.0,,3.0,114.0,520.0,6.0,14.0,264.0,23.0,37.0,15.0,4.0,12.0,8.0,,150.0,9.0,352.0,1.0,,20.0,26.0,39.0,1.0,604.0,1.0,0.0,16.0,22.0,6.0,15.0,2.0,804.0,,12.0,7.0,5.0,21.0,0.0
694982,9,2013-10-27 16:00:00,43,Man City,Away,151.0,14.0,2.0,4.0,2.0,3.0,1.0,257.0,3.0,,7.0,3.0,24.0,18.0,404.0,,1.0,10.0,11.0,15.0,10.0,1.0,,2.0,,,,,,,,12.0,,,,,2.0,1.0,8.0,4.0,,,70.0,49.0,,,,1.0,10.0,3.0,16.0,,6.0,7.0,5.0,,19.0,,67.0,57.0,1.0,20.0,10.0,2.0,,73.0,15.0,11.0,1.0,,1.0,1.0,,204.0,1.0,,1.0,1.0,,,13.0,1.0,1.0,,10.0,,11.0,11.0,2.0,7.0,101.0,78.0,51.0,3.0,,6.0,6.0,6.0,462.0,1.0,,,41.0,74.0,26.0,,,,,138.0,138.0,1.0,22.0,19.0,54.5,,,,10.0,0.0,105.0,1.0,1.0,2.0,,2.0,6.0,,3.0,139.0,393.0,4.0,12.0,162.0,31.0,20.0,16.0,5.0,18.0,13.0,2.0,190.0,7.0,336.0,1.0,1.0,18.0,24.0,39.0,2.0,480.0,3.0,0.0,15.0,22.0,2.0,13.0,3.0,670.0,,7.0,9.0,6.0,14.0,0.0
694995,10,2013-11-02 15:00:00,43,Man City,Home,285.0,23.0,3.0,6.0,3.0,2.0,,432.0,2.0,2.0,7.0,1.0,50.0,44.0,711.0,1.0,1.0,20.0,5.0,16.0,13.0,3.0,,,1.0,,,2.0,,,,20.0,,,,1.0,1.0,1.0,1.0,6.0,,,129.0,52.0,2.0,2.0,2.0,,9.0,11.0,9.0,,10.0,12.0,4.0,,8.0,1.0,32.0,52.0,,16.0,12.0,,,81.0,6.0,9.0,3.0,,3.0,,2.0,223.0,3.0,,3.0,3.0,,,4.0,4.0,,1.0,12.0,1.0,15.0,15.0,,7.0,202.0,70.0,59.0,3.0,2.0,6.0,13.0,9.0,758.0,3.0,2.0,,120.0,106.0,16.0,,,,,102.0,102.0,5.0,20.0,20.0,68.3,1.0,,1.0,9.0,0.0,215.0,,1.0,1.0,,,7.0,1.0,3.0,196.0,700.0,3.0,19.0,298.0,41.0,16.0,22.0,7.0,23.0,16.0,,235.0,3.0,494.0,,2.0,4.0,50.0,55.0,1.0,769.0,2.0,0.0,27.0,12.0,2.0,20.0,1.0,953.0,,8.0,16.0,10.0,11.0,0.0
