matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918894,1,2017-08-12 17:30:00,43,Man City,Away,233.0,21.0,1.0,4.0,3.0,,,462.0,3.0,1.0,7.0,2.0,35.0,34.0,691.0,1.0,2.0,16.0,13.0,13.0,7.0,1.0,,,,,,1.0,2.0,,,,,1.0,11.0,,,,,1.0,,,5.0,4.0,2.0,6.0,8.0,128.0,48.0,3.0,4.0,1.0,,16.0,5.0,7.0,,2.0,10.0,13.0,7.0,,4.0,,38.0,35.0,,8.0,3.0,,1.0,91.0,9.0,6.0,1.0,,3.0,1.0,2.0,210.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,3.0,1.0,9.0,9.0,,7.0,221.0,62.0,50.0,3.0,,3.0,6.0,4.0,750.0,2.0,1.0,,89.0,124.0,51.0,,,,,127.0,127.0,5.0,14.0,22.0,78.2,1.0,,,,16.0,0.0,209.0,2.0,,2.0,,,,5.0,,3.0,226.0,675.0,7.0,10.0,247.0,37.0,8.0,12.0,6.0,27.0,21.0,,279.0,3.0,548.0,2.0,1.0,10.0,37.0,52.0,1.0,768.0,1.0,0.0,14.0,10.0,3.0,17.0,2.0,918.0,28.0,14.0,6.0,10.0,6.0,0.0
918908,2,2017-08-21 20:00:00,43,Man City,Home,189.0,16.0,2.0,6.0,4.0,1.0,1.0,278.0,5.0,2.0,3.0,5.0,10.0,34.0,461.0,,,24.0,12.0,22.0,12.0,3.0,,,,,,,1.0,,,,,,13.0,,,,,1.0,,2.0,3.0,4.0,3.0,10.0,9.0,71.0,55.0,1.0,1.0,,2.0,18.0,4.0,3.0,,1.0,7.0,12.0,4.0,,12.0,,41.0,55.0,2.0,6.0,3.0,1.0,,63.0,7.0,8.0,,2.0,4.0,2.0,1.0,195.0,,,,,,,6.0,1.0,1.0,,3.0,1.0,10.0,10.0,,5.0,136.0,79.0,50.0,1.0,,8.0,7.0,6.0,541.0,,,,70.0,68.0,40.0,,,,,162.0,162.0,2.0,21.0,25.0,65.4,1.0,,1.0,1.0,18.0,0.0,158.0,1.0,,1.0,1.0,,,9.0,,3.0,140.0,444.0,11.0,15.0,209.0,32.0,6.0,20.0,6.0,24.0,18.0,,188.0,4.0,375.0,1.0,2.0,16.0,12.0,61.0,,560.0,,1.0,19.0,12.0,1.0,29.0,1.0,745.0,37.0,17.0,13.0,7.0,8.0,0.0
918913,3,2017-08-26 12:30:00,43,Man City,Away,210.0,22.0,3.0,6.0,3.0,2.0,,320.0,,,6.0,4.0,28.0,33.0,524.0,,1.0,33.0,13.0,23.0,8.0,3.0,,,,1.0,,,1.0,,,,,,14.0,,,,,1.0,,,10.0,5.0,4.0,13.0,6.0,87.0,64.0,2.0,1.0,1.0,1.0,24.0,4.0,10.0,,1.0,5.0,17.0,5.0,,15.0,2.0,57.0,62.0,1.0,35.0,21.0,,,73.0,14.0,13.0,2.0,,5.0,1.0,1.0,211.0,2.0,,2.0,2.0,,,1.0,2.0,2.0,,21.0,1.0,12.0,12.0,,6.0,151.0,72.0,56.0,2.0,,4.0,9.0,8.0,588.0,3.0,3.0,,84.0,86.0,42.0,,,,,145.0,145.0,7.0,23.0,27.0,70.2,1.0,,3.0,,24.0,0.0,155.0,1.0,1.0,2.0,1.0,,,7.0,1.0,3.0,163.0,511.0,6.0,13.0,226.0,35.0,35.0,18.0,4.0,27.0,23.0,,207.0,5.0,405.0,2.0,,10.0,29.0,48.0,3.0,604.0,1.0,1.0,19.0,13.0,2.0,35.0,4.0,849.0,40.0,16.0,13.0,5.0,8.0,0.0
918928,4,2017-09-09 12:30:00,43,Man City,Home,374.0,12.0,2.0,7.0,5.0,1.0,1.0,291.0,2.0,3.0,6.0,1.0,21.0,24.0,658.0,1.0,2.0,18.0,4.0,9.0,4.0,1.0,,,,,,,,,,,,1.0,11.0,,,,,,,1.0,6.0,2.0,5.0,10.0,3.0,104.0,61.0,5.0,2.0,4.0,1.0,10.0,,10.0,,,8.0,12.0,1.0,,7.0,2.0,39.0,36.0,1.0,14.0,9.0,,,58.0,10.0,9.0,3.0,,3.0,3.0,,207.0,5.0,,4.0,5.0,,,3.0,5.0,,,9.0,,12.0,12.0,2.0,6.0,207.0,92.0,75.0,3.0,,2.0,8.0,10.0,711.0,2.0,,,104.0,88.0,33.0,,,,,118.0,118.0,9.0,18.0,25.0,66.1,,,,,10.0,0.0,212.0,2.0,1.0,3.0,,,,3.0,,3.0,96.0,641.0,8.0,10.0,390.0,23.0,14.0,12.0,3.0,19.0,16.0,,137.0,5.0,359.0,,3.0,9.0,21.0,41.0,5.0,730.0,3.0,0.0,13.0,14.0,6.0,21.0,2.0,892.0,26.0,11.0,4.0,8.0,10.0,0.0
918941,5,2017-09-16 15:00:00,43,Man City,Away,288.0,12.0,2.0,7.0,5.0,,1.0,295.0,3.0,1.0,6.0,,20.0,30.0,576.0,,1.0,13.0,12.0,14.0,15.0,2.0,,1.0,,,,,,,,,,,20.0,1.0,,,,,,2.0,3.0,5.0,2.0,18.0,10.0,122.0,55.0,3.0,,4.0,1.0,18.0,8.0,11.0,,,11.0,20.0,2.0,1.0,3.0,,35.0,54.0,1.0,24.0,15.0,,,58.0,6.0,8.0,5.0,1.0,4.0,1.0,,198.0,5.0,1.0,4.0,3.0,2.0,,5.0,3.0,2.0,,15.0,1.0,10.0,10.0,1.0,6.0,159.0,55.0,47.0,3.0,,8.0,14.0,10.0,615.0,1.0,1.0,,63.0,106.0,32.0,,,,1.0,112.0,112.0,8.0,20.0,21.0,67.4,,,,1.0,18.0,0.0,158.0,1.0,,1.0,,1.0,1.0,10.0,,3.0,167.0,556.0,9.0,22.0,303.0,15.0,24.0,17.0,3.0,26.0,23.0,1.0,197.0,2.0,360.0,2.0,1.0,5.0,23.0,41.0,,637.0,,0.0,28.0,19.0,3.0,15.0,0.0,840.0,43.0,21.0,13.0,11.0,13.0,0.0
918948,6,2017-09-23 15:00:00,43,Man City,Home,230.0,27.0,3.0,7.0,4.0,,,433.0,4.0,1.0,8.0,1.0,15.0,24.0,656.0,2.0,1.0,21.0,10.0,10.0,11.0,2.0,,,,,,,,,,,,1.0,20.0,,,,,,,,4.0,2.0,3.0,21.0,4.0,100.0,68.0,8.0,6.0,4.0,4.0,19.0,9.0,14.0,,,8.0,14.0,3.0,,12.0,,46.0,35.0,4.0,6.0,3.0,,,85.0,6.0,6.0,4.0,,2.0,1.0,,176.0,5.0,,4.0,5.0,,,5.0,5.0,,,3.0,,11.0,11.0,2.0,8.0,230.0,53.0,44.0,2.0,,5.0,13.0,9.0,709.0,3.0,2.0,,105.0,99.0,46.0,,,,,119.0,119.0,7.0,17.0,35.0,71.9,,,,1.0,19.0,0.0,218.0,,,,,1.0,,7.0,1.0,3.0,223.0,642.0,7.0,18.0,239.0,38.0,6.0,18.0,6.0,24.0,18.0,,267.0,2.0,509.0,,1.0,3.0,18.0,34.0,,724.0,5.0,0.0,25.0,6.0,2.0,21.0,3.0,911.0,58.0,16.0,14.0,8.0,3.0,0.0
918955,7,2017-09-30 17:30:00,43,Man City,Away,283.0,10.0,5.0,7.0,2.0,3.0,,302.0,1.0,2.0,4.0,4.0,24.0,29.0,578.0,,,16.0,7.0,18.0,9.0,4.0,,,,,,1.0,1.0,,,,,,10.0,,,,,,,,10.0,4.0,,12.0,5.0,99.0,66.0,1.0,1.0,,1.0,21.0,5.0,10.0,,,8.0,11.0,1.0,,12.0,2.0,49.0,52.0,1.0,20.0,11.0,,,61.0,13.0,8.0,,,3.0,1.0,1.0,194.0,1.0,,,1.0,,,3.0,1.0,1.0,,11.0,,11.0,11.0,,4.0,188.0,74.0,56.0,4.0,1.0,5.0,9.0,6.0,633.0,,2.0,,100.0,82.0,36.0,,,,,123.0,123.0,7.0,25.0,29.0,61.9,,,,,21.0,0.0,172.0,2.0,,2.0,,,,6.0,,3.0,132.0,560.0,13.0,14.0,298.0,20.0,20.0,15.0,7.0,20.0,13.0,,178.0,4.0,375.0,1.0,2.0,14.0,26.0,49.0,,653.0,,0.0,17.0,19.0,5.0,19.0,2.0,836.0,36.0,11.0,8.0,8.0,17.0,0.0
918968,8,2017-10-14 15:00:00,43,Man City,Home,366.0,21.0,1.0,3.0,2.0,2.0,,451.0,2.0,1.0,5.0,,41.0,28.0,814.0,1.0,2.0,18.0,7.0,18.0,8.0,1.0,,1.0,,2.0,,,2.0,1.0,,,,,15.0,,,,,,,,4.0,4.0,2.0,12.0,8.0,131.0,51.0,6.0,1.0,6.0,,13.0,,6.0,,,5.0,10.0,3.0,,9.0,,30.0,43.0,,6.0,4.0,,,72.0,5.0,8.0,4.0,,2.0,,2.0,235.0,7.0,,6.0,6.0,1.0,1.0,2.0,6.0,,,4.0,,10.0,10.0,,5.0,266.0,97.0,83.0,,2.0,5.0,11.0,11.0,876.0,1.0,2.0,1.0,114.0,75.0,36.0,,,,,115.0,115.0,1.0,18.0,27.0,79.3,,,,,13.0,0.0,260.0,,,,,,1.0,9.0,,3.0,186.0,798.0,2.0,16.0,376.0,35.0,6.0,8.0,1.0,14.0,13.0,2.0,232.0,4.0,530.0,,1.0,2.0,44.0,42.0,2.0,892.0,3.0,0.0,20.0,12.0,3.0,18.0,0.0,1031.0,51.0,10.0,5.0,5.0,11.0,0.0
918976,9,2017-10-21 15:00:00,43,Man City,Home,388.0,18.0,2.0,3.0,2.0,2.0,,338.0,1.0,1.0,1.0,4.0,20.0,25.0,723.0,,,26.0,6.0,13.0,6.0,1.0,,,,,,,,,,,,1.0,12.0,1.0,,,,,,,6.0,1.0,5.0,12.0,3.0,145.0,55.0,4.0,5.0,2.0,2.0,10.0,1.0,6.0,,,4.0,15.0,,1.0,9.0,,35.0,44.0,2.0,17.0,9.0,,1.0,54.0,10.0,6.0,2.0,,1.0,,,234.0,2.0,1.0,2.0,1.0,1.0,,4.0,1.0,,1.0,9.0,,5.0,5.0,1.0,1.0,219.0,75.0,59.0,5.0,,2.0,7.0,10.0,789.0,2.0,,,81.0,103.0,32.0,,,,1.0,123.0,123.0,4.0,27.0,22.0,77.4,,,,1.0,10.0,0.0,205.0,,,,,,,4.0,,3.0,153.0,712.0,1.0,9.0,412.0,25.0,17.0,22.0,3.0,17.0,15.0,,191.0,2.0,408.0,,1.0,12.0,22.0,43.0,1.0,803.0,,0.0,15.0,9.0,,26.0,2.0,964.0,38.0,14.0,17.0,4.0,5.0,0.0
918992,10,2017-10-28 15:00:00,43,Man City,Away,316.0,26.0,,1.0,1.0,2.0,1.0,528.0,,1.0,4.0,1.0,31.0,35.0,843.0,,2.0,13.0,12.0,17.0,8.0,,,,,1.0,,,2.0,,,,,1.0,13.0,,,,,,,,4.0,5.0,2.0,7.0,8.0,157.0,68.0,4.0,4.0,1.0,1.0,22.0,2.0,12.0,,,2.0,4.0,3.0,,16.0,,51.0,58.0,1.0,21.0,14.0,1.0,1.0,83.0,7.0,10.0,1.0,,4.0,1.0,2.0,255.0,3.0,,1.0,3.0,,,3.0,3.0,,,14.0,,10.0,10.0,,4.0,251.0,93.0,72.0,1.0,1.0,6.0,5.0,5.0,909.0,2.0,1.0,,120.0,154.0,41.0,,,,,142.0,142.0,7.0,22.0,33.0,78.3,,,,1.0,22.0,0.0,266.0,2.0,,2.0,,,,8.0,,2.0,270.0,827.0,10.0,12.0,334.0,41.0,21.0,20.0,2.0,10.0,8.0,,317.0,5.0,605.0,,1.0,8.0,33.0,56.0,1.0,929.0,,0.0,15.0,16.0,2.0,15.0,3.0,1116.0,29.0,22.0,15.0,2.0,11.0,0.0
