matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128290,1.0,2021-01-20 18:00:00,43,Man City,Home,238.0,27.0,3.0,5.0,2.0,2.0,,320.0,1.0,2.0,3.0,,6.0,26.0,553.0,2.0,,13.0,11.0,21.0,20.0,1.0,5.0,1.0,,,,,,,,,,,22.0,1.0,,,1.0,,,,5.0,6.0,5.0,20.0,8.0,,95.0,53.0,1.0,3.0,1.0,,7.0,12.0,10.0,,16.0,14.0,3.0,,3.0,3.0,45.0,55.0,,11.0,6.0,,,25.0,54.0,10.0,8.0,1.0,,2.0,1.0,,162.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,6.0,1.0,11.0,11.0,5.0,,3.0,184.0,58.0,43.0,2.0,1.0,6.0,16.0,9.0,613.0,,,3.0,,,100.0,67.0,51.0,,,,,1.0,124.0,124.0,4.0,21.0,25.0,69.1,1.0,,,,7.0,0.0,,,,187.0,,4.0,4.0,,1.0,7.0,2.0,,3.0,16.0,196.0,540.0,3.0,22.0,255.0,37.0,11.0,23.0,11.0,29.0,18.0,1.0,240.0,2.0,402.0,,2.0,7.0,6.0,40.0,3.0,628.0,4.0,0.0,28.0,14.0,,14.0,0.0,810.0,70.0,7.0,,12.0,16.0,10.0,0.0
2128305,2.0,2020-09-21 20:15:00,43,Man City,Away,320.0,17.0,,,,1.0,,282.0,5.0,,5.0,1.0,7.0,30.0,602.0,,1.0,19.0,11.0,13.0,8.0,,1.0,1.0,,,,2.0,2.0,,1.0,,1.0,,10.0,1.0,,,,,,,5.0,6.0,4.0,8.0,6.0,,113.0,62.0,2.0,1.0,2.0,3.0,17.0,2.0,12.0,,6.0,2.0,3.0,,16.0,,55.0,54.0,3.0,10.0,7.0,,,12.0,63.0,8.0,7.0,1.0,,4.0,,2.0,190.0,2.0,,1.0,2.0,,,8.0,,,2.0,1.0,,,,1.0,7.0,,4.0,4.0,,,5.0,182.0,79.0,51.0,4.0,2.0,2.0,8.0,9.0,673.0,,,4.0,2.0,,81.0,87.0,22.0,,,,,1.0,140.0,140.0,12.0,12.0,33.0,65.2,,,,,17.0,0.0,,,,207.0,,,,,1.0,3.0,,,1.0,5.0,116.0,587.0,6.0,10.0,333.0,35.0,10.0,21.0,3.0,8.0,5.0,1.0,163.0,2.0,367.0,1.0,,10.0,7.0,57.0,3.0,692.0,,0.0,14.0,22.0,1.0,20.0,3.0,861.0,24.0,11.0,,12.0,6.0,9.0,0.0
2128311,3.0,2020-09-27 16:30:00,43,Man City,Home,171.0,22.0,1.0,3.0,2.0,,,446.0,2.0,3.0,4.0,1.0,10.0,33.0,614.0,,,22.0,15.0,10.0,7.0,1.0,2.0,,,,,,1.0,,,,,,12.0,,,,1.0,,,1.0,6.0,4.0,3.0,6.0,10.0,,85.0,48.0,2.0,1.0,1.0,1.0,13.0,4.0,6.0,,3.0,16.0,8.0,1.0,14.0,1.0,56.0,37.0,1.0,7.0,2.0,,,16.0,84.0,13.0,8.0,,,3.0,,1.0,131.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,2.0,1.0,8.0,8.0,,,4.0,229.0,47.0,40.0,4.0,1.0,4.0,5.0,5.0,663.0,,,,,,95.0,125.0,31.0,3.0,3.0,3.0,,,129.0,129.0,7.0,14.0,23.0,71.7,1.0,3.0,,,13.0,0.0,,,,235.0,,2.0,2.0,1.0,,7.0,,,2.0,9.0,190.0,597.0,3.0,9.0,179.0,39.0,7.0,16.0,3.0,27.0,24.0,,233.0,,528.0,,3.0,7.0,10.0,48.0,2.0,680.0,,0.0,16.0,12.0,,22.0,1.0,847.0,18.0,14.0,,7.0,3.0,7.0,0.0
2128320,4.0,2020-10-03 17:30:00,43,Man City,Away,132.0,10.0,4.0,5.0,1.0,,,192.0,3.0,,4.0,2.0,7.0,13.0,319.0,1.0,,24.0,6.0,13.0,15.0,2.0,3.0,,,,1.0,,1.0,,,,,,19.0,,,,1.0,1.0,,,5.0,11.0,1.0,16.0,7.0,,56.0,55.0,,,,,15.0,7.0,10.0,,10.0,7.0,,,15.0,3.0,55.0,57.0,,15.0,10.0,1.0,1.0,32.0,43.0,12.0,11.0,1.0,,2.0,3.0,1.0,131.0,1.0,,,1.0,,,6.0,,,1.0,1.0,,,,,10.0,2.0,6.0,6.0,1.0,,4.0,109.0,55.0,35.0,7.0,,11.0,7.0,2.0,372.0,,,3.0,3.0,,57.0,52.0,28.0,,,,,,142.0,142.0,9.0,15.0,27.0,47.9,2.0,2.0,,1.0,15.0,0.0,,,,93.0,5.0,1.0,6.0,,,14.0,,,3.0,20.0,104.0,309.0,4.0,18.0,148.0,19.0,15.0,35.0,10.0,20.0,10.0,,137.0,4.0,261.0,1.0,,8.0,7.0,27.0,3.0,389.0,1.0,0.0,23.0,11.0,,29.0,1.0,611.0,49.0,18.0,,22.0,10.0,5.0,0.0
2128331,5.0,2020-10-17 17:30:00,43,Man City,Home,212.0,21.0,,1.0,1.0,1.0,,380.0,5.0,,1.0,2.0,7.0,24.0,591.0,,,11.0,12.0,15.0,11.0,,2.0,,,,,,,,,,,1.0,11.0,,,,,,,,11.0,7.0,4.0,8.0,5.0,,120.0,50.0,2.0,2.0,1.0,,14.0,4.0,9.0,,6.0,3.0,4.0,,5.0,,49.0,46.0,,9.0,6.0,,,26.0,56.0,15.0,10.0,1.0,,1.0,,,170.0,,,,,,,10.0,,,1.0,,,,,,6.0,,8.0,8.0,,,1.0,196.0,65.0,42.0,6.0,,4.0,7.0,5.0,639.0,,,3.0,1.0,,127.0,78.0,22.0,,,,,,110.0,110.0,4.0,18.0,25.0,58.5,,,,1.0,14.0,0.0,,,,179.0,3.0,,3.0,1.0,,4.0,1.0,,2.0,14.0,154.0,573.0,4.0,11.0,231.0,34.0,9.0,18.0,3.0,10.0,7.0,,186.0,7.0,444.0,,,12.0,7.0,47.0,,665.0,1.0,0.0,13.0,11.0,,13.0,4.0,801.0,28.0,11.0,,10.0,6.0,5.0,0.0
2128344,6.0,2020-10-24 12:30:00,43,Man City,Away,237.0,18.0,,1.0,1.0,1.0,,434.0,2.0,,6.0,2.0,2.0,20.0,670.0,,,20.0,15.0,15.0,9.0,,1.0,,,,,1.0,1.0,,,,,1.0,12.0,,,,,,,,3.0,2.0,4.0,6.0,8.0,,97.0,61.0,1.0,1.0,,,22.0,1.0,6.0,,10.0,12.0,8.0,,7.0,,42.0,47.0,,14.0,8.0,,,38.0,77.0,6.0,13.0,,,3.0,1.0,1.0,188.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,8.0,1.0,9.0,9.0,1.0,,6.0,227.0,70.0,60.0,2.0,,4.0,6.0,7.0,722.0,,,1.0,2.0,,92.0,98.0,49.0,,,,,,130.0,130.0,8.0,22.0,25.0,69.5,,,1.0,,22.0,0.0,,,,235.0,,1.0,1.0,,,6.0,,,3.0,21.0,164.0,645.0,10.0,10.0,245.0,27.0,14.0,19.0,2.0,23.0,21.0,,221.0,3.0,525.0,1.0,,7.0,2.0,33.0,,747.0,,0.0,14.0,10.0,5.0,20.0,0.0,933.0,33.0,14.0,,11.0,10.0,5.0,0.0
2128353,7.0,2020-10-31 12:30:00,43,Man City,Away,349.0,26.0,1.0,5.0,4.0,3.0,1.0,280.0,4.0,,3.0,2.0,11.0,39.0,624.0,,,27.0,13.0,17.0,8.0,1.0,1.0,,,,,2.0,2.0,,,,,,12.0,,,,,,,1.0,2.0,2.0,1.0,10.0,6.0,,124.0,49.0,2.0,2.0,,1.0,16.0,4.0,4.0,,5.0,1.0,4.0,1.0,7.0,,42.0,59.0,1.0,13.0,6.0,,,33.0,47.0,6.0,13.0,,,2.0,1.0,2.0,172.0,1.0,,,1.0,,,5.0,,,1.0,,,,,,6.0,,5.0,5.0,,,3.0,197.0,71.0,52.0,2.0,,2.0,8.0,8.0,698.0,,,1.0,2.0,,102.0,77.0,29.0,,,,,,135.0,135.0,1.0,22.0,23.0,64.8,,,,,16.0,0.0,,,,222.0,,1.0,1.0,,,4.0,,,2.0,11.0,118.0,609.0,8.0,10.0,381.0,44.0,13.0,29.0,5.0,11.0,6.0,,163.0,5.0,345.0,,,17.0,11.0,68.0,2.0,715.0,3.0,0.0,16.0,12.0,1.0,29.0,0.0,897.0,36.0,13.0,,17.0,5.0,5.0,0.0
2128362,8.0,2020-11-08 16:30:00,43,Man City,Home,280.0,20.0,,1.0,1.0,2.0,,193.0,5.0,,5.0,2.0,9.0,25.0,472.0,,1.0,15.0,3.0,8.0,5.0,,,,,,,,,,,,,,6.0,,1.0,,,,,,9.0,5.0,5.0,4.0,3.0,,77.0,54.0,1.0,2.0,,,14.0,1.0,8.0,1.0,1.0,3.0,4.0,,7.0,1.0,42.0,32.0,,20.0,9.0,,2.0,28.0,43.0,19.0,9.0,1.0,1.0,2.0,1.0,,134.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,1.0,9.0,,5.0,5.0,,,5.0,179.0,68.0,46.0,2.0,,3.0,3.0,2.0,530.0,,,3.0,,,85.0,52.0,17.0,1.0,1.0,1.0,,1.0,122.0,122.0,,20.0,26.0,54.6,,,1.0,,14.0,0.0,,,,165.0,2.0,,2.0,,,4.0,,,1.0,20.0,70.0,450.0,7.0,6.0,301.0,36.0,20.0,9.0,1.0,9.0,8.0,,100.0,6.0,263.0,,1.0,13.0,9.0,52.0,2.0,555.0,1.0,0.0,7.0,12.0,2.0,15.0,3.0,696.0,16.0,15.0,,3.0,1.0,5.0,0.0
2128374,9.0,2020-11-21 17:30:00,43,Man City,Away,173.0,26.0,4.0,7.0,3.0,,2.0,366.0,2.0,1.0,4.0,2.0,3.0,25.0,532.0,,,10.0,8.0,11.0,14.0,5.0,5.0,,,,,,,,,,,,14.0,,,,,,,3.0,11.0,1.0,3.0,15.0,7.0,,71.0,69.0,2.0,2.0,,,16.0,11.0,4.0,1.0,10.0,12.0,7.0,,18.0,,53.0,53.0,,5.0,1.0,,,27.0,73.0,19.0,13.0,,,6.0,3.0,,142.0,,,,,,,2.0,,,,,,,,3.0,1.0,,9.0,9.0,2.0,,4.0,182.0,49.0,41.0,,,5.0,14.0,5.0,582.0,,,2.0,3.0,,81.0,85.0,45.0,,,,,,136.0,136.0,5.0,28.0,32.0,66.1,,,,,16.0,0.0,,,,204.0,,,,,,6.0,2.0,,2.0,14.0,190.0,515.0,6.0,19.0,182.0,44.0,5.0,24.0,8.0,30.0,22.0,,235.0,1.0,447.0,,2.0,6.0,3.0,36.0,2.0,599.0,,0.0,22.0,13.0,,11.0,2.0,794.0,48.0,15.0,,17.0,10.0,8.0,0.0
2128382,10.0,2020-11-28 15:00:00,43,Man City,Home,344.0,25.0,,2.0,2.0,1.0,,300.0,5.0,,2.0,2.0,8.0,35.0,642.0,,,14.0,14.0,19.0,12.0,,4.0,,,,,,,,,1.0,,,14.0,,,,,1.0,,,8.0,4.0,5.0,13.0,6.0,,106.0,61.0,2.0,,2.0,1.0,17.0,3.0,7.0,,6.0,7.0,3.0,1.0,5.0,1.0,47.0,38.0,1.0,20.0,16.0,,,29.0,57.0,12.0,4.0,,,1.0,1.0,,156.0,5.0,1.0,4.0,4.0,1.0,,6.0,,,4.0,,,,,,16.0,1.0,4.0,4.0,,,2.0,230.0,66.0,56.0,4.0,4.0,8.0,9.0,6.0,701.0,,,2.0,,,89.0,70.0,26.0,,,,,,121.0,121.0,3.0,28.0,26.0,68.6,1.0,,,1.0,17.0,0.0,,,,228.0,1.0,,1.0,,,10.0,,,3.0,8.0,127.0,624.0,8.0,17.0,383.0,38.0,20.0,17.0,,11.0,11.0,,149.0,2.0,348.0,,,11.0,10.0,50.0,2.0,720.0,,0.0,19.0,7.0,1.0,15.0,0.0,877.0,31.0,17.0,,8.0,6.0,4.0,0.0
