playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,successfulLaunches,savesMade,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,unsuccessfulLayoffs,redCards2ndYellow,clearancesOffTheLine,foulWonPenalty,headedGoals,lastPlayerTackle,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,goalkeeperSmother,drops,setPiecesGoals,ownGoalScored,penaltiesConceded,penaltiesTaken,penaltyGoals
154976,Adnan Januzaj,Midfielder,Man Utd,1,Belgium,2013-14,154.0,19.0,12.0,2.8016,22.0,9.0,27.0,598.0,4.0,3.0,3.0,9.0,12.0,3.0,3.0,18.0,4.0,134.0,7.0,2.0,22.6365,28.0,10.0,61.0,2.0,83.0,27.0,2.0,2.0,47.0,65.0,101.0,2.0,590.0,16.0,361.0,17.0,2.0,142.0,31.0,9.0,23.0,139.0,1122.0,3.0,2.0,105.0,6.0,17.0,17.0,2.0,19.0,2.9007,0.0,0.1577,24.0,28.0,93.0,3.0,31.0,15.0,110.0,50.0,19.0,21.0,1.0,5.0,30.0,1640.0,137.0,30.0,465.0,71.0,1.0,9.0,18.0,136.0,150.0,291.0,13.0,1.0,167.0,5.0,5.0,413.0,14.0,10.0,270.0,3.0,0.0,27.0,51.0,2.0,15.0,7.0,9.0,4.0,6.0,2.6084,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
27258,Anderson,Midfielder,Man Utd,1,Brazil,2013-14,13.0,,1.0,0.0625,5.0,1.0,4.0,118.0,,1.0,,,2.0,,,3.0,1.0,7.0,,,2.0932,4.0,,1.0,0.0,7.0,4.0,,,1.0,,5.0,,118.0,1.0,30.0,5.0,,37.0,5.0,,10.0,10.0,144.0,,,24.0,,3.0,6.0,,,0.3027,0.0,,1.0,2.0,17.0,,6.0,2.0,20.0,,,4.0,,1.0,,155.0,8.0,6.0,88.0,1.0,1.0,3.0,2.0,10.0,32.0,21.0,1.0,,39.0,1.0,,74.0,1.0,,17.0,1.0,0.0,,1.0,,3.0,2.0,,,1.0,0.0697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
14295,Darren Fletcher,Midfielder,Man Utd,1,Scotland,2013-14,24.0,,1.0,0.0176,8.0,1.0,12.0,669.0,,,,,3.0,,,5.0,1.0,21.0,,1.0,7.7113,7.0,,11.0,0.0,54.0,12.0,,,2.0,3.0,8.0,,657.0,4.0,96.0,6.0,,205.0,3.0,,55.0,56.0,763.0,2.0,,245.0,,23.0,10.0,,1.0,0.6507,0.0,,,5.0,50.0,,16.0,9.0,73.0,3.0,,12.0,3.0,1.0,1.0,779.0,28.0,16.0,541.0,9.0,1.0,10.0,8.0,19.0,194.0,52.0,6.0,,214.0,1.0,2.0,352.0,7.0,,40.0,7.0,0.0,,3.0,1.0,15.0,2.0,,1.0,1.0,0.2594,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
109322,Jesse Lingard,Midfielder,Man Utd,1,England,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
43670,Juan Mata,Midfielder,Man Utd,1,Spain,2013-14,129.0,16.0,12.0,,31.0,14.0,28.0,1385.0,6.0,13.0,3.0,,3.0,,,15.0,4.0,96.0,19.0,3.0,,58.0,,41.0,0.0,136.0,28.0,2.0,3.0,14.0,104.0,70.0,,1352.0,12.0,375.0,23.0,5.0,458.0,14.0,45.0,79.0,294.0,1828.0,5.0,,407.0,1.0,31.0,17.0,,8.0,,0.0,,4.0,24.0,126.0,6.0,103.0,25.0,157.0,44.0,69.0,18.0,3.0,,38.0,2064.0,99.0,30.0,1149.0,86.0,,10.0,26.0,114.0,300.0,228.0,9.0,3.0,333.0,,8.0,859.0,22.0,,210.0,3.0,0.0,13.0,24.0,,12.0,15.0,,3.0,6.0,,0.0,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,,2.0,,,,
41184,Marouane Fellaini,Midfielder,Man Utd,1,Belgium,2013-14,140.0,8.0,9.0,0.1669,57.0,2.0,19.0,1028.0,,4.0,,,4.0,1.0,1.0,45.0,3.0,82.0,,2.0,1.9692,7.0,1.0,20.0,0.0,118.0,19.0,,,8.0,6.0,40.0,,1009.0,13.0,183.0,42.0,,290.0,42.0,,45.0,158.0,1347.0,4.0,1.0,404.0,4.0,8.0,31.0,,2.0,0.2013,0.0,,1.0,22.0,109.0,1.0,44.0,15.0,117.0,6.0,,113.0,4.0,,2.0,1376.0,150.0,23.0,866.0,48.0,,66.0,16.0,95.0,284.0,290.0,11.0,,296.0,,15.0,509.0,13.0,1.0,177.0,68.0,0.0,11.0,9.0,3.0,33.0,5.0,,3.0,11.0,0.7514,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2404,Michael Carrick,Midfielder,Man Utd,1,England,2013-14,62.0,6.0,5.0,0.8881,61.0,2.0,29.0,2051.0,1.0,,0.0,5.0,3.0,1.0,1.0,12.0,5.0,86.0,,3.0,32.9316,28.0,1.0,22.0,0.0,223.0,29.0,1.0,,1.0,5.0,15.0,,1997.0,6.0,270.0,43.0,,644.0,12.0,,173.0,178.0,2376.0,6.0,,769.0,,45.0,48.0,,2.0,1.6554,0.0,,,11.0,189.0,,32.0,26.0,234.0,5.0,,36.0,10.0,3.0,2.0,2413.0,110.0,44.0,1644.0,14.0,,57.0,30.0,50.0,539.0,172.0,16.0,1.0,690.0,3.0,18.0,1050.0,25.0,1.0,136.0,24.0,0.0,4.0,6.0,10.0,80.0,1.0,5.0,11.0,9.0,0.623,5.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,
38530,Nani,Midfielder,Man Utd,1,Portugal,2013-14,48.0,4.0,3.0,0.437,13.0,1.0,11.0,305.0,,3.0,,2.0,4.0,2.0,2.0,9.0,2.0,47.0,2.0,1.0,10.0567,11.0,2.0,9.0,0.0,31.0,11.0,,,13.0,30.0,29.0,,302.0,10.0,148.0,8.0,,109.0,5.0,4.0,5.0,60.0,485.0,6.0,,62.0,1.0,2.0,13.0,,6.0,1.1889,0.0,,2.0,13.0,64.0,,24.0,7.0,66.0,22.0,7.0,13.0,,1.0,9.0,560.0,51.0,15.0,234.0,25.0,,3.0,10.0,39.0,57.0,99.0,4.0,,79.0,1.0,5.0,186.0,8.0,2.0,86.0,4.0,0.0,7.0,25.0,,4.0,6.0,2.0,,1.0,0.7578,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
3,Ryan Giggs,Midfielder,Man Utd,1,Wales,2013-14,41.0,1.0,2.0,0.4864,6.0,2.0,12.0,287.0,,,,1.0,6.0,1.0,1.0,8.0,,14.0,5.0,,5.7528,9.0,,1.0,0.0,30.0,12.0,,,9.0,12.0,20.0,1.0,274.0,2.0,86.0,4.0,1.0,77.0,6.0,3.0,16.0,43.0,389.0,2.0,,103.0,,8.0,7.0,,,0.7774,0.0,0.0618,,4.0,40.0,,14.0,6.0,48.0,8.0,9.0,10.0,,1.0,10.0,503.0,16.0,11.0,223.0,8.0,1.0,6.0,4.0,33.0,69.0,57.0,9.0,,98.0,1.0,2.0,146.0,4.0,,47.0,2.0,0.0,5.0,7.0,1.0,12.0,5.0,1.0,1.0,3.0,0.2801,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
83090,Shinji Kagawa,Midfielder,Man Utd,1,Japan,2013-14,60.0,4.0,6.0,1.3254,18.0,7.0,18.0,706.0,,2.0,,1.0,4.0,4.0,4.0,6.0,6.0,35.0,,1.0,13.4609,14.0,3.0,8.0,0.0,52.0,18.0,,,10.0,16.0,43.0,,698.0,4.0,179.0,15.0,,164.0,4.0,,40.0,157.0,900.0,7.0,,220.0,1.0,10.0,20.0,,6.0,2.4148,0.0,,1.0,10.0,82.0,3.0,64.0,14.0,92.0,16.0,,13.0,3.0,2.0,6.0,1170.0,42.0,29.0,574.0,44.0,,5.0,13.0,54.0,233.0,102.0,12.0,,152.0,2.0,3.0,400.0,7.0,3.0,89.0,7.0,0.0,8.0,10.0,,18.0,9.0,1.0,1.0,2.0,1.7399,0.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,
