season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436880,1,8,Chelsea,Home,352668,109646.0,Tosin Adarabioyo,tosin-adarabioyo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436880,1,8,Chelsea,Home,769333,213198.0,Christopher Nkunku,christopher-nkunku,F,False,,,1.0,17.0,9.0,26.0,,1.0,6.0,,,1.0,,,,1.0,6.0,4.0,,,0.0568043,0.1491,,2.0,0.0,,,,,1.0,1.0,,58.0,,,,,,,,6.0,,6.9,,,,,3.0,,,1.0,,17.0,9.0,26.0,1,3.0,41.0,1.0,,,3.0
2024-25,12436880,1,8,Chelsea,Home,794939,179268.0,Marc Cucurella,marc-cucurella,D,False,,,,23.0,29.0,52.0,1.0,,5.0,,,,2.0,,,,3.0,5.0,,,0.0203209,,,,0.0,,,,,,,,80.0,,1.0,,,,,,10.0,,7.0,,,,3.0,,3.0,,2.0,,29.0,32.0,58.0,0,2.0,79.0,,3.0,,2.0
2024-25,12436880,1,8,Chelsea,Home,861970,215413.0,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,True,,,,10.0,3.0,13.0,,,,,,,,,,,,1.0,,,0.00654665,,,,0.0,,,,,1.0,,,24.0,,,,,,,,4.0,,6.6,,,,,,,,1.0,,14.0,3.0,17.0,0,,20.0,,1.0,,
2024-25,12436880,1,8,Chelsea,Home,879349,247632.0,Pedro Neto,pedro-neto,M,True,1.0,,,15.0,2.0,16.0,,,,,,1.0,,,,,1.0,1.0,,,0.16311,0.0393,,,0.0,,,,,,2.0,,32.0,,,,,,,,5.0,,6.8,,,,,2.0,3.0,,,,17.0,2.0,16.0,1,,24.0,2.0,,1.0,
2024-25,12436880,1,8,Chelsea,Home,904827,242880.0,Benoît Badiashile,benoit-badiashile,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436880,1,8,Chelsea,Home,920546,215059.0,Robert Sánchez,robert-sanchez,G,False,,1.0,2.0,1.0,19.0,20.0,,,6.0,,,,,,,,,1.0,,,0.00021862,,,,0.0,,-1.1779,1.0,,,,,90.0,,,,,,,,5.0,,6.9,2.0,3.0,,,,,1.0,6.0,,4.0,21.0,25.0,0,,34.0,,1.0,,
2024-25,12436880,1,8,Chelsea,Home,923894,444463.0,Wesley Fofana,wesley-fofana,D,False,,,1.0,17.0,32.0,49.0,1.0,,6.0,,,,1.0,,,1.0,6.0,1.0,,,0.00848119,0.0419,,3.0,0.0,,,,,1.0,,,90.0,,1.0,,,,,,8.0,,6.5,,,1.0,3.0,,,,6.0,,19.0,37.0,56.0,1,1.0,66.0,,,,1.0
2024-25,12436880,1,8,Chelsea,Home,958966,465920.0,Mykhailo Mudryk,mykhailo-mudryk,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436880,1,8,Chelsea,Home,962053,508479.0,Filip Jørgensen,filip-jorgensen,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
