season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576259,1,8,Chelsea,Home,21555,41328,César Azpilicueta,cesar-azpilicueta,D,False,,,2.0,41.0,11.0,52.0,1.0,,6.0,,,,1.0,,,,2.0,6.0,,,,,,,,,,,,67.0,,,,,,,,6.0,,7.5,,,1.0,1.0,,3.0,,4.0,,46.0,12.0,55.0,1,6.0,74.0,,,,3.0
2021-22,9576259,1,8,Chelsea,Home,33541,51090,Thiago Silva,thiago-silva,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,69408,82263,Marcos Alonso,marcos-alonso,D,False,2.0,,4.0,36.0,4.0,38.0,1.0,1.0,3.0,,,,,,,1.0,2.0,7.0,,,,,1.0,,,,1.0,2.0,,86.0,2.0,,,,,,,9.0,,8.5,,,1.0,1.0,1.0,5.0,,5.0,,43.0,5.0,43.0,3,4.0,72.0,,1.0,1.0,3.0
2021-22,9576259,1,8,Chelsea,Home,132874,85955,Jorginho,jorginho,M,False,,,7.0,53.0,29.0,82.0,,,6.0,,,,2.0,,,1.0,4.0,6.0,,,1.0,,,,,,2.0,1.0,,90.0,,,,,,,,7.0,,7.6,,,,,,,,9.0,,58.0,30.0,88.0,0,5.0,101.0,,1.0,,1.0
2021-22,9576259,1,8,Chelsea,Home,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,5.0,54.0,22.0,76.0,1.0,,8.0,,,,3.0,,,,5.0,5.0,,,2.0,1.0,,,,,1.0,2.0,,90.0,,,,,,,,4.0,,7.6,,,2.0,,3.0,,,5.0,,56.0,22.0,78.0,2,1.0,90.0,1.0,1.0,3.0,
2021-22,9576259,1,8,Chelsea,Home,139227,103192,Kurt Zouma,kurt-zouma,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,142622,102380,Antonio Rüdiger,antonio-rudiger,D,False,,,5.0,42.0,38.0,80.0,1.0,2.0,3.0,,,,1.0,,,,4.0,4.0,,,2.0,,,,,,,,,90.0,,1.0,,,,,,9.0,,7.1,,,,1.0,,,,8.0,,49.0,40.0,89.0,0,1.0,96.0,,1.0,,
2021-22,9576259,1,8,Chelsea,Home,155997,109533,Emerson,emerson,D,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,0,,2.0,,,,
2021-22,9576259,1,8,Chelsea,Home,186795,135363,Andreas Christensen,andreas-christensen,D,False,,,4.0,38.0,67.0,105.0,5.0,2.0,7.0,,,,,,,,6.0,2.0,,,2.0,,,,,,3.0,,,90.0,,,,,,,,6.0,,7.2,,,,3.0,,,,7.0,,40.0,71.0,111.0,0,,117.0,,,,
2021-22,9576259,1,8,Chelsea,Home,232306,165153,Timo Werner,timo-werner,F,False,,,,10.0,3.0,13.0,2.0,,2.0,,,,2.0,,,,5.0,1.0,,,,,,,,,,1.0,,90.0,,,,,,,,13.0,,6.6,,,1.0,,2.0,,,1.0,,18.0,3.0,21.0,1,,28.0,4.0,,1.0,
2021-22,9576259,1,8,Chelsea,Home,232422,109745,Kepa Arrizabalaga,kepa-arrizabalaga,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,610766,173879,Tammy Abraham,tammy-abraham,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,802695,172850,Ben Chilwell,ben-chilwell,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,817957,176413,Christian Pulišić,christian-pulisic,F,False,,,2.0,16.0,6.0,22.0,2.0,,3.0,,,,2.0,,,2.0,10.0,4.0,,,2.0,,1.0,,,,1.0,,,82.0,2.0,,,,,,,11.0,,7.4,,,,,4.0,2.0,,2.0,,20.0,6.0,24.0,2,,43.0,2.0,2.0,2.0,
2021-22,9576259,1,8,Chelsea,Home,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,False,,,5.0,35.0,42.0,77.0,1.0,2.0,1.0,,,,,,,,3.0,3.0,,,2.0,,1.0,,,,2.0,,,90.0,1.0,,,,,,,6.0,,8.1,,,,2.0,1.0,,,6.0,,40.0,43.0,83.0,1,,91.0,,1.0,1.0,
2021-22,9576259,1,8,Chelsea,Home,836694,184341,Mason Mount,mason-mount,F,False,2.0,,2.0,40.0,6.0,44.0,1.0,,3.0,,,2.0,2.0,,,1.0,8.0,7.0,,,2.0,,,,,,,,,90.0,1.0,,,,,,,18.0,,7.3,,,,,2.0,12.0,,2.0,,52.0,6.0,46.0,3,3.0,74.0,3.0,4.0,,1.0
2021-22,9576259,1,8,Chelsea,Home,836705,219847,Kai Havertz,kai-havertz,F,True,,,1.0,4.0,2.0,6.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,8.0,,,,,,,,4.0,,6.5,,,,,1.0,,,1.0,,6.0,2.0,8.0,0,,10.0,,,,
2021-22,9576259,1,8,Chelsea,Home,845074,228286,Edouard Mendy,edouard-mendy,G,False,,,1.0,,17.0,17.0,,,2.0,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,2.0,,7.2,1.0,1.0,,,,,,2.0,,,19.0,19.0,0,,22.0,,,,
