season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,8,Chelsea,Away,21555,41328,César Azpilicueta,cesar-azpilicueta,D,False,,,1.0,38.0,21.0,59.0,4.0,2.0,5.0,,,,,,,,4.0,7.0,,,0.0509885,0.0,0.0,,,,,,,1.0,2.0,,90.0,,,,,,,8.0,,7.7,,,,,1.0,1.0,,2.0,,42.0,24.0,65.0,0,4.0,78.0,,,1.0,3.0
2022-23,10385509,1,8,Chelsea,Away,33541,51090,Thiago Silva,thiago-silva,D,False,,,6.0,34.0,33.0,67.0,1.0,3.0,4.0,,,,1.0,,,,2.0,4.0,,,0.021463,0.0,0.0,,,,,,,3.0,,,90.0,,1.0,,,,,10.0,,7.4,,,,4.0,,,,11.0,,38.0,38.0,76.0,0,1.0,88.0,1.0,,,
2022-23,10385509,1,8,Chelsea,Away,126071,86129,Kalidou Koulibaly,kalidou-koulibaly,D,False,,,1.0,30.0,21.0,51.0,2.0,3.0,4.0,,,,1.0,,,,5.0,7.0,,,0.0292269,0.0474,0.1826,2.0,,,,,,1.0,,1.0,75.0,1.0,,,,,,8.0,,7.3,,,,3.0,1.0,,,3.0,,31.0,27.0,58.0,1,2.0,72.0,1.0,1.0,1.0,
2022-23,10385509,1,8,Chelsea,Away,132874,85955,Jorginho,jorginho,M,False,,,1.0,37.0,23.0,60.0,,1.0,11.0,,,,3.0,,,3.0,6.0,2.0,,,0.0339092,0.7884,0.9962,,,1.0,,,,,1.0,,89.0,1.0,,,,,,16.0,,6.8,,,,,,,,2.0,,46.0,26.0,72.0,1,,84.0,1.0,1.0,,
2022-23,10385509,1,8,Chelsea,Away,136710,91651,Mateo Kovačić,mateo-kovacic,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,8,Chelsea,Away,138534,103955,Raheem Sterling,raheem-sterling,F,False,,,,18.0,1.0,19.0,,,3.0,,1.0,3.0,,,,7.0,12.0,7.0,,,0.163728,0.2398,0.0,3.0,,,,,,,2.0,,90.0,,,,,,,21.0,,6.4,,,,,5.0,,,1.0,1.0,25.0,2.0,27.0,3,1.0,52.0,3.0,3.0,3.0,1.0
2022-23,10385509,1,8,Chelsea,Away,232422,109745,Kepa Arrizabalaga,kepa-arrizabalaga,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,8,Chelsea,Away,234148,116594,N'Golo Kanté,n-golo-kante,M,False,1.0,,2.0,41.0,20.0,60.0,1.0,,12.0,,,,2.0,,,2.0,6.0,7.0,,,0.194476,0.0486,0.0453,,,,,,,2.0,2.0,,90.0,1.0,,,,,,16.0,,7.4,,,,,4.0,1.0,,6.0,1.0,46.0,25.0,70.0,1,4.0,89.0,2.0,,3.0,2.0
2022-23,10385509,1,8,Chelsea,Away,249437,124183,Hakim Ziyech,hakim-ziyech,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,8,Chelsea,Away,284441,126187,Ruben Loftus-Cheek,ruben-loftus-cheek,M,True,,,,7.0,1.0,8.0,1.0,2.0,1.0,,,,,,,,3.0,5.0,,,0.00309845,0.0,0.0,1.0,,,,,,,,,25.0,,,,,,,6.0,,6.7,,,,1.0,1.0,,,,,8.0,3.0,11.0,0,2.0,20.0,2.0,1.0,,1.0
2022-23,10385509,1,8,Chelsea,Away,794939,179268,Marc Cucurella,marc-cucurella,D,True,2.0,,,9.0,8.0,15.0,,,3.0,1.0,,,1.0,,,1.0,2.0,2.0,,,0.135469,0.0,0.0,,,,,,,,1.0,,15.0,,,,,,,6.0,,6.9,,,,,1.0,2.0,,1.0,,10.0,9.0,17.0,0,1.0,25.0,1.0,,1.0,1.0
2022-23,10385509,1,8,Chelsea,Away,802695,172850,Ben Chilwell,ben-chilwell,D,False,,,,16.0,7.0,23.0,,,1.0,,,,1.0,,,3.0,4.0,3.0,,,0.00704527,0.0,0.0,,,,,,,,,,65.0,,,,,,1.0,12.0,,6.5,,,,1.0,,2.0,,3.0,,22.0,7.0,27.0,0,,44.0,3.0,3.0,,
2022-23,10385509,1,8,Chelsea,Away,817957,176413,Christian Pulišić,christian-pulisic,F,True,,,,3.0,,3.0,1.0,,3.0,,,,,,,,2.0,5.0,,,0.0006721,0.0442,0.0,1.0,,,,,,1.0,,,25.0,,,,,,,2.0,,7.0,,,1.0,1.0,1.0,,,1.0,,3.0,1.0,4.0,1,1.0,13.0,1.0,3.0,1.0,1.0
2022-23,10385509,1,8,Chelsea,Away,826134,180736,Trevoh Chalobah,trevoh-chalobah,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
