season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352316,1,8,Chelsea,Home,33541,51090,Thiago Silva,thiago-silva,D,False,,,8.0,38.0,73.0,111.0,1.0,4.0,10.0,,,,3.0,,,,4.0,5.0,,,0.0709818,0.0,0.0,,,,,,,1.0,1.0,,90.0,,1.0,,,,,,,8.0,,7.5,,,,6.0,,,,9.0,,42.0,76.0,118.0,0,1.0,131.0,1.0,1.0,,
2023-24,11352316,1,8,Chelsea,Home,138534,103955,Raheem Sterling,raheem-sterling,F,False,3.0,,,20.0,4.0,21.0,,,3.0,,,,1.0,,,4.0,7.0,3.0,,,0.0938528,0.0,0.0,,,,,,,,1.0,,81.0,,,,,,,,,15.0,,6.7,,,,,2.0,5.0,,1.0,,27.0,5.0,27.0,0,2.0,44.0,1.0,1.0,,2.0
2023-24,11352316,1,8,Chelsea,Home,794939,179268,Marc Cucurella,marc-cucurella,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352316,1,8,Chelsea,Home,802695,172850,Ben Chilwell,ben-chilwell,D,False,,,1.0,32.0,9.0,41.0,1.0,1.0,7.0,1.0,1.0,,,,,1.0,3.0,6.0,,,0.215768,0.1585,0.1691,1.0,1.0,,,,,,1.0,,89.0,1.0,,,,,,,,22.0,,7.4,,,,,1.0,3.0,,1.0,1.0,42.0,10.0,49.0,1,1.0,78.0,8.0,3.0,1.0,1.0
2023-24,11352316,1,8,Chelsea,Home,827243,220362,Axel Disasi,axel-disasi,D,False,,,2.0,26.0,63.0,89.0,,1.0,7.0,,,,,,,,,2.0,,,0.010048,0.4736,0.8555,,,1.0,,,,2.0,,,90.0,1.0,,,,,,,,10.0,,7.6,,,1.0,3.0,,,,7.0,,29.0,68.0,97.0,2,1.0,108.0,1.0,,,
2023-24,11352316,1,8,Chelsea,Home,885908,225796,Reece James,reece-james,D,False,3.0,,3.0,24.0,23.0,44.0,2.0,3.0,5.0,2.0,,,,,,2.0,4.0,4.0,,,0.422501,0.0338,0.0,,,,,,,,2.0,,76.0,,,,,,,,,17.0,,7.4,,,1.0,,1.0,9.0,,4.0,,36.0,24.0,51.0,1,,76.0,2.0,,1.0,
2023-24,11352316,1,8,Chelsea,Home,904970,232787,Conor Gallagher,conor-gallagher,M,False,,,1.0,27.0,34.0,61.0,,,10.0,,,,2.0,,,,3.0,5.0,,,0.0164578,0.0,0.0,1.0,,,,,,3.0,,,90.0,,1.0,,,,,,,10.0,,7.1,,,,1.0,1.0,,,1.0,,30.0,37.0,67.0,0,2.0,82.0,3.0,2.0,1.0,1.0
2023-24,11352316,1,8,Chelsea,Home,920546,215059,Robert Sánchez,robert-sanchez,G,False,,1.0,5.0,3.0,21.0,24.0,,,9.0,,,,,,,,,,,,0.00025366,0.0,0.0,,,,-0.2023,2.0,,,,,90.0,,,,,,,,,6.0,,6.8,,,,1.0,,,1.0,10.0,,6.0,24.0,30.0,0,,39.0,,,,
2023-24,11352316,1,8,Chelsea,Home,958966,465920,Mykhailo Mudryk,mykhailo-mudryk,M,True,,,,5.0,,5.0,,,1.0,,,,1.0,,,,1.0,2.0,,,0.0117305,0.0,0.0,,,,,,,,,,9.0,,,,,,,,,4.0,,6.8,,,,,2.0,1.0,,,,8.0,,7.0,0,,11.0,1.0,,2.0,
2023-24,11352316,1,8,Chelsea,Home,966547,248857,Noni Madueke,noni-madueke,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
