season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437076,1,8,Chelsea,Home,518,17878,Cesc Fàbregas,cesc-fabregas,M,False,2.0,,7.0,47.0,30.0,75.0,,1.0,6.0,,,,,,,,3.0,4.0,,,3.0,,,,,,5.0,,81.0,,,,,,,18.0,,7.0,,,,1.0,1.0,7.0,,12.0,,61.0,32.0,86.0,0,,100.0,2.0,2.0,1.0,
2017-18,7437076,1,8,Chelsea,Home,9628,19419,Gary Cahill,gary-cahill,D,False,,,2.0,3.0,9.0,12.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,14.0,,,,,,,1.0,,3.0,,,,1.0,,,,2.0,,3.0,9.0,12.0,0,,14.0,1.0,,,
2017-18,7437076,1,8,Chelsea,Home,21300,41270,David Luiz,david-luiz,D,False,,,3.0,7.0,32.0,39.0,5.0,3.0,5.0,,,,,,,1.0,8.0,3.0,,,2.0,,1.0,,,2.0,,,90.0,1.0,,,,,,8.0,,7.0,,,2.0,6.0,,1.0,,6.0,,14.0,32.0,45.0,3,,59.0,,1.0,,
2017-18,7437076,1,8,Chelsea,Home,21555,41328,César Azpilicueta,cesar-azpilicueta,D,False,,,4.0,31.0,20.0,51.0,,4.0,4.0,,,,,,,1.0,3.0,7.0,,,2.0,,,,,1.0,1.0,,90.0,,,,,,,15.0,,6.9,,,,1.0,,6.0,,6.0,,41.0,23.0,58.0,0,3.0,77.0,,,,3.0
2017-18,7437076,1,8,Chelsea,Home,31417,47431,Willian,willian,M,False,1.0,,4.0,28.0,10.0,37.0,,1.0,6.0,1.0,,1.0,,,,,1.0,7.0,,,1.0,1.0,,,,,2.0,,90.0,,,,,,,22.0,,7.6,,,,1.0,3.0,7.0,,7.0,,44.0,11.0,48.0,1,2.0,74.0,2.0,2.0,2.0,1.0
2017-18,7437076,1,8,Chelsea,Home,52741,20310,Willy Caballero,willy-caballero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437076,1,8,Chelsea,Home,69408,82263,Marcos Alonso,marcos-alonso,D,False,1.0,,1.0,22.0,11.0,32.0,4.0,1.0,4.0,,,2.0,,,,1.0,8.0,5.0,,,2.0,,,,,1.0,3.0,,90.0,2.0,,,,,,10.0,,7.1,,,1.0,4.0,2.0,4.0,,1.0,,27.0,12.0,35.0,5,2.0,64.0,2.0,1.0,1.0,1.0
2017-18,7437076,1,8,Chelsea,Home,70988,60772,Thibaut Courtois,thibaut-courtois,G,False,,,2.0,1.0,17.0,18.0,,,7.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,14.0,,6.1,2.0,2.0,,,,,,16.0,,14.0,18.0,32.0,0,,40.0,,,,
2017-18,7437076,1,8,Chelsea,Home,125407,88482,Álvaro Morata,alvaro-morata,F,True,,,,4.0,1.0,5.0,2.0,,2.0,1.0,,,,,,2.0,5.0,1.0,,,1.0,1.0,1.0,,,,1.0,,31.0,2.0,,,,,,3.0,,8.1,,,1.0,,,,,,2.0,4.0,1.0,5.0,3,,14.0,1.0,1.0,,
2017-18,7437076,1,8,Chelsea,Home,142622,102380,Antonio Rüdiger,antonio-rudiger,D,False,,,3.0,24.0,41.0,65.0,4.0,5.0,1.0,,,1.0,,,,,7.0,6.0,,,3.0,,,,,2.0,,,90.0,,1.0,,,,,8.0,,6.7,,,1.0,6.0,,,,6.0,,30.0,42.0,72.0,2,,90.0,,1.0,,
