season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,94,Brentford,Home,171919,118342,Mark Flekken,mark-flekken,G,False,,,7.0,5.0,14.0,19.0,,,9.0,,,,,,,,,,,,0.00204068,0.0,0.0,,,,-0.8911,2.0,,,,,90.0,,,,,,9.0,,7.1,4.0,4.0,,,,,,,16.0,,10.0,18.0,28.0,0,,38.0,,,,
2023-24,11352309,1,94,Brentford,Home,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352358,2,94,Brentford,Away,171919,118342,Mark Flekken,mark-flekken,G,False,,,8.0,2.0,38.0,40.0,,,9.0,,,,,,,,1.0,,,,0.0006512,0.0,0.0,,,,0.2147,,,,,,90.0,,,,,,11.0,1.0,7.3,1.0,2.0,,,1.0,1.0,,,17.0,,9.0,40.0,49.0,0,,58.0,,,,
2023-24,11352358,2,94,Brentford,Away,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352456,3,94,Brentford,Home,171919,118342,Mark Flekken,mark-flekken,G,False,,,12.0,5.0,36.0,41.0,,,6.0,,,,,,,,,,,,0.00309482,0.0,0.0,,,,-0.2479,1.0,,,,,90.0,,,,,,2.0,,7.5,2.0,4.0,,,,,,,14.0,,7.0,36.0,43.0,0,,53.0,,,,
2023-24,11352456,3,94,Brentford,Home,860205,235448,Ellery Balcombe,ellery-balcombe,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352543,4,94,Brentford,Home,171919,118342,Mark Flekken,mark-flekken,G,False,,,13.0,7.0,34.0,41.0,,1.0,7.0,,,,1.0,,,,1.0,1.0,,,0.00263263,0.0,0.0,,,,0.0499,,,,,,90.0,,,,,,13.0,1.0,7.0,3.0,3.0,,,1.0,,,,24.0,,16.0,37.0,53.0,0,,61.0,,,,
2023-24,11352543,4,94,Brentford,Home,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352615,5,94,Brentford,Away,171919,118342,Mark Flekken,mark-flekken,G,False,,1.0,10.0,5.0,12.0,17.0,,,6.0,,,,,,,,1.0,1.0,,,0.00053659,0.0,0.0,1.0,,,0.0299,,,,,,90.0,,,1.0,1.0,,23.0,3.0,6.4,1.0,1.0,,,6.0,,,1.0,33.0,,23.0,17.0,40.0,0,,51.0,,1.0,,
2023-24,11352615,5,94,Brentford,Away,227212,140200,Thomas Strakosha,thomas-strakosha,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
