playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,substituteOn,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,goalKicks,throwInsToOppositionPlayer,ownGoalScored,lastPlayerTackle,gkSuccessfulDistribution,clearancesOffTheLine,otherGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,penaltiesFaced,penaltiesConceded,savesFromPenalty
78916,Dan Burn,Defender,Newcastle,4,England,2024-25,128.0,3.0,7.0,2.8752,39.0,,37.0,1994.0,1.0,5.0,0.0,,6.0,6.0,76.0,5.0,52.0,1.0,46.7731,8.0,12.0,3.0,12.0,0.0,103.0,37.0,,,1.0,3.0,4.0,,1965.0,13.0,261.0,24.0,,570.0,34.0,58.0,92.0,2420.0,7.0,,1335.0,1.0,73.0,87.0,,1.0873,0.0,,1.0,20.0,154.0,1.0,,,37.0,227.0,3.0,,224.0,13.0,,,3330.0,,200.0,26.0,1709.0,52.0,194.0,45.0,52.0,705.0,328.0,10.0,1.0,627.0,,,15.0,432.0,40.0,1.0,3.0,104.0,148.0,0.0,2.0,3.0,25.0,27.0,,,,50.0,16.0,1.9588,11.0,,,,,4.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,
111773,Emil Krafth,Defender,Newcastle,4,Sweden,2024-25,17.0,1.0,,,4.0,,12.0,140.0,,,,,,,8.0,,6.0,,4.1027,1.0,1.0,1.0,2.0,0.0,19.0,12.0,,,1.0,1.0,3.0,,136.0,,39.0,2.0,,38.0,5.0,3.0,16.0,205.0,12.0,,74.0,,7.0,13.0,1.0,0.0348,0.0,,,,22.0,,1.0,,2.0,29.0,1.0,,16.0,,,1.0,334.0,,14.0,5.0,108.0,5.0,16.0,2.0,9.0,18.0,31.0,1.0,,68.0,,,2.0,38.0,2.0,,1.0,15.0,8.0,0.0,1.0,,4.0,2.0,,,,6.0,2.0,0.0285,2.0,10.0,,,,,4.0,,,,,,,,,,,,,,,,,,,
119471,Fabian Schär,Defender,Newcastle,4,Switzerland,2024-25,136.0,12.0,11.0,3.5466,36.0,4.0,34.0,1942.0,4.0,4.0,2.0,7.0,4.0,4.0,75.0,5.0,56.0,1.0,40.5468,5.0,10.0,5.0,15.0,0.0,134.0,34.0,1.0,1.0,3.0,12.0,9.0,5.0,1877.0,17.0,344.0,21.0,5.0,703.0,35.0,138.0,70.0,2361.0,12.0,2.0,1092.0,,174.0,85.0,1.0,1.0292,1.0,0.3796,,28.0,127.0,,1.0,,33.0,301.0,12.0,,134.0,10.0,3.0,1.0,2937.0,,115.0,21.0,1503.0,47.0,133.0,42.0,61.0,410.0,251.0,13.0,2.0,759.0,,3.0,15.0,550.0,37.0,2.0,5.0,117.0,59.0,1.0,11.0,8.0,26.0,45.0,,3.0,7.0,78.0,15.0,3.7954,9.0,1.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,
101148,Jamaal Lascelles,Defender,Newcastle,4,England,2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
77794,Kieran Trippier,Defender,Newcastle,4,England,2024-25,57.0,2.0,,,38.0,3.0,25.0,1038.0,,2.0,,1.0,,,16.0,3.0,53.0,1.0,17.4478,19.0,11.0,1.0,11.0,0.0,68.0,25.0,,,4.0,58.0,12.0,2.0,982.0,2.0,244.0,21.0,2.0,410.0,16.0,34.0,166.0,1427.0,126.0,,428.0,,43.0,39.0,3.0,1.4549,0.0,0.0764,1.0,2.0,109.0,3.0,1.0,,14.0,152.0,22.0,62.0,38.0,2.0,,24.0,1308.0,,75.0,24.0,852.0,13.0,42.0,18.0,41.0,66.0,132.0,8.0,,396.0,,,17.0,482.0,15.0,,1.0,94.0,22.0,0.0,10.0,4.0,3.0,12.0,,12.0,1.0,20.0,12.0,0.1241,1.0,11.0,20.0,30.0,,1.0,7.0,,1.0,1.0,,,,,,,,,,,,,,,,
553746,Leo Shahar,Defender,Newcastle,4,England,2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
487838,Lewis Hall,Defender,Newcastle,4,England,2024-25,101.0,4.0,1.0,0.0099,58.0,4.0,27.0,1313.0,,1.0,,2.0,,,31.0,2.0,90.0,,30.9327,30.0,5.0,2.0,21.0,0.0,119.0,27.0,,,7.0,77.0,27.0,,1257.0,6.0,354.0,41.0,,94.0,9.0,56.0,221.0,1907.0,146.0,,573.0,,57.0,70.0,9.0,3.725,0.0,,2.0,7.0,135.0,4.0,5.0,,24.0,192.0,34.0,55.0,61.0,7.0,1.0,33.0,2192.0,,120.0,42.0,1065.0,51.0,51.0,31.0,70.0,409.0,221.0,15.0,,589.0,,1.0,17.0,581.0,29.0,,2.0,160.0,30.0,0.0,19.0,11.0,18.0,18.0,,6.0,2.0,30.0,4.0,0.4125,3.0,3.0,19.0,28.0,,,18.0,,,,3.0,,,,,,,,,,,,,,,
235530,Lloyd Kelly,Defender,Newcastle,4,England,2024-25,10.0,,,,5.0,,10.0,165.0,,1.0,,,,,2.0,,11.0,,6.0052,1.0,1.0,,5.0,0.0,19.0,10.0,,,1.0,,3.0,,158.0,3.0,41.0,4.0,,31.0,5.0,4.0,18.0,229.0,11.0,,78.0,,16.0,7.0,1.0,0.1117,0.0,,,3.0,15.0,1.0,,,4.0,31.0,,,9.0,,,1.0,301.0,,18.0,7.0,130.0,4.0,15.0,6.0,8.0,52.0,28.0,2.0,,64.0,,,1.0,57.0,6.0,,,19.0,7.0,0.0,,2.0,4.0,1.0,,3.0,,7.0,2.0,0.406,2.0,6.0,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,Newcastle,4,England,2024-25,1.0,,,,,,2.0,14.0,,,,,,,,,,,0.0149,,,,,0.0,2.0,2.0,,,,,,,14.0,,1.0,,,5.0,,,2.0,18.0,,,4.0,,,1.0,1.0,0.0764,0.0,,,,1.0,,,,,1.0,,,,,,1.0,20.0,,,,13.0,,,,1.0,4.0,1.0,,,3.0,,,,10.0,,,,1.0,,0.0,,,,1.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
220237,Sven Botman,Defender,Newcastle,4,Netherlands,2024-25,18.0,3.0,2.0,1.2731,12.0,1.0,8.0,245.0,,,,,2.0,2.0,11.0,1.0,17.0,,6.1409,2.0,,3.0,4.0,0.0,14.0,8.0,,,1.0,,2.0,,238.0,,33.0,9.0,,93.0,5.0,7.0,8.0,315.0,1.0,,147.0,,7.0,13.0,,0.2291,0.0,,,2.0,19.0,,,,6.0,26.0,,,28.0,1.0,,,414.0,,34.0,1.0,212.0,11.0,25.0,4.0,7.0,67.0,52.0,1.0,,77.0,,,3.0,72.0,3.0,,3.0,24.0,17.0,0.0,3.0,1.0,4.0,5.0,,5.0,,3.0,,0.587,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
