playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,setPiecesGoals,awayGoals,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,successfulLaunches,winningGoal,homeGoals,timesTackled,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltiesConceded,redCards2ndYellow,ownGoalScored,clearancesOffTheLine,expectedGoalsFreekick,freekickTotal,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals
179827,Callum Williams,Defender,Newcastle,4,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149736,Chancel Mbemba,Defender,Newcastle,4,DR Congo,2015-16,112.0,0.4254,0.0,3.0,2.0,0.4515,77.0,9.0,,115.0,33.0,,1.0,,33.0,267.0,6.0,1147.0,,,2.0,,102.0,7.0,1.0,1.0,2924.0,1.0,,54.0,157.0,9.0,43.0,109.0,770.0,48.2372,4.0,231.0,53.0,1.0,58.0,173.0,12.0,269.0,19.0,576.0,151.0,33.0,,1.0,,15.0,,10.0,279.0,44.0,,6.0,1.0,167.0,48.0,0.0,1132.0,7.0,5.0,356.0,62.0,20.0,25.0,330.0,21.0,96.0,,110.0,68.0,1709.0,12.0,1.0,,2.0,99.0,605.0,8.0,2.0,1.0692,5.0,152.0,99.0,4.0,,,,,4.0,,,2.0,,22.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Newcastle,4,Netherlands,2015-16,134.0,4.1509,1.0,8.0,8.0,2.3123,80.0,11.0,3.0,234.0,32.0,4.0,5.0,,32.0,328.0,116.0,1252.0,2.0,5.0,8.0,,55.0,3.0,1.0,5.0,2755.0,5.0,,28.0,153.0,10.0,66.0,126.0,845.0,50.2477,21.0,83.0,60.0,,106.0,48.0,9.0,287.0,29.0,566.0,157.0,32.0,,1.0,2.0,18.0,,31.0,506.0,50.0,,116.0,,232.0,27.0,0.0,1233.0,3.0,25.0,615.0,62.0,38.0,8.0,416.0,29.0,56.0,,79.0,222.0,2197.0,299.0,3.0,,8.0,45.0,446.0,18.0,1.0,1.2407,5.0,94.0,96.0,28.0,,,,3.0,28.0,,,48.0,,16.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
7933,Fabricio Coloccini,Defender,Newcastle,4,Argentina,2015-16,77.0,0.5022,1.0,3.0,3.0,0.7836,43.0,7.0,,75.0,26.0,,,,26.0,138.0,4.0,849.0,1.0,,1.0,,65.0,5.0,,2.0,2293.0,2.0,,33.0,88.0,9.0,25.0,56.0,632.0,41.1698,3.0,97.0,47.0,2.0,44.0,285.0,9.0,165.0,16.0,375.0,106.0,26.0,,,1.0,11.0,,2.0,188.0,38.0,,4.0,2.0,100.0,32.0,1.0,811.0,4.0,3.0,175.0,32.0,4.0,29.0,130.0,9.0,61.0,,79.0,59.0,1168.0,3.0,1.0,1.0,1.0,34.0,523.0,5.0,,1.1084,2.0,63.0,57.0,,,,,,,,,,,9.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
101148,Jamaal Lascelles,Defender,Newcastle,4,England,2015-16,29.0,0.2015,1.0,,4.0,1.1116,12.0,4.0,,55.0,18.0,,,,10.0,98.0,1.0,486.0,2.0,,,8.0,55.0,3.0,,2.0,1148.0,2.0,,13.0,60.0,3.0,18.0,18.0,362.0,16.1461,2.0,77.0,22.0,,16.0,129.0,3.0,89.0,12.0,221.0,55.0,18.0,,,,6.0,,2.0,105.0,19.0,2.0,1.0,,34.0,42.0,1.0,484.0,,1.0,136.0,6.0,3.0,13.0,96.0,11.0,28.0,,26.0,40.0,660.0,3.0,,,,29.0,283.0,1.0,1.0,0.5222,1.0,43.0,24.0,,,,,,,,,1.0,,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
181397,Jamie Sterry,Defender,Newcastle,4,England,2015-16,,,0.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120721,Kevin Mbabu,Defender,Newcastle,4,Switzerland,2015-16,11.0,0.0907,0.0,,1.0,0.0197,11.0,1.0,,10.0,3.0,,,,2.0,16.0,2.0,41.0,,1.0,,1.0,5.0,,1.0,,144.0,,,2.0,17.0,3.0,4.0,14.0,21.0,4.6424,1.0,2.0,5.0,,9.0,11.0,2.0,28.0,2.0,18.0,9.0,3.0,,1.0,,2.0,,3.0,12.0,2.0,,2.0,,23.0,3.0,0.0,38.0,,,30.0,9.0,1.0,,4.0,3.0,3.0,,4.0,8.0,90.0,10.0,1.0,,,6.0,13.0,3.0,,0.0252,0.0,6.0,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156069,Liam Gibson,Defender,Newcastle,4,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92170,Massadio Haïdara,Defender,Newcastle,4,Mali,2015-16,28.0,0.1557,0.0,1.0,,,12.0,2.0,,34.0,7.0,,2.0,,6.0,43.0,17.0,230.0,,,1.0,1.0,11.0,1.0,,,555.0,,,4.0,34.0,1.0,6.0,27.0,177.0,9.5013,2.0,18.0,9.0,,24.0,64.0,10.0,62.0,1.0,120.0,32.0,7.0,,,,1.0,,2.0,99.0,8.0,,17.0,,51.0,7.0,0.0,225.0,2.0,4.0,102.0,11.0,5.0,3.0,12.0,9.0,19.0,,10.0,34.0,416.0,53.0,1.0,,1.0,2.0,92.0,5.0,1.0,0.0634,1.0,9.0,13.0,4.0,,,,,4.0,,,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106618,Paul Dummett,Defender,Newcastle,4,Wales,2015-16,69.0,0.4203,0.0,1.0,1.0,0.4871,54.0,4.0,,109.0,23.0,,3.0,,23.0,207.0,27.0,673.0,1.0,,1.0,,78.0,6.0,,,1896.0,,,31.0,117.0,5.0,46.0,70.0,418.0,22.4884,4.0,88.0,28.0,,38.0,207.0,9.0,186.0,19.0,367.0,64.0,23.0,,,,11.0,1.0,2.0,226.0,23.0,,27.0,,108.0,47.0,0.0,645.0,3.0,7.0,314.0,43.0,7.0,12.0,19.0,13.0,42.0,,48.0,80.0,1184.0,148.0,5.0,1.0,1.0,62.0,247.0,6.0,,0.2831,3.0,98.0,72.0,7.0,,,,1.0,7.0,,,40.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
