playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,punches,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,leftsidePasses,successfulLongPasses,timePlayed,touches,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,totalFoulsWon,duels,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,redCards2ndYellow,unsuccessfulCornersIntoBox,substituteOff,secondGoalAssists,penaltiesSaved,savesMadeCaught,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,penaltiesTaken,rightFootGoals,foulWonPenalty,headedGoals,penaltyGoals,otherGoals,clearancesOffTheLine
225321,Aaron Ramsdale,Goalkeeper,Bournemouth,91,England,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15885,Adam Federici,Goalkeeper,Bournemouth,91,Australia,2016-17,0.0,0.0,1.0,1.0,3.4651,1.0,0.0015,1.0,3.0,1.0,3.0,5.0,0.0,44.0,21.0,2.0,2.0,2.0,14.0,2.0,3.0,25.0,54.0,26.0,23.0,18.0,25.0,14.0,1.0,1.0,7.0,16.0,180.0,73.0,9.0,15.0,13.0,3.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54469,Adam Smith,Defender,Bournemouth,91,England,2016-17,0.0,0.0,6.0,,57.6448,1.0,3.5764,70.0,61.0,,115.0,,0.0,433.0,175.0,36.0,,36.0,709.0,34.0,52.0,222.0,1453.0,,,1412.0,430.0,,8.0,,575.0,38.0,3099.0,2377.0,41.0,535.0,1193.0,,63.0,64.0,186.0,13.0,0.3254,8.0,6.0,1.3963,85.0,18.0,2.0,159.0,5.0,17.0,42.0,1.0,3.0,0.0,6.0,2.0,8.0,81.0,5.0,13.0,1.0,50.0,220.0,9.0,2.0,65.0,189.0,49.0,28.0,2.0,1.0,25.0,2.0,136.0,70.0,406.0,29.0,1.0,5.0,25.0,1.0,31.0,42.0,55.0,4.0,2.0,325.0,31.0,12.0,15.0,60.0,36.0,13.0,4.0,45.0,54.0,330.0,249.0,2.0,6.0,21.0,6.0,1.2129,,,,,,,,,,,,,,,,,,,,,
15237,Andrew Surman,Midfielder,Bournemouth,91,England,2016-17,0.0,1.0,1.0,,34.7955,4.0,0.8208,38.0,38.0,,403.0,,0.0,373.0,129.0,22.0,,22.0,601.0,21.0,34.0,184.0,1318.0,,,1286.0,210.0,,3.0,,404.0,105.0,1792.0,1512.0,23.0,535.0,1029.0,,68.0,46.0,75.0,1.0,0.1603,2.0,2.0,0.281,15.0,6.0,5.0,116.0,1.0,25.0,,,,,2.0,1.0,5.0,46.0,,2.0,,29.0,58.0,4.0,,29.0,41.0,10.0,,1.0,,10.0,,46.0,17.0,133.0,11.0,,,7.0,,2.0,4.0,12.0,2.0,,87.0,17.0,4.0,1.0,8.0,12.0,4.0,2.0,17.0,42.0,138.0,6.0,,2.0,13.0,,0.7194,2.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Bournemouth,91,Poland,2016-17,0.0,0.0,2.0,19.0,57.9499,105.0,0.027,25.0,63.0,32.0,98.0,114.0,0.0,684.0,280.0,35.0,48.0,35.0,145.0,35.0,54.0,398.0,888.0,297.0,316.0,390.0,407.0,162.0,9.0,4.0,106.0,235.0,3150.0,1265.0,204.0,345.0,255.0,66.0,393.0,75.0,4.0,,,,,,,,,5.0,,,,,,,,,,10.0,,,,,15.0,9.0,,3.0,5.0,,,2.0,,1.0,,4.0,6.0,19.0,3.0,,,,,,,,,,9.0,10.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,13.0,2.0,2.0,3.0,2.0,30.0,,,,,,,
167789,Baily Cargill,Defender,Bournemouth,91,England,2016-17,0.0,0.0,0.0,,,,,2.0,,,,,0.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,12.0,4.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88498,Benik Afobe,Forward,Bournemouth,91,DR Congo,2016-17,0.0,0.0,1.0,,24.9503,,0.673,19.0,24.0,,74.0,,1.0,52.0,30.0,31.0,,31.0,175.0,14.0,21.0,63.0,297.0,,,272.0,122.0,,4.0,,69.0,3.0,1454.0,487.0,,60.0,231.0,,,7.0,122.0,1.0,,6.0,18.0,9.3793,9.0,33.0,,63.0,3.0,40.0,1.0,6.0,14.0,3.0,1.0,17.0,2.0,105.0,,1.0,6.0,65.0,70.0,3.0,,7.0,30.0,81.0,,1.0,,20.0,5.0,57.0,13.0,192.0,5.0,3.0,,1.0,3.0,8.0,1.0,29.0,,5.0,87.0,40.0,15.0,5.0,8.0,8.0,2.0,,21.0,5.0,102.0,5.0,2.0,1.0,4.0,3.0,8.0029,12.0,12.0,,,,7.0,,,,,,,,,1.0,3.0,,,,,
120447,Brad Smith,Defender,Bournemouth,91,Australia,2016-17,0.0,0.0,1.0,,7.0596,1.0,0.0338,9.0,9.0,,46.0,,0.0,34.0,14.0,5.0,,5.0,53.0,3.0,9.0,25.0,114.0,,,111.0,47.0,,,,6.0,3.0,272.0,193.0,4.0,36.0,86.0,,7.0,11.0,15.0,,,1.0,1.0,0.1883,5.0,1.0,,18.0,,,4.0,,,,1.0,2.0,1.0,2.0,,,,2.0,9.0,,,7.0,9.0,1.0,8.0,1.0,,2.0,,13.0,3.0,24.0,5.0,,,3.0,,4.0,4.0,7.0,,,22.0,,,3.0,2.0,1.0,1.0,,2.0,3.0,28.0,23.0,,1.0,2.0,,0.0737,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,
75115,Callum Wilson,Forward,Bournemouth,91,England,2016-17,0.0,0.0,0.0,,23.5991,,0.4607,1.0,25.0,,51.0,,1.0,33.0,29.0,20.0,,20.0,101.0,16.0,20.0,52.0,191.0,,,168.0,173.0,,1.0,,32.0,1.0,1363.0,417.0,2.0,39.0,138.0,,3.0,8.0,118.0,1.0,,7.0,12.0,5.2531,6.0,24.0,,49.0,,19.0,8.0,6.0,18.0,2.0,2.0,4.0,,33.0,2.0,1.0,5.0,28.0,45.0,5.0,,19.0,40.0,86.0,,,,8.0,5.0,90.0,26.0,163.0,7.0,4.0,2.0,,,20.0,8.0,59.0,,5.0,130.0,5.0,12.0,11.0,6.0,8.0,3.0,,30.0,5.0,75.0,3.0,2.0,2.0,7.0,4.0,5.1494,4.0,4.0,,,,14.0,1.0,,,,,,,,3.0,4.0,2.0,2.0,3.0,,
41320,Charlie Daniels,Defender,Bournemouth,91,England,2016-17,0.0,0.0,1.0,,53.2321,17.0,2.0879,78.0,53.0,,650.0,,0.0,585.0,166.0,34.0,,34.0,788.0,34.0,46.0,297.0,1617.0,,,1569.0,482.0,,10.0,,99.0,61.0,3060.0,2379.0,65.0,551.0,1259.0,,104.0,87.0,115.0,18.0,,5.0,6.0,1.8678,59.0,14.0,3.0,193.0,3.0,7.0,66.0,4.0,,1.0,3.0,,12.0,72.0,1.0,19.0,,38.0,143.0,7.0,1.0,56.0,109.0,48.0,46.0,2.0,,26.0,2.0,77.0,25.0,258.0,18.0,3.0,1.0,17.0,4.0,9.0,67.0,33.0,,2.0,186.0,34.0,8.0,15.0,42.0,30.0,14.0,,12.0,51.0,283.0,222.0,1.0,3.0,7.0,,1.7897,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,
