playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalTackles,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,homeGoals,oboxTarget,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,iboxBlocked,shotsOffTargetIncWoodwork,shotsBlockedOutsideBox,expectedGoals,throughBalls,offsides,successfulCornersIntoBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,secondGoalAssists,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesConceded,foulWonPenalty,headedGoals,goalKicks,gkSuccessfulDistribution,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,setPiecesGoals
54469,Adam Smith,Defender,Bournemouth,91,England,2025-26,50.0,1.0,0.2472,0.0,1.0,15.0,35.0,22.0,2.0,1.0,14.0,80.0,12.0,363.0,8.0,30.0,3.0,1.0,1076.0,16.0,40.0,3.0,13.0,26.0,271.0,9.0,12.0,1.0,14.4884,3.0,1.0,38.0,16.0,34.0,12.0,11.0,0.0,90.0,5.0,161.0,29.0,22.0,3.0,147.0,13.0,12.0,2.0,60.0,14.0,0.0,354.0,4.0,119.0,12.0,1.0,9.0,110.0,19.0,8.0,12.0,80.0,572.0,58.0,9.0,28.0,137.0,6.0,2.0,3.0,45.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494521,Adrien Truffert,Defender,Bournemouth,91,France,2025-26,187.0,32.0,2.9782,0.0,3.0,103.0,176.0,38.0,5.0,2.0,38.0,258.0,109.0,1560.0,,98.0,11.0,34.0,3380.0,54.0,212.0,8.0,90.0,168.0,1264.0,53.0,29.0,6.0,48.6553,27.0,15.0,143.0,51.0,133.0,547.0,32.0,1.0,399.0,33.0,604.0,188.0,38.0,51.0,735.0,43.0,109.0,64.0,301.0,44.0,0.0,1531.0,19.0,506.0,52.0,33.0,10.0,77.0,39.0,48.0,38.0,332.0,2597.0,226.0,2.0,61.0,601.0,11.0,,5.0,82.0,84.0,5.0,6.0,1.5772,11.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,40.0,2.0,5.0,3.0,1.3615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503139,Alex Scott,Midfielder,Bournemouth,91,England,2025-26,148.0,7.0,2.9509,0.0,1.0,60.0,135.0,37.0,1.0,38.0,34.0,211.0,20.0,1393.0,3.0,68.0,6.0,14.0,2859.0,31.0,185.0,7.0,50.0,148.0,1129.0,49.0,,5.0,40.5428,26.0,8.0,81.0,41.0,117.0,358.0,60.0,1.0,333.0,31.0,352.0,195.0,37.0,22.0,614.0,34.0,74.0,49.0,265.0,37.0,0.0,1339.0,18.0,384.0,38.0,29.0,15.0,378.0,45.0,36.0,53.0,305.0,2006.0,5.0,15.0,29.0,582.0,20.0,,5.0,76.0,44.0,14.0,13.0,2.6766,30.0,3.0,2.0,7.0,56.0,6.0,4.0,4.0,7.0,1.0,6.0,2.0,,23.0,7.0,17.0,7.0,3.8057,10.0,1.0,6.0,1.0,2.0,2.0,46.0,1.0,1.0,1.0,0.0721,2.0,1.0,,,,,,,,,,,,,,,,,,,,
614574,Alex Tóth,Midfielder,Bournemouth,91,Hungary,2025-26,12.0,,0.3325,0.0,,1.0,7.0,9.0,,2.0,2.0,8.0,2.0,65.0,7.0,2.0,,,137.0,2.0,4.0,1.0,3.0,4.0,56.0,7.0,,1.0,4.0398,5.0,,4.0,3.0,10.0,20.0,2.0,0.0,16.0,1.0,13.0,8.0,9.0,1.0,45.0,2.0,3.0,5.0,14.0,,0.0,59.0,,19.0,,1.0,1.0,19.0,1.0,3.0,1.0,13.0,97.0,,2.0,1.0,12.0,,,1.0,1.0,2.0,,,,2.0,,,,2.0,,,,,,,,,3.0,,2.0,,0.105,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489888,Amine Adli,Forward,Bournemouth,91,Morocco,2025-26,84.0,2.0,1.6204,0.0,1.0,36.0,86.0,31.0,1.0,17.0,10.0,94.0,23.0,413.0,21.0,57.0,,2.0,1082.0,27.0,96.0,1.0,30.0,66.0,317.0,46.0,,4.0,17.4993,15.0,1.0,17.0,17.0,57.0,95.0,22.0,2.0,180.0,17.0,98.0,61.0,31.0,20.0,202.0,16.0,38.0,23.0,123.0,30.0,0.0,406.0,9.0,179.0,16.0,8.0,2.0,97.0,29.0,7.0,2.0,123.0,675.0,8.0,8.0,3.0,119.0,15.0,2.0,2.0,8.0,19.0,6.0,9.0,3.1855,14.0,3.0,2.0,1.0,15.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,,14.0,5.0,5.0,1.0,2.6012,3.0,5.0,1.0,,1.0,1.0,11.0,,1.0,,0.0384,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
242882,Bafodé Diakité,Defender,Bournemouth,91,France,2025-26,51.0,,0.1831,0.0,,20.0,52.0,18.0,,2.0,15.0,90.0,1.0,749.0,3.0,71.0,4.0,,1275.0,36.0,60.0,3.0,14.0,25.0,625.0,10.0,1.0,2.0,22.8936,3.0,13.0,83.0,27.0,15.0,197.0,5.0,0.0,111.0,10.0,250.0,48.0,18.0,5.0,244.0,24.0,1.0,4.0,40.0,35.0,0.0,727.0,1.0,100.0,15.0,,5.0,253.0,8.0,12.0,34.0,49.0,922.0,,2.0,25.0,415.0,2.0,,1.0,38.0,26.0,,,,1.0,,,,,,,,,,,,3.0,3.0,,1.0,,0.0185,1.0,2.0,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,
496208,Ben Gannon-Doak,Forward,Bournemouth,91,Scotland,2025-26,15.0,,0.1188,0.0,,6.0,10.0,8.0,1.0,1.0,,11.0,4.0,48.0,8.0,4.0,,,105.0,3.0,10.0,,4.0,9.0,37.0,10.0,,1.0,1.6132,,,,1.0,12.0,9.0,1.0,0.0,25.0,3.0,4.0,6.0,8.0,4.0,27.0,1.0,4.0,6.0,21.0,1.0,0.0,48.0,2.0,24.0,2.0,2.0,,15.0,3.0,1.0,,20.0,82.0,1.0,,1.0,10.0,2.0,,0.0,1.0,2.0,1.0,1.0,0.1129,2.0,,,,,,1.0,1.0,1.0,,,,,6.0,1.0,1.0,,0.2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658013,Charlie Stevens,Midfielder,Bournemouth,91,Wales,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436416,Christos Mandas,Goalkeeper,Bournemouth,91,Greece,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111317,David Brooks,Midfielder,Bournemouth,91,Wales,2025-26,78.0,7.0,3.3007,0.0,2.0,19.0,88.0,31.0,3.0,13.0,13.0,102.0,28.0,445.0,18.0,19.0,,11.0,1199.0,13.0,55.0,2.0,27.0,49.0,331.0,73.0,1.0,1.0,18.3846,23.0,2.0,15.0,20.0,65.0,84.0,13.0,0.0,133.0,8.0,129.0,56.0,31.0,6.0,269.0,18.0,48.0,34.0,114.0,6.0,0.0,436.0,18.0,223.0,13.0,17.0,,127.0,11.0,4.0,12.0,105.0,734.0,11.0,13.0,8.0,85.0,6.0,,7.0,14.0,21.0,17.0,13.0,3.2298,31.0,1.0,1.0,5.0,22.0,3.0,9.0,9.0,12.0,0.0,3.0,1.0,,24.0,12.0,18.0,5.0,5.834,5.0,2.0,2.0,,2.0,2.0,17.0,,2.0,,0.0704,2.0,,,,,,,,,,,,,,,,,,,,,
