playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedGoalsFreekick,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,successfulCornersIntoBox,penaltyGoalsConceded,oboxTarget,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,goals,offsides,awayGoals,goalsConcededOutsideBox,rightFootGoals,leftFootGoals,hitWoodwork,goalAssists,foulWonPenalty,homeGoals,handballsConceded,headedGoals,goalKicks,gkSuccessfulDistribution,clearancesOffTheLine,setPiecesGoals,penaltiesTaken,otherGoals,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
54469,Adam Smith,Defender,Bournemouth,91,England,2024-25,61.0,7.0,0.6828,0.0,1.0,1.0,24.0,2.0,1.0,56.0,25.0,19.0,112.0,26.0,526.0,6.0,29.0,3.0,7.0,1596.0,15.0,56.0,23.0,42.0,393.0,9.0,26.0,22.9117,8.0,7.0,38.0,18.0,1.0,46.0,18.0,12.0,0.0,117.0,8.0,218.0,50.0,25.0,12.0,7.0,224.0,18.0,26.0,14.0,1.0,88.0,14.0,0.0,517.0,2.0,6.0,193.0,12.0,6.0,5.0,150.0,19.0,15.0,21.0,140.0,856.0,93.0,12.0,37.0,197.0,10.0,0.6502,7.0,56.0,34.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503139,Alex Scott,Midfielder,Bournemouth,91,England,2024-25,68.0,1.0,1.0146,0.0,4.0,2.0,27.0,11.0,2.0,41.0,20.0,8.0,49.0,2.0,332.0,12.0,14.0,,2.0,751.0,7.0,66.0,19.0,59.0,268.0,17.0,,10.9605,12.0,,11.0,8.0,2.0,61.0,84.0,26.0,0.0,134.0,13.0,102.0,52.0,20.0,13.0,13.0,181.0,8.0,5.0,21.0,2.0,120.0,7.0,0.0,314.0,4.0,5.0,102.0,14.0,6.0,4.0,65.0,17.0,10.0,15.0,81.0,523.0,1.0,8.0,2.0,104.0,9.0,0.754,3.0,8.0,13.0,,0.0465,7.0,1.334,9.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437730,Antoine Semenyo,Forward,Bournemouth,91,Ghana,2024-25,309.0,8.0,4.3468,0.0,44.0,9.0,55.0,81.0,9.0,182.0,37.0,36.0,217.0,50.0,997.0,1.0,144.0,6.0,8.0,3209.0,77.0,227.0,98.0,160.0,760.0,211.0,20.0,50.0951,41.0,3.0,34.0,41.0,29.0,232.0,210.0,37.0,2.0,536.0,58.0,247.0,158.0,37.0,20.0,57.0,606.0,38.0,51.0,134.0,29.0,392.0,67.0,0.0,991.0,40.0,42.0,525.0,35.0,69.0,9.0,221.0,73.0,11.0,20.0,319.0,1849.0,33.0,8.0,27.0,182.0,37.0,9.9787,9.0,35.0,41.0,,,41.0,11.7452,43.0,15.0,3.0,8.0,22.0,22.0,2.0,,3.0,8.0,,,,1.0,15.0,11.0,15.0,4.0,3.0,6.0,5.0,5.0,5.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,
632822,Archie Harris,Defender,Bournemouth,91,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606775,Ben Winterburn,Midfielder,Bournemouth,91,England,2024-25,1.0,,0.0004,0.0,,,1.0,,,2.0,4.0,,2.0,,7.0,4.0,1.0,,,22.0,,2.0,,1.0,5.0,1.0,,,,,,,,1.0,3.0,1.0,0.0,3.0,,3.0,2.0,4.0,1.0,,4.0,,,,,2.0,1.0,0.0,7.0,,,2.0,,,,,,2.0,,1.0,10.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568791,Callan McKenna,Goalkeeper,Bournemouth,91,Scotland,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533463,Dango Ouattara,Forward,Bournemouth,91,Burkina Faso,2024-25,168.0,17.0,3.2854,0.0,14.0,12.0,35.0,48.0,5.0,141.0,32.0,21.0,169.0,70.0,495.0,11.0,110.0,2.0,17.0,2006.0,64.0,138.0,48.0,92.0,317.0,140.0,2.0,32.3893,31.0,2.0,48.0,23.0,6.0,104.0,159.0,19.0,2.0,306.0,26.0,142.0,92.0,32.0,9.0,34.0,248.0,22.0,71.0,66.0,6.0,196.0,46.0,0.0,492.0,28.0,24.0,386.0,26.0,39.0,10.0,78.0,16.0,11.0,9.0,116.0,1051.0,24.0,14.0,14.0,95.0,5.0,8.3646,3.0,28.0,40.0,,0.0369,20.0,6.9579,16.0,8.0,3.0,2.0,11.0,11.0,3.0,,4.0,2.0,,1.0,1.0,1.0,8.0,7.0,14.0,3.0,1.0,2.0,3.0,3.0,4.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
590760,Daniel Adu-Adjei,Forward,Bournemouth,91,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523700,Daniel Jebbison,Forward,Bournemouth,91,Canada,2024-25,22.0,,0.1376,0.0,,2.0,5.0,5.0,,5.0,16.0,,6.0,3.0,39.0,16.0,13.0,,,105.0,10.0,15.0,2.0,12.0,32.0,14.0,,3.2216,3.0,,1.0,2.0,,12.0,9.0,4.0,0.0,37.0,1.0,4.0,10.0,16.0,2.0,3.0,28.0,1.0,3.0,8.0,,24.0,3.0,0.0,39.0,3.0,1.0,32.0,3.0,4.0,1.0,9.0,2.0,1.0,1.0,17.0,92.0,,,1.0,5.0,1.0,0.993,1.0,1.0,2.0,,,2.0,0.5748,3.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
111317,David Brooks,Midfielder,Bournemouth,91,Wales,2024-25,69.0,6.0,2.0249,0.0,3.0,3.0,14.0,22.0,3.0,59.0,29.0,9.0,62.0,27.0,348.0,20.0,17.0,,14.0,949.0,10.0,50.0,30.0,43.0,273.0,41.0,,13.7663,20.0,,9.0,12.0,1.0,59.0,33.0,18.0,1.0,119.0,16.0,88.0,50.0,29.0,8.0,20.0,227.0,12.0,38.0,34.0,1.0,102.0,7.0,0.0,333.0,10.0,12.0,168.0,6.0,11.0,2.0,135.0,11.0,5.0,13.0,92.0,591.0,10.0,9.0,,73.0,5.0,2.5184,3.0,3.0,11.0,1.0,,12.0,4.5341,12.0,2.0,17.0,2.0,8.0,8.0,1.0,3.0,4.0,2.0,,,,8.0,2.0,2.0,,0.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
